exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfhps,hilic,Arachidonic acid metabolism,19,19,8,2.9346,0.0026682,0.0113,0.025061,0
pfhps,hilic,Pyruvate Metabolism,6,6,4,0.9267,0.0047003,0.040088,0.025169,0
pfhps,hilic,Urea cycle/amino group metabolism,92,92,22,14.209,0.0067263999999999996,0.01318,0.025276,4994
pfhps,hilic,Arginine and Proline Metabolism,53,53,14,8.1859,0.01233,0.027632,0.025577,1247
pfhps,hilic,Aspartate and asparagine metabolism,109,109,23,16.835,0.026115,0.044113,0.026333,177
pfhps,hilic,Limonene and pinene degradation,9,9,4,1.3901,0.02784,0.12218999999999999,0.02643,1719
pfhps,hilic,Linoleate metabolism,43,43,11,6.6414,0.032241,0.07,0.026677,6372
pfhps,hilic,Vitamin B6 (pyridoxine) metabolism,14,14,5,2.1623,0.037229,0.12321,0.026961,1418
pfhps,hilic,Glutamate metabolism,19,19,6,2.9346,0.04154,0.11788,0.027209,0
pfhps,hilic,Beta-Alanine metabolism,20,20,6,3.089,0.052561,0.14007,0.027855,0
pfhps,hilic,Xenobiotics metabolism,47,47,11,7.2592,0.058435,0.11445,0.028206,222
pfhps,hilic,Alanine and Aspartate Metabolism,21,21,6,3.2435,0.065204,0.16393,0.028617,87
pfhps,hilic,Glycolysis and Gluconeogenesis,27,27,7,4.1702,0.076236,0.17059,0.0293,371
pfhps,hilic,Propanoate metabolism,12,12,4,1.8534,0.077574,0.23427,0.029385,10
pfhps,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,3,1.2356,0.091827,0.31542,0.030298,0
pfhps,hilic,Drug metabolism - cytochrome P450,34,34,8,5.2513,0.097104,0.19395,0.030644,3194
pfhps,hilic,Aminosugars metabolism,30,30,7,4.6335,0.12125,0.24142,0.032285,3
pfhps,hilic,3-Chloroacrylic acid degradation,1,1,1,0.15445,0.14217,1,0.033788,0
pfhps,hilic,Vitamin H (biotin) metabolism,5,5,2,0.77225,0.15023,0.53391,0.034388,128
pfhps,hilic,Prostaglandin formation from dihomo gama-linoleic acid,5,5,2,0.77225,0.15023,0.53391,0.034388,229
pfhps,hilic,Vitamin E metabolism,15,15,4,2.3168,0.1527,0.35794,0.034574,137
pfhps,hilic,Tyrosine metabolism,151,151,26,23.322,0.1579,0.21342,0.03497,9995
pfhps,hilic,Vitamin B9 (folate) metabolism,10,10,3,1.5445,0.15916,0.42399,0.035067,224
pfhps,hilic,Nitrogen metabolism,10,10,3,1.5445,0.15916,0.42399,0.035067,4899
pfhps,hilic,Tryptophan metabolism,113,113,20,17.453,0.16528,0.23307,0.035541,9034
pfhps,hilic,Lipoate metabolism,6,6,2,0.9267,0.205,0.60007,0.038798,573
pfhps,hilic,Butanoate metabolism,42,42,8,6.4869,0.23764,0.3819,0.04173,635
pfhps,hilic,"Valine, leucine and isoleucine degradation",30,30,6,4.6335,0.24564,0.42172,0.042487,1
pfhps,hilic,Fatty Acid Metabolism,18,18,4,2.7801,0.24605,0.47888,0.042527,1
pfhps,hilic,Drug metabolism - other enzymes,18,18,4,2.7801,0.24605,0.47888,0.042527,284
pfhps,hilic,"Glycine, serine, alanine and threonine metabolism",69,69,12,10.657,0.26648,0.38204,0.044535,958
pfhps,hilic,Glutathione Metabolism,19,19,4,2.9346,0.27964,0.51691,0.045886,70
pfhps,hilic,Glyoxylate and Dicarboxylate Metabolism,9,9,2,1.3901,0.37345,0.74754,0.057034,4862
pfhps,hilic,Pyrimidine metabolism,63,63,10,9.7304,0.40545,0.54404,0.061547,592
pfhps,hilic,Carbon fixation,10,10,2,1.5445,0.42702,0.78349,0.064832,4300
pfhps,hilic,Lysine metabolism,44,44,7,6.7958,0.43794,0.60672,0.066576,9927
pfhps,hilic,Porphyrin metabolism,17,17,3,2.6257,0.44342,0.71729,0.067471,2755
pfhps,hilic,R Group Synthesis,4,4,1,0.6178,0.45892,1,0.070086,0
pfhps,hilic,Di-unsaturated fatty acid beta-oxidation,4,4,1,0.6178,0.45892,1,0.070086,3568
pfhps,hilic,TCA cycle,11,11,2,1.699,0.47811,0.81434,0.073496,1160
pfhps,hilic,C5-Branched dibasic acid metabolism,5,5,1,0.77225,0.53609,1,0.085124,0
pfhps,hilic,Prostaglandin formation from arachidonate,27,27,4,4.1702,0.54917,0.75887,0.088056,305
pfhps,hilic,Methionine and cysteine metabolism,49,49,7,7.5681,0.55913,0.71403,0.090378,423
pfhps,hilic,Omega-3 fatty acid metabolism,13,13,2,2.0079,0.57148,0.86354,0.093365,234
pfhps,hilic,Parathio degradation,6,6,1,0.9267,0.60231,1,0.1014,2231
pfhps,hilic,Caffeine metabolism,6,6,1,0.9267,0.60231,1,0.1014,5511
pfhps,hilic,De novo fatty acid biosynthesis,29,29,4,4.4791,0.60892,0.80136,0.10323,274
pfhps,hilic,Purine metabolism,45,45,6,6.9503,0.63569,0.78644,0.11113,4122
pfhps,hilic,Sialic acid metabolism,23,23,3,3.5524,0.6566,0.85872,0.11788,772
