exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfhxa,hilic,Linoleate metabolism,43,43,14,7.5419,0.0052004,0.013296,0.013348,2933
pfhxa,hilic,Nitrogen metabolism,10,10,5,1.7539,0.013154,0.061374,0.013611,803
pfhxa,hilic,C21-steroid hormone biosynthesis and metabolism,52,52,15,9.1204,0.013286,0.028946,0.013615,11
pfhxa,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,4,1.4031,0.027066,0.12312,0.014085,0
pfhxa,hilic,Arachidonic acid metabolism,19,19,6,3.3325,0.071064,0.17682,0.015706,11
pfhxa,hilic,Histidine metabolism,38,38,10,6.6649,0.071823,0.14186000000000001,0.015735,742
pfhxa,hilic,Tyrosine metabolism,151,151,30,26.484,0.11493,0.15778,0.017527,9967
pfhxa,hilic,CoA Catabolism,8,8,3,1.4031,0.12457,0.37659,0.017957,472
pfhxa,hilic,Prostaglandin formation from arachidonate,27,27,7,4.7356,0.13053,0.25733,0.018229,10
pfhxa,hilic,Androgen and estrogen biosynthesis and metabolism,28,28,7,4.911,0.15146,0.287,0.019221,823
pfhxa,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,34,34,8,5.9634,0.169,0.29819,0.020098,1845
pfhxa,hilic,Leukotriene metabolism,24,24,6,4.2094,0.17767,0.33921,0.020548,22
pfhxa,hilic,Aspartate and asparagine metabolism,109,109,21,19.118,0.21167,0.28736,0.022424,2511
pfhxa,hilic,Vitamin E metabolism,15,15,4,2.6309,0.21299,0.44242,0.022501,481
pfhxa,hilic,Arginine and Proline Metabolism,53,53,11,9.2958,0.22378,0.34071,0.023138,7703
pfhxa,hilic,Glycosphingolipid metabolism,27,27,6,4.7356,0.26124000000000003,0.44266,0.025511,109
pfhxa,hilic,Electron transport chain,2,2,1,0.35079,0.29694,1,0.028031,1474
pfhxa,hilic,Sialic acid metabolism,23,23,5,4.034,0.30882,0.51864,0.028931,81
pfhxa,hilic,Hyaluronan Metabolism,7,7,2,1.2277,0.31548,0.70744,0.02945,345
pfhxa,hilic,Omega-3 fatty acid metabolism,13,13,3,2.2801,0.35174,0.64336,0.032468,85
pfhxa,hilic,Aminosugars metabolism,30,30,6,5.2618,0.35284,0.54194,0.032566,288
pfhxa,hilic,Glutathione Metabolism,19,19,4,3.3325,0.36852,0.61043,0.033985,331
pfhxa,hilic,Glutamate metabolism,19,19,4,3.3325,0.36852,0.61043,0.033985,659
pfhxa,hilic,Glycerophospholipid metabolism,60,60,11,10.524,0.37229,0.50499,0.034336,648
pfhxa,hilic,Biopterin metabolism,14,14,3,2.4555,0.39931,0.68459,0.036984,8423
pfhxa,hilic,Vitamin B6 (pyridoxine) metabolism,14,14,3,2.4555,0.39931,0.68459,0.036984,8024
pfhxa,hilic,Nucleotide Sugar Metabolism,3,3,1,0.52618,0.41063,1,0.038162,367
pfhxa,hilic,Urea cycle/amino group metabolism,92,92,16,16.136,0.41382,0.5214,0.038503,9928
pfhxa,hilic,Limonene and pinene degradation,9,9,2,1.5785,0.44015,0.79436,0.04145,9247
pfhxa,hilic,Vitamin B5 - CoA biosynthesis from pantothenate,15,15,3,2.6309,0.44589,0.72184,0.042127,1215
pfhxa,hilic,Alanine and Aspartate Metabolism,21,21,4,3.6832,0.44734,0.68074,0.0423,6618
pfhxa,hilic,3-oxo-10R-octadecatrienoate beta-oxidation,10,10,2,1.7539,0.49775,0.82764,0.048876,1746
pfhxa,hilic,Vitamin B9 (folate) metabolism,10,10,2,1.7539,0.49775,0.82764,0.048876,4051
pfhxa,hilic,Porphyrin metabolism,17,17,3,2.9817,0.53422,0.78531,0.054405,3371
pfhxa,hilic,Keratan sulfate degradation,11,11,2,1.9293,0.55144,0.85555,0.057278,5864
pfhxa,hilic,Heparan sulfate degradation,11,11,2,1.9293,0.55144,0.85555,0.057278,5177
