exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfhxs,hilic,Lysine metabolism,44,44,13,4.1466,4.0577e-5,1.7805e-4,0.0068618,51
pfhxs,hilic,Alanine and Aspartate Metabolism,21,21,8,1.9791,1.9447e-4,0.0012061,0.0068648,0
pfhxs,hilic,Aspartate and asparagine metabolism,109,109,20,10.272,5.7704e-4,0.0013934,0.0068722,5
pfhxs,hilic,Arginine and Proline Metabolism,53,53,12,4.9948,0.0012566,0.0039297,0.0068853,210
pfhxs,hilic,CoA Catabolism,8,8,4,0.75393,0.0028557,0.025113,0.0069164,3
pfhxs,hilic,Vitamin B9 (folate) metabolism,10,10,4,0.94241,0.0074686,0.047407,0.0070068,0
pfhxs,hilic,Nitrogen metabolism,10,10,4,0.94241,0.0074686,0.047407,0.0070068,271
pfhxs,hilic,Phytanic acid peroxisomal oxidation,6,6,3,0.56545,0.010464,0.087333,0.0070661,0
pfhxs,hilic,Fatty acid oxidation,11,11,4,1.0366,0.010961,0.061208,0.007076,0
pfhxs,hilic,"Valine, leucine and isoleucine degradation",30,30,7,2.8272,0.011573,0.037752,0.0070882,0
pfhxs,hilic,Tyrosine metabolism,151,151,21,14.23,0.01476,0.026142,0.0071522,8931
pfhxs,hilic,Glutamate metabolism,19,19,5,1.7906,0.019411,0.07301,0.0072466,3
pfhxs,hilic,Mono-unsaturated fatty acid beta-oxidation,3,3,2,0.28272,0.021111,0.23648,0.0072815,4
pfhxs,hilic,Urea cycle/amino group metabolism,92,92,14,8.6702,0.02245,0.044484,0.0073091,4968
pfhxs,hilic,Butanoate metabolism,42,42,8,3.9581,0.023959,0.061831,0.0073403,71
pfhxs,hilic,"Glycine, serine, alanine and threonine metabolism",69,69,11,6.5026,0.030648,0.064453,0.0074804,41
pfhxs,hilic,Vitamin B5 - CoA biosynthesis from pantothenate,15,15,4,1.4136,0.034564,0.1316,0.0075638,31
pfhxs,hilic,Purine metabolism,45,45,8,4.2408,0.035141,0.084098,0.0075762,39
pfhxs,hilic,R Group Synthesis,4,4,2,0.37696,0.039839,0.30226,0.0076777,0
pfhxs,hilic,Carnitine shuttle,32,32,6,3.0157,0.052041,0.13318,0.0079482,0
