exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfna,hilic,Urea cycle/amino group metabolism,92,92,18,12.122,0.022263,0.041062,0.018235,6728
pfna,hilic,Tryptophan metabolism,113,113,21,14.889,0.024243,0.04197,0.018318,5161
pfna,hilic,Tyrosine metabolism,151,151,26,19.896,0.031791,0.050189,0.018641,9845
pfna,hilic,Lysine metabolism,44,44,10,5.7976,0.03246,0.072501,0.01867,5344
pfna,hilic,Histidine metabolism,38,38,9,5.007,0.032573,0.076544,0.018675,135
pfna,hilic,Aspartate and asparagine metabolism,109,109,18,14.362,0.097481,0.14994,0.021729,1059
pfna,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,34,34,7,4.4799,0.10724,0.21794,0.022234,1003
pfna,hilic,Nitrogen metabolism,10,10,3,1.3176,0.11063,0.34373,0.022413,4650
pfna,hilic,Vitamin H (biotin) metabolism,5,5,2,0.65881,0.11422,0.47429,0.022603,65
pfna,hilic,Lipoate metabolism,6,6,2,0.79058,0.15807,0.53789,0.025084,687
pfna,hilic,Glycerophospholipid metabolism,60,60,10,7.9058,0.18097,0.29099,0.026501,116
pfna,hilic,Arginine and Proline Metabolism,53,53,9,6.9834,0.18319,0.30199,0.026642,7398
pfna,hilic,Vitamin A (retinol) metabolism,19,19,4,2.5035,0.19043,0.40621,0.027111,359
pfna,hilic,Glutathione Metabolism,19,19,4,2.5035,0.19043,0.40621,0.027111,43
pfna,hilic,Glutamate metabolism,19,19,4,2.5035,0.19043,0.40621,0.027111,64
pfna,hilic,Pyrimidine metabolism,63,63,10,8.301,0.22441,0.34446,0.029439,198
pfna,hilic,Methionine and cysteine metabolism,49,49,8,6.4564,0.23501,0.3762,0.03021,34
pfna,hilic,Vitamin B6 (pyridoxine) metabolism,14,14,3,1.8447,0.23582,0.51748,0.03027,6873
pfna,hilic,Alanine and Aspartate Metabolism,21,21,4,2.767,0.24452,0.47348,0.030923,3784
pfna,hilic,Purine metabolism,45,45,7,5.9293,0.2994,0.46323,0.035422,984
pfna,hilic,3-oxo-10R-octadecatrienoate beta-oxidation,10,10,2,1.3176,0.34686,0.7244,0.039925,1064
pfna,hilic,Drug metabolism - other enzymes,18,18,3,2.3717,0.37583,0.65829,0.042999,642
pfna,hilic,Di-unsaturated fatty acid beta-oxidation,4,4,1,0.52705,0.4042,1,0.046281,2275
pfna,hilic,Arachidonic acid metabolism,19,19,3,2.5035,0.41059,0.68794,0.04706,466
pfna,hilic,Linoleate metabolism,43,43,6,5.6658,0.42433,0.60686,0.048788,9833
pfna,hilic,Beta-Alanine metabolism,20,20,3,2.6353,0.44475,0.71547,0.051497,2
pfna,hilic,C5-Branched dibasic acid metabolism,5,5,1,0.65881,0.47669,1,0.056106,0
pfna,hilic,D4&E4-neuroprostanes formation,5,5,1,0.65881,0.47669,1,0.056106,465
pfna,hilic,Butanoate metabolism,42,42,5,5.534,0.59116,0.76605,0.077339,3596
pfna,hilic,Ascorbate (Vitamin C) and Aldarate Metabolism,16,16,2,2.1082,0.5962,0.87349,0.078487,1449
pfna,hilic,Porphyrin metabolism,17,17,2,2.24,0.63027,0.88893,0.086843,4674
pfna,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,1,1.0541,0.64565,1,0.090993,869
pfna,hilic,Glycolysis and Gluconeogenesis,27,27,3,3.5576,0.65493,0.85619,0.093621,5841
pfna,hilic,Glycosphingolipid metabolism,27,27,3,3.5576,0.65493,0.85619,0.093621,1158
pfna,hilic,Prostaglandin formation from arachidonate,27,27,3,3.5576,0.65493,0.85619,0.093621,774
pfna,hilic,Fatty Acid Metabolism,18,18,2,2.3717,0.66208,0.9025,0.095716,473
pfna,hilic,Xenobiotics metabolism,47,47,5,6.1928,0.69379,0.83887,0.1058,6807
pfna,hilic,De novo fatty acid biosynthesis,29,29,3,3.8211,0.70348,0.88279,0.10917,720
pfna,hilic,"Valine, leucine and isoleucine degradation",30,30,3,3.9529,0.72575,0.89432,0.11748,739
pfna,hilic,Aminosugars metabolism,30,30,3,3.9529,0.72575,0.89432,0.11748,2375
pfna,hilic,Vitamin B9 (folate) metabolism,10,10,1,1.3176,0.72691,1,0.11794,6084
pfna,hilic,Omega-6 fatty acid metabolism,10,10,1,1.3176,0.72691,1,0.11794,52
pfna,hilic,Alkaloid biosynthesis II,11,11,1,1.4494,0.7603,1,0.13225,4228
pfna,hilic,C21-steroid hormone biosynthesis and metabolism,52,52,5,6.8517,0.77753,0.89183,0.14063,4916
pfna,hilic,Sialic acid metabolism,23,23,2,3.0305,0.78938,0.94926,0.14686,2202
pfna,hilic,Propanoate metabolism,12,12,1,1.5812,0.78963,1,0.147,3424
pfna,hilic,Omega-3 fatty acid metabolism,13,13,1,1.7129,0.8154,1,0.1621,2750
pfna,hilic,Ubiquinone Biosynthesis,13,13,1,1.7129,0.8154,1,0.1621,9657
pfna,hilic,Biopterin metabolism,14,14,1,1.8447,0.83802,1,0.17748,9976
pfna,hilic,Vitamin E metabolism,15,15,1,1.9764,0.85789,1,0.19306,8312
pfna,hilic,Androgen and estrogen biosynthesis and metabolism,28,28,2,3.6894,0.87266,0.97367,0.20623,8348
pfna,hilic,Hexose phosphorylation,16,16,1,2.1082,0.87534,1,0.20878,9830
pfna,hilic,Fructose and mannose metabolism,18,18,1,2.3717,0.9041,1,0.24038,9064
