exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfoa,hilic,Arachidonic acid metabolism,19,19,7,2.2216,0.0023802,0.011137,0.016844,0
pfoa,hilic,Urea cycle/amino group metabolism,92,92,19,10.757,0.002719,0.0060289,0.016858,3117
pfoa,hilic,Arginine and Proline Metabolism,53,53,13,6.1972,0.0027593,0.0075872,0.016859,411
pfoa,hilic,Di-unsaturated fatty acid beta-oxidation,4,4,3,0.46771,0.0045013,0.05883,0.016927,0
pfoa,hilic,Linoleate metabolism,43,43,10,5.0279,0.012673,0.03285,0.017252,4337
pfoa,hilic,Aspartate and asparagine metabolism,109,109,18,12.745,0.036132,0.062443,0.018221,330
pfoa,hilic,Histidine metabolism,38,38,8,4.4433,0.043677,0.10166,0.018546,234
pfoa,hilic,R Group Synthesis,4,4,2,0.46771,0.059653,0.36395,0.019254,0
pfoa,hilic,Prostaglandin formation from dihomo gama-linoleic acid,5,5,2,0.58464,0.092511,0.43212,0.020805,85
pfoa,hilic,"Valine, leucine and isoleucine degradation",30,30,6,3.5079,0.094242,0.20976,0.02089,0
pfoa,hilic,C21-steroid hormone biosynthesis and metabolism,52,52,9,6.0803,0.097165,0.18249,0.021036,115
pfoa,hilic,Porphyrin metabolism,17,17,4,1.9878,0.10079,0.26993,0.021217,273
pfoa,hilic,"Glycine, serine, alanine and threonine metabolism",69,69,11,8.0681,0.11278,0.19273,0.021831,244
pfoa,hilic,Glutamate metabolism,19,19,4,2.2216,0.13905,0.33138,0.023244,14
pfoa,hilic,Tryptophan metabolism,113,113,16,13.213,0.14448,0.21486,0.023549,8070
pfoa,hilic,Butanoate metabolism,42,42,7,4.911,0.15678,0.28759,0.024255,470
pfoa,hilic,Beta-Alanine metabolism,20,20,4,2.3386,0.16007,0.36216,0.024448,0
pfoa,hilic,Androgen and estrogen biosynthesis and metabolism,28,28,5,3.274,0.17495,0.35011,0.025343,926
pfoa,hilic,Lysine metabolism,44,44,7,5.1449,0.18649,0.32704,0.026062,8996
pfoa,hilic,De novo fatty acid biosynthesis,29,29,5,3.3909,0.19424,0.37572,0.026557,6
pfoa,hilic,Fatty acid activation,37,37,6,4.3264,0.19994,0.36066,0.026929,6
pfoa,hilic,Vitamin B2 (riboflavin) metabolism,2,2,1,0.23386,0.20375,1,0.027181,252
pfoa,hilic,Benzoate degradation via CoA ligation,2,2,1,0.23386,0.20375,1,0.027181,0
pfoa,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,2,0.93543,0.20957,0.59607,0.027569,0
pfoa,hilic,Vitamin E metabolism,15,15,3,1.7539,0.21337,0.48786,0.027827,300
pfoa,hilic,Hexose phosphorylation,16,16,3,1.8709,0.24327,0.52331,0.029951,4996
pfoa,hilic,Saturated fatty acids beta-oxidation,9,9,2,1.0524,0.25144,0.6395,0.030562,0
pfoa,hilic,Limonene and pinene degradation,9,9,2,1.0524,0.25144,0.6395,0.030562,8517
pfoa,hilic,Bile acid biosynthesis,24,24,4,2.8063,0.25359,0.4817,0.030726,34
pfoa,hilic,Methionine and cysteine metabolism,49,49,7,5.7295,0.26945,0.42778,0.031961,43
pfoa,hilic,Mono-unsaturated fatty acid beta-oxidation,3,3,1,0.35079,0.28959,1,0.033612,511
pfoa,hilic,Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,3,3,1,0.35079,0.28959,1,0.033612,0
pfoa,hilic,Vitamin B9 (folate) metabolism,10,10,2,1.1693,0.29351,0.67829,0.033945,2193
pfoa,hilic,Nitrogen metabolism,10,10,2,1.1693,0.29351,0.67829,0.033945,7815
pfoa,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,34,34,5,3.9756,0.29962,0.50076,0.034471,3688
pfoa,hilic,Fatty Acid Metabolism,18,18,3,2.1047,0.30472,0.58916,0.034917,24
pfoa,hilic,Fructose and mannose metabolism,18,18,3,2.1047,0.30472,0.58916,0.034917,2913
pfoa,hilic,N-Glycan biosynthesis,11,11,2,1.2862,0.33526,0.71293,0.037731,1032
pfoa,hilic,Fatty acid oxidation,11,11,2,1.2862,0.33526,0.71293,0.037731,118
pfoa,hilic,Pyrimidine metabolism,63,63,8,7.3665,0.3652,0.51838,0.040748,599
pfoa,hilic,Propanoate metabolism,12,12,2,1.4031,0.37627,0.74387,0.041933,353
pfoa,hilic,Alanine and Aspartate Metabolism,21,21,3,2.4555,0.39756,0.67495,0.044328,6191
pfoa,hilic,Omega-3 fatty acid metabolism,13,13,2,1.5201,0.41622,0.7715,0.04656,61
pfoa,hilic,Ubiquinone Biosynthesis,13,13,2,1.5201,0.41622,0.7715,0.04656,6081
