exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfbs,hilic,Purine metabolism,38,38,9,3.5178,0.0033544,0.011287,0.013323,2
pfbs,hilic,Carnitine shuttle,30,30,7,2.7772,0.01054,0.034914,0.013567,10
pfbs,hilic,Pyrimidine metabolism,44,44,7,4.0733,0.073781,0.16024,0.015933,69
pfbs,hilic,Butanoate metabolism,29,29,5,2.6847,0.09391,0.22479,0.016777,267
pfbs,hilic,Galactose metabolism,15,15,3,1.3886,0.12965,0.36631,0.0184,1911
pfbs,hilic,Leukotriene metabolism,24,24,4,2.2218,0.14175,0.33102,0.018987,282
pfbs,hilic,Saturated fatty acids beta-oxidation,8,8,2,0.7406,0.14418,0.50775,0.019108,1078
pfbs,hilic,Omega-3 fatty acid metabolism,9,9,2,0.83317,0.17545,0.54965,0.020735,624
pfbs,hilic,Linoleate metabolism,47,47,6,4.351,0.20622,0.36488,0.022487,7329
pfbs,hilic,Selenoamino acid metabolism,10,10,2,0.92575,0.20767,0.58802,0.022574,34
pfbs,hilic,Starch and Sucrose Metabolism,3,3,1,0.27772,0.23516,1,0.024286,462
pfbs,hilic,De novo fatty acid biosynthesis,30,30,4,2.7772,0.24972,0.47291,0.025251,566
pfbs,hilic,Alkaloid biosynthesis II,12,12,2,1.1109,0.27346,0.65532,0.026917,3146
pfbs,hilic,Fatty acid oxidation,12,12,2,1.1109,0.27346,0.65532,0.026917,79
pfbs,hilic,Electron transport chain,4,4,1,0.3703,0.30066,1,0.02898,1644
pfbs,hilic,"Fatty acid oxidation, peroxisome",4,4,1,0.3703,0.30066,1,0.02898,0
pfbs,hilic,Hexose phosphorylation,13,13,2,1.2035,0.30642,0.68477,0.029439,6231
pfbs,hilic,Glycosphingolipid metabolism,23,23,3,2.1292,0.31271,0.5928,0.02995,2939
pfbs,hilic,Xenobiotics metabolism,46,46,5,4.2584,0.3558,0.55575,0.033732,5022
pfbs,hilic,3-oxo-10R-octadecatrienoate beta-oxidation,5,5,1,0.46287,0.3606,1,0.034187,336
pfbs,hilic,Phytanic acid peroxisomal oxidation,5,5,1,0.46287,0.3606,1,0.034187,27
pfbs,hilic,Fatty acid activation,36,36,4,3.3327,0.37007,0.6001,0.035103,323
pfbs,hilic,Phosphatidylinositol phosphate metabolism,15,15,2,1.3886,0.37134,0.73639,0.035228,3200
