exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfda,hilic,Bile acid biosynthesis,28,28,11,4.3472,8.8512e-4,0.0033754,0.02204,5
pfda,hilic,Squalene and cholesterol biosynthesis,17,17,7,2.6393,0.0059961,0.02423,0.022292,0
pfda,hilic,Carnitine shuttle,30,30,10,4.6577,0.0062515,0.018855,0.022305,0
pfda,hilic,Vitamin B2 (riboflavin) metabolism,3,3,2,0.46577,0.05544,0.36942,0.024901,0
pfda,hilic,D4&E4-neuroprostanes formation,3,3,2,0.46577,0.05544,0.36942,0.024901,0
pfda,hilic,Vitamin D3 (cholecalciferol) metabolism,12,12,4,1.8631,0.079261,0.23751,0.026276,168
pfda,hilic,Purine metabolism,38,38,9,5.8997,0.080794,0.16045,0.026368,93
pfda,hilic,Saturated fatty acids beta-oxidation,8,8,3,1.242,0.093452,0.31855,0.027135,779
pfda,hilic,Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,1,1,1,0.15526,0.14324,1,0.030406,0
pfda,hilic,Di-unsaturated fatty acid beta-oxidation,5,5,2,0.77628,0.15212,0.53665,0.031034,213
pfda,hilic,Glycerophospholipid metabolism,50,50,10,7.7628,0.16574,0.27343,0.032026,139
pfda,hilic,Pentose phosphate pathway,17,17,4,2.6393,0.21737,0.44435,0.036122,500
pfda,hilic,Glycosphingolipid metabolism,23,23,5,3.5709,0.22399,0.41868,0.036689,1827
pfda,hilic,Limonene and pinene degradation,12,12,3,1.8631,0.24052,0.52717,0.038149,8429
pfda,hilic,Porphyrin metabolism,18,18,4,2.7946,0.25038,0.48388,0.039051,761
pfda,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,6,4.6577,0.25109,0.42802,0.039117,2312
pfda,hilic,Glycosphingolipid biosynthesis - globoseries,2,2,1,0.31051,0.26607,1,0.040537,1387
pfda,hilic,Mono-unsaturated fatty acid beta-oxidation,2,2,1,0.31051,0.26607,1,0.040537,0
pfda,hilic,Sphingolipid metabolism,2,2,1,0.31051,0.26607,1,0.040537,957
pfda,hilic,Hexose phosphorylation,13,13,3,2.0183,0.28202,0.57235,0.042114,5998
pfda,hilic,Drug metabolism - cytochrome P450,32,32,6,4.9682,0.30377,0.48755,0.044379,3635
pfda,hilic,Fatty Acid Metabolism,26,26,5,4.0366,0.31172,0.51881,0.045242,1013
pfda,hilic,Prostaglandin formation from arachidonate,26,26,5,4.0366,0.31172,0.51881,0.045242,92
pfda,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,10,9.0048,0.31175,0.44618,0.045245,497
pfda,hilic,Tryptophan metabolism,93,93,15,14.439,0.34802,0.45548,0.049434,7067
pfda,hilic,Linoleate metabolism,47,47,8,7.297,0.35652,0.5134,0.050481,8941
pfda,hilic,Lysine metabolism,47,47,8,7.297,0.35652,0.5134,0.050481,7007
pfda,hilic,R Group Synthesis,3,3,1,0.46577,0.37138,1,0.052372,9
pfda,hilic,Parathio degradation,3,3,1,0.46577,0.37138,1,0.052372,7
