exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfdoa,hilic,Fatty acid oxidation,12,12,5,1.2035,0.0028833,0.018501,0.0061963,0
pfdoa,hilic,"Valine, leucine and isoleucine degradation",25,25,6,2.5072,0.022389,0.070798,0.0065676,3
pfdoa,hilic,Parathio degradation,3,3,2,0.30087,0.023916,0.25069,0.0065976,0
pfdoa,hilic,Glutathione Metabolism,13,13,4,1.3038,0.025695,0.10872,0.0066328,34
pfdoa,hilic,Vitamin B5 - CoA biosynthesis from pantothenate,8,8,3,0.80231,0.030544,0.16192,0.0067298,807
pfdoa,hilic,"Glycine, serine, alanine and threonine metabolism",49,49,9,4.9142,0.030821,0.07138,0.0067354,42
pfdoa,hilic,Tryptophan metabolism,93,93,14,9.3269,0.03983,0.07319,0.0069197,1401
pfdoa,hilic,Urea cycle/amino group metabolism,76,76,12,7.622,0.04034,0.078492,0.0069303,1759
pfdoa,hilic,Omega-3 fatty acid metabolism,9,9,3,0.9026,0.042787,0.19626,0.0069813,70
pfdoa,hilic,"Fatty acid oxidation, peroxisome",4,4,2,0.40116,0.044955,0.31954,0.0070269,0
pfdoa,hilic,Carnitine shuttle,30,30,6,3.0087,0.05135,0.13227,0.0071632,128
pfdoa,hilic,Selenoamino acid metabolism,10,10,3,1.0029,0.057101,0.23139,0.0072882,4
pfdoa,hilic,Di-unsaturated fatty acid beta-oxidation,5,5,2,0.50145,0.070452,0.38212,0.0075875,15
pfdoa,hilic,CoA Catabolism,5,5,2,0.50145,0.070452,0.38212,0.0075875,572
pfdoa,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,25,25,5,2.5072,0.073243,0.18967,0.0076517,1075
pfdoa,hilic,Beta-Alanine metabolism,18,18,4,1.8052,0.076823,0.22377,0.0077349,141
pfdoa,hilic,Glutamate metabolism,12,12,3,1.2035,0.091455,0.30239,0.0080852,91
pfdoa,hilic,Arginine and Proline Metabolism,44,44,7,4.4127,0.10368,0.20881,0.0083908,909
pfdoa,hilic,Alanine and Aspartate Metabolism,20,20,4,2.0058,0.10556,0.27506,0.0084391,3721
pfdoa,hilic,Fatty acid activation,36,36,6,3.6104,0.10732,0.22831,0.0084842,30
pfdoa,hilic,Butanoate metabolism,29,29,5,2.9084,0.12218999999999999,0.27135,0.0088775,714
pfdoa,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,2,0.80231,0.16449,0.53764,0.010108,179
pfdoa,hilic,Nitrogen metabolism,8,8,2,0.80231,0.16449,0.53764,0.010108,2705
pfdoa,hilic,Histidine metabolism,32,32,5,3.2093,0.16675,0.33614,0.010178,4990
pfdoa,hilic,Omega-6 fatty acid metabolism,9,9,2,0.9026,0.19927,0.58031,0.011257,123
pfdoa,hilic,Pyrimidine metabolism,44,44,6,4.4127,0.21524,0.37731,0.011832,1214
pfdoa,hilic,Aspartate and asparagine metabolism,83,83,10,8.324,0.22992,0.34702,0.012388,4875
pfdoa,hilic,R Group Synthesis,3,3,1,0.30087,0.25289,1,0.013317,90
pfdoa,hilic,Benzoate degradation via CoA ligation,3,3,1,0.30087,0.25289,1,0.013317,0
pfdoa,hilic,Starch and Sucrose Metabolism,3,3,1,0.30087,0.25289,1,0.013317,3275
pfdoa,hilic,Lysine metabolism,47,47,6,4.7136,0.26309,0.4346,0.013753,5075
pfdoa,hilic,De novo fatty acid biosynthesis,30,30,4,3.0087,0.299,0.52931,0.01542,822
pfdoa,hilic,Vitamin B9 (folate) metabolism,12,12,2,1.2035,0.30653,0.68629,0.015796,1336
pfdoa,hilic,Vitamin E metabolism,22,22,3,2.2064,0.33306,0.61399,0.017207,1166
pfdoa,hilic,Hexose phosphorylation,13,13,2,1.3038,0.34205,0.71535,0.017716,5202
pfdoa,hilic,Glycosphingolipid biosynthesis - ganglioseries,6,6,1,0.60174,0.44229,1,0.024693,1137
pfdoa,hilic,Polyunsaturated fatty acid biosynthesis,6,6,1,0.60174,0.44229,1,0.024693,1490
pfdoa,hilic,Arachidonic acid metabolism,27,27,3,2.7078,0.46324,0.72565,0.026516,1741
pfdoa,hilic,Methionine and cysteine metabolism,28,28,3,2.8081,0.48812,0.74444,0.028882,3206
pfdoa,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,3,3.0087,0.53615,0.77876,0.034176,4410
