exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfds,hilic,Carnitine shuttle,30,30,8,2.9797,0.0040254,0.014577,0.010354,4
pfds,hilic,Omega-3 fatty acid metabolism,9,9,4,0.89392,0.0058473,0.040682,0.010405,2
pfds,hilic,Glycosphingolipid metabolism,23,23,6,2.2845,0.014204,0.05006,0.01064,79
pfds,hilic,De novo fatty acid biosynthesis,30,30,7,2.9797,0.015346,0.04734,0.010673,4
pfds,hilic,Fatty acid oxidation,12,12,4,1.1919,0.018501,0.087305,0.010763,0
pfds,hilic,Linoleate metabolism,47,47,9,4.6683,0.022573,0.055265,0.010882,2918
pfds,hilic,Omega-6 fatty acid metabolism,9,9,3,0.89392,0.041727,0.19326,0.011456,1
pfds,hilic,"Fatty acid oxidation, peroxisome",4,4,2,0.3973,0.044146,0.31687,0.011531,0
pfds,hilic,Chondroitin sulfate degradation,5,5,2,0.49662,0.069226,0.37908,0.01234,0
pfds,hilic,Vitamin B1 (thiamin) metabolism,5,5,2,0.49662,0.069226,0.37908,0.01234,0
pfds,hilic,Vitamin D3 (cholecalciferol) metabolism,12,12,3,1.1919,0.089369,0.29826,0.013033,166
pfds,hilic,Fatty acid activation,36,36,6,3.5757,0.10353,0.22226,0.013546,25
pfds,hilic,Vitamin A (retinol) metabolism,13,13,3,1.2912,0.10872,0.33316,0.01374,23
pfds,hilic,Heparan sulfate degradation,7,7,2,0.69527,0.12888,0.48716,0.01452,480
pfds,hilic,Lysine metabolism,47,47,7,4.6683,0.13053,0.24844,0.014586,3336
pfds,hilic,Mono-unsaturated fatty acid beta-oxidation,2,2,1,0.19865,0.17495,1,0.01649,0
pfds,hilic,Biopterin metabolism,9,9,2,0.89392,0.19626,0.57659,0.017499,1610
pfds,hilic,Squalene and cholesterol biosynthesis,17,17,3,1.6885,0.19891,0.46606,0.01763,140
pfds,hilic,Selenoamino acid metabolism,10,10,2,0.99325,0.23139,0.61532,0.019314,120
pfds,hilic,Tyrosine metabolism,125,125,14,12.416,0.24457,0.3403,0.020047,7269
pfds,hilic,R Group Synthesis,3,3,1,0.29797,0.25069,1,0.020398,153
pfds,hilic,Benzoate degradation via CoA ligation,3,3,1,0.29797,0.25069,1,0.020398,0
pfds,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,7,5.7608,0.27648,0.43307,0.021954,419
pfds,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,4,2.9797,0.29275,0.52242,0.023003,2392
pfds,hilic,Vitamin B9 (folate) metabolism,12,12,2,1.1919,0.30239,0.68257,0.023652,1119
pfds,hilic,Arginine and Proline Metabolism,44,44,5,4.3703,0.37731,0.57812,0.029447,3011
pfds,hilic,Di-unsaturated fatty acid beta-oxidation,5,5,1,0.49662,0.38212,1,0.029871,595
pfds,hilic,Phytanic acid peroxisomal oxidation,5,5,1,0.49662,0.38212,1,0.029871,26
pfds,hilic,Glycosphingolipid biosynthesis - ganglioseries,6,6,1,0.59595,0.43899,1,0.035446,670
pfds,hilic,Glyoxylate and Dicarboxylate Metabolism,6,6,1,0.59595,0.43899,1,0.035446,527
pfds,hilic,Polyunsaturated fatty acid biosynthesis,6,6,1,0.59595,0.43899,1,0.035446,1518
pfds,hilic,Pentose and Glucuronate Interconversions,6,6,1,0.59595,0.43899,1,0.035446,92
