exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfhps,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,17,8.1659,5.8293e-4,0.0016388,0.016439,0
pfhps,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,10,4.2237,0.0029938,0.010035,0.016534,16
pfhps,hilic,Dynorphin metabolism,2,2,2,0.28158,0.016772,0.24147,0.017089,0
pfhps,hilic,Omega-6 fatty acid metabolism,9,9,4,1.2671,0.020362,0.098301,0.017237,0
pfhps,hilic,Aspartate and asparagine metabolism,83,83,17,11.686,0.03124,0.056648,0.017694,668
pfhps,hilic,Alanine and Aspartate Metabolism,20,20,6,2.8158,0.035457,0.10365,0.017875,213
pfhps,hilic,Pyruvate Metabolism,3,3,2,0.42237,0.04601,0.33949,0.018336,4
pfhps,hilic,Arginine and Proline Metabolism,44,44,10,6.1948,0.048915,0.10188,0.018465,41
pfhps,hilic,Glutamate metabolism,12,12,4,1.6895,0.058548,0.19372,0.0189,0
pfhps,hilic,Porphyrin metabolism,18,18,5,2.5342,0.072442,0.19346,0.019548,79
pfhps,hilic,Glutathione Metabolism,13,13,4,1.8303,0.076296,0.22943,0.019732,42
pfhps,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,25,25,6,3.5198,0.093861,0.21172,0.020595,452
pfhps,hilic,Purine metabolism,38,38,8,5.35,0.10807,0.20904,0.021324,219
pfhps,hilic,Proteoglycan biosynthesis,1,1,1,0.14079,0.12989,1,0.022498,0
pfhps,hilic,Methionine and cysteine metabolism,28,28,6,3.9421,0.14454,0.28889,0.023326,372
pfhps,hilic,Glyoxylate and Dicarboxylate Metabolism,6,6,2,0.84474,0.17702,0.56425,0.025286,209
pfhps,hilic,Polyunsaturated fatty acid biosynthesis,6,6,2,0.84474,0.17702,0.56425,0.025286,506
pfhps,hilic,Glycerophospholipid metabolism,50,50,9,7.0395,0.19024,0.31156,0.026136,192
pfhps,hilic,Vitamin D3 (cholecalciferol) metabolism,12,12,3,1.6895,0.19656,0.47135,0.026553,777
pfhps,hilic,Vitamin B9 (folate) metabolism,12,12,3,1.6895,0.19656,0.47135,0.026553,295
pfhps,hilic,Ascorbate (Vitamin C) and Aldarate Metabolism,19,19,4,2.675,0.22579,0.45232,0.028582,1925
pfhps,hilic,Fatty Acid Metabolism,26,26,5,3.6606,0.24123,0.43744,0.029723,562
pfhps,hilic,Sphingolipid metabolism,2,2,1,0.28158,0.24301,1,0.029859,589
pfhps,hilic,Linoleate metabolism,47,47,8,6.6172,0.25808,0.40405,0.031027,8114
pfhps,hilic,Urea cycle/amino group metabolism,76,76,12,10.7,0.27415,0.38895,0.032332,5837
pfhps,hilic,Nitrogen metabolism,8,8,2,1.1263,0.27898,0.66999,0.032736,729
pfhps,hilic,Tryptophan metabolism,93,93,14,13.094,0.31447,0.42276,0.035886,6282
pfhps,hilic,Fatty acid activation,36,36,6,5.0685,0.32168,0.50499,0.036568,208
pfhps,hilic,Omega-3 fatty acid metabolism,9,9,2,1.2671,0.33013,0.71287,0.037386,1907
pfhps,hilic,Vitamin B2 (riboflavin) metabolism,3,3,1,0.42237,0.34152,1,0.03852,908
pfhps,hilic,Parathio degradation,3,3,1,0.42237,0.34152,1,0.03852,101
pfhps,hilic,D4&E4-neuroprostanes formation,3,3,1,0.42237,0.34152,1,0.03852,511
pfhps,hilic,TCA cycle,16,16,3,2.2527,0.3455,0.63217,0.038926,782
pfhps,hilic,De novo fatty acid biosynthesis,30,30,5,4.2237,0.34856,0.55509,0.039242,955
pfhps,hilic,Tyrosine metabolism,125,125,18,17.599,0.352,0.4471,0.0396,8736
pfhps,hilic,Leukotriene metabolism,24,24,4,3.379,0.38056,0.61687,0.042724,1605
pfhps,hilic,Beta-Alanine metabolism,18,18,3,2.5342,0.42055,0.69719,0.047588,1465
pfhps,hilic,Electron transport chain,4,4,1,0.56316,0.42728,1,0.048469,2282
pfhps,hilic,"Fatty acid oxidation, peroxisome",4,4,1,0.56316,0.42728,1,0.048469,0
pfhps,hilic,Glycolysis and Gluconeogenesis,11,11,2,1.5487,0.42874,0.78272,0.048662,3057
pfhps,hilic,"Glycine, serine, alanine and threonine metabolism",49,49,7,6.8987,0.45689,0.62265,0.052579,1527
pfhps,hilic,Aminosugars metabolism,19,19,3,2.675,0.45707,0.72599,0.052605,2050
pfhps,hilic,Fatty acid oxidation,12,12,2,1.6895,0.47517,0.81103,0.055322,180
pfhps,hilic,Limonene and pinene degradation,12,12,2,1.6895,0.47517,0.81103,0.055322,9435
pfhps,hilic,Di-unsaturated fatty acid beta-oxidation,5,5,1,0.70395,0.50194,1,0.059653,1246
pfhps,hilic,3-oxo-10R-octadecatrienoate beta-oxidation,5,5,1,0.70395,0.50194,1,0.059653,472
pfhps,hilic,Caffeine metabolism,5,5,1,0.70395,0.50194,1,0.059653,7525
pfhps,hilic,Pyrimidine metabolism,44,44,6,6.1948,0.51804,0.69133,0.062456,2486
pfhps,hilic,Vitamin E metabolism,22,22,3,3.0974,0.56003,0.79889,0.070549,2912
pfhps,hilic,Carnitine shuttle,30,30,4,4.2237,0.56091,0.76604,0.070732,3360
pfhps,hilic,Glycosphingolipid metabolism,23,23,3,3.2382,0.59167,0.8191,0.077514,5946
pfhps,hilic,Galactose metabolism,15,15,2,2.1119,0.59982,0.87578,0.079443,7255
pfhps,hilic,Phosphatidylinositol phosphate metabolism,15,15,2,2.1119,0.59982,0.87578,0.079443,6092
pfhps,hilic,Vitamin B6 (pyridoxine) metabolism,15,15,2,2.1119,0.59982,0.87578,0.079443,9498
pfhps,hilic,Histidine metabolism,32,32,4,4.5053,0.61466,0.804,0.083117,9045
pfhps,hilic,Drug metabolism - other enzymes,16,16,2,2.2527,0.63615,0.89202,0.088828,5676
pfhps,hilic,Squalene and cholesterol biosynthesis,17,17,2,2.3934,0.66986,0.90615,0.09885,1739
pfhps,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,1,1.1263,0.67269,1,0.099756,3041
pfhps,hilic,Saturated fatty acids beta-oxidation,8,8,1,1.1263,0.67269,1,0.099756,6460
pfhps,hilic,Carbon fixation,8,8,1,1.1263,0.67269,1,0.099756,4460
pfhps,hilic,Biopterin metabolism,9,9,1,1.2671,0.71551,1,0.11494,7399
pfhps,hilic,Butanoate metabolism,29,29,3,4.0829,0.7494,0.90647,0.12927,6509
pfhps,hilic,Ubiquinone Biosynthesis,11,11,1,1.5487,0.78517,1,0.14729,5681
pfhps,hilic,Alkaloid biosynthesis II,12,12,1,1.6895,0.81335,1,0.16423,8494
pfhps,hilic,Fructose and mannose metabolism,13,13,1,1.8303,0.83785,1,0.18152,8642
pfhps,hilic,Sialic acid metabolism,14,14,1,1.9711,0.85916,1,0.19907,6434
