exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfhxs,hilic,Linoleate metabolism,47,47,8,2.5834,0.0017723,0.0068892,0.001782,440
pfhxs,hilic,Dynorphin metabolism,2,2,1,0.10993,0.098895,1,0.0025664,42
pfhxs,hilic,Leukotriene metabolism,24,24,3,1.3192,0.11767,0.33817,0.0027561,427
pfhxs,hilic,"Valine, leucine and isoleucine degradation",25,25,3,1.3742,0.12909,0.35679,0.0028786,307
pfhxs,hilic,Prostaglandin formation from arachidonate,26,26,3,1.4291,0.1409,0.37523,0.0030114,103
pfhxs,hilic,Benzoate degradation via CoA ligation,3,3,1,0.1649,0.14467,1,0.0030552,0
pfhxs,hilic,Arachidonic acid metabolism,27,27,3,1.4841,0.15307,0.39346,0.003155,432
pfhxs,hilic,Tyrosine metabolism,125,125,9,6.8708,0.1727,0.27765,0.0034021,4519
pfhxs,hilic,Lipoate metabolism,5,5,1,0.27483,0.22948,1,0.0042394,2116
pfhxs,hilic,Ascorbate (Vitamin C) and Aldarate Metabolism,19,19,2,1.0444,0.2501,0.62434,0.0045955,1834
pfhxs,hilic,Polyunsaturated fatty acid biosynthesis,6,6,1,0.3298,0.26873,1,0.0049449,1055
pfhxs,hilic,Prostaglandin formation from dihomo gama-linoleic acid,6,6,1,0.3298,0.26873,1,0.0049449,278
pfhxs,hilic,Fatty acid activation,36,36,3,1.9788,0.27391,0.54502,0.005047,358
pfhxs,hilic,N-Glycan biosynthesis,7,7,1,0.38476,0.30601,1,0.0057323,1497
pfhxs,hilic,Vitamin E metabolism,22,22,2,1.2093,0.30797,0.67866,0.0057773,999
pfhxs,hilic,Fatty Acid Metabolism,26,26,2,1.4291,0.38375,0.73924,0.0078435,1190
pfhxs,hilic,Bile acid biosynthesis,28,28,2,1.5391,0.42041,0.76517,0.0091204,1781
pfhxs,hilic,Lysine metabolism,47,47,3,2.5834,0.43046,0.69267,0.0095091,5910
pfhxs,hilic,Glycolysis and Gluconeogenesis,11,11,1,0.60463,0.43735,1,0.009786,2976
pfhxs,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,2,1.649,0.45597,0.78857,0.01058,3327
pfhxs,hilic,De novo fatty acid biosynthesis,30,30,2,1.649,0.45597,0.78857,0.01058,1888
pfhxs,hilic,"Glycine, serine, alanine and threonine metabolism",49,49,3,2.6933,0.45809,0.71494,0.010674,3720
pfhxs,hilic,Vitamin D3 (cholecalciferol) metabolism,12,12,1,0.65959,0.46617,1,0.011044,1954
pfhxs,hilic,Limonene and pinene degradation,12,12,1,0.65959,0.46617,1,0.011044,7290
pfhxs,hilic,Glutamate metabolism,12,12,1,0.65959,0.46617,1,0.011044,4339
pfhxs,hilic,Hexose phosphorylation,13,13,1,0.71456,0.49353,1,0.012406,5615
pfhxs,hilic,Fructose and mannose metabolism,13,13,1,0.71456,0.49353,1,0.012406,4304
pfhxs,hilic,Vitamin B6 (pyridoxine) metabolism,15,15,1,0.82449,0.54419,1,0.015449,5994
pfhxs,hilic,TCA cycle,16,16,1,0.87946,0.56762,1,0.017135,1617
pfhxs,hilic,Drug metabolism - other enzymes,16,16,1,0.87946,0.56762,1,0.017135,3525
pfhxs,hilic,Squalene and cholesterol biosynthesis,17,17,1,0.93443,0.58986,1,0.018931,1489
pfhxs,hilic,Porphyrin metabolism,18,18,1,0.98939,0.61098,1,0.020838,2729
pfhxs,hilic,Beta-Alanine metabolism,18,18,1,0.98939,0.61098,1,0.020838,4728
pfhxs,hilic,Aminosugars metabolism,19,19,1,1.0444,0.63103,1,0.022857,5374
pfhxs,hilic,Pyrimidine metabolism,44,44,2,2.4185,0.66644,0.89914,0.027008,6634
pfhxs,hilic,Xenobiotics metabolism,46,46,2,2.5284,0.69064,0.90933,0.030362,6497
pfhxs,hilic,Glycosphingolipid metabolism,23,23,1,1.2642,0.70156,1,0.032037,7126
pfhxs,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,25,25,1,1.3742,0.73167,1,0.037275,8960
pfhxs,hilic,Glycerophospholipid metabolism,50,50,2,2.7483,0.7348,0.92678,0.037877,5493
pfhxs,hilic,Butanoate metabolism,29,29,1,1.594,0.78322,1,0.048968,7545
pfhxs,hilic,Carnitine shuttle,30,30,1,1.649,0.79451,1,0.05213,6304
pfhxs,hilic,Arginine and Proline Metabolism,44,44,1,2.4185,0.90329,1,0.10434,9534
pfhxs,hilic,Urea cycle/amino group metabolism,76,76,2,4.1774,0.91081,0.98211,0.11057,9835
pfhxs,hilic,Aspartate and asparagine metabolism,83,83,2,4.5622,0.93488,0.98783,0.13545,9798
pfhxs,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,1,3.188,0.95495,1,0.16542,6811
pfhxs,hilic,Tryptophan metabolism,93,93,2,5.1119,0.95897,0.99302,0.1731,9377
