exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfna,hilic,Pentose phosphate pathway,17,17,7,2.2787,0.0025391,0.012029,0.018852,0
pfna,hilic,Fructose and mannose metabolism,13,13,6,1.7425,0.002637,0.014731,0.018856,3
pfna,hilic,Purine metabolism,38,38,10,5.0935,0.013333,0.034708,0.019329,6
pfna,hilic,Hexose phosphorylation,13,13,5,1.7425,0.015182,0.064168,0.019413,787
pfna,hilic,Methionine and cysteine metabolism,28,28,8,3.7531,0.015976,0.046182,0.019448,5
pfna,hilic,Carnitine shuttle,30,30,8,4.0212,0.024253,0.064426,0.019826,12
pfna,hilic,Carbon fixation,8,8,3,1.0723,0.06489,0.25652,0.021801,104
pfna,hilic,Galactose metabolism,15,15,4,2.0106,0.10316,0.27671,0.02386,1522
pfna,hilic,Caffeine metabolism,5,5,2,0.6702,0.11812,0.48119,0.024723,3738
pfna,hilic,Lipoate metabolism,5,5,2,0.6702,0.11812,0.48119,0.024723,884
pfna,hilic,Bile acid biosynthesis,28,28,6,3.7531,0.12114,0.25372,0.024901,535
pfna,hilic,Drug metabolism - other enzymes,16,16,4,2.1446,0.12491,0.31231,0.025126,451
pfna,hilic,Aspartate and asparagine metabolism,83,83,14,11.125,0.13244,0.2071,0.025581,2434
pfna,hilic,Glycosphingolipid metabolism,23,23,5,3.0829,0.14449,0.30963,0.026329,1023
pfna,hilic,Glycolysis and Gluconeogenesis,11,11,3,1.4744,0.14527,0.39928,0.026378,1195
pfna,hilic,Squalene and cholesterol biosynthesis,17,17,4,2.2787,0.14842,0.34805,0.026578,56
pfna,hilic,Prostaglandin formation from dihomo gama-linoleic acid,6,6,2,0.80424,0.16322,0.54517,0.02754,6
pfna,hilic,Arginine and Proline Metabolism,44,44,8,5.8978,0.16617,0.28972,0.027736,255
pfna,hilic,Beta-Alanine metabolism,18,18,4,2.4127,0.17349,0.38361,0.028229,181
pfna,hilic,Vitamin D3 (cholecalciferol) metabolism,12,12,3,1.6085,0.17699,0.44429,0.028469,655
pfna,hilic,Glycosphingolipid biosynthesis - globoseries,2,2,1,0.26808,0.23213,1,0.03256,1230
pfna,hilic,3-Chloroacrylic acid degradation,2,2,1,0.26808,0.23213,1,0.03256,0
pfna,hilic,Sphingolipid metabolism,2,2,1,0.26808,0.23213,1,0.03256,750
pfna,hilic,Nitrogen metabolism,8,8,2,1.0723,0.25932,0.65057,0.034817,829
pfna,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,9,7.7743,0.28234,0.42028,0.036868,358
pfna,hilic,Butanoate metabolism,29,29,5,3.8872,0.28381,0.48549,0.037004,1210
pfna,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,5,4.0212,0.30941,0.51343,0.039458,2772
pfna,hilic,Pyruvate Metabolism,3,3,1,0.40212,0.32726,1,0.041278,766
pfna,hilic,Vitamin B2 (riboflavin) metabolism,3,3,1,0.40212,0.32726,1,0.041278,225
pfna,hilic,D4&E4-neuroprostanes formation,3,3,1,0.40212,0.32726,1,0.041278,10
pfna,hilic,Starch and Sucrose Metabolism,3,3,1,0.40212,0.32726,1,0.041278,752
pfna,hilic,Lysine metabolism,47,47,7,6.2999,0.36012,0.52767,0.044889,7022
pfna,hilic,Vitamin H (biotin) metabolism,4,4,1,0.53616,0.41068,1,0.051186,599
pfna,hilic,Ascorbate (Vitamin C) and Aldarate Metabolism,19,19,3,2.5468,0.42356,0.69872,0.052952,3899
pfna,hilic,Aminosugars metabolism,19,19,3,2.5468,0.42356,0.69872,0.052952,1858
pfna,hilic,Glycerophospholipid metabolism,50,50,7,6.702,0.4251,0.59201,0.053167,1018
pfna,hilic,Vitamin B9 (folate) metabolism,12,12,2,1.6085,0.44819,0.79406,0.056532,1949
pfna,hilic,Limonene and pinene degradation,12,12,2,1.6085,0.44819,0.79406,0.056532,9589
pfna,hilic,Glutamate metabolism,12,12,2,1.6085,0.44819,0.79406,0.056532,994
pfna,hilic,Alanine and Aspartate Metabolism,20,20,3,2.6808,0.45818,0.72601,0.058065,7372
pfna,hilic,Urea cycle/amino group metabolism,76,76,10,10.187,0.46965,0.60395,0.059888,7852
pfna,hilic,Chondroitin sulfate degradation,5,5,1,0.6702,0.48382,1,0.062234,2962
pfna,hilic,3-oxo-10R-octadecatrienoate beta-oxidation,5,5,1,0.6702,0.48382,1,0.062234,684
pfna,hilic,CoA Catabolism,5,5,1,0.6702,0.48382,1,0.062234,7446
pfna,hilic,Vitamin A (retinol) metabolism,13,13,2,1.7425,0.49143,0.81962,0.06354,901
pfna,hilic,De novo fatty acid biosynthesis,30,30,4,4.0212,0.51948,0.73419,0.068648,2171
pfna,hilic,Glycosphingolipid biosynthesis - ganglioseries,6,6,1,0.80424,0.54794,1,0.074352,1394
pfna,hilic,Propanoate metabolism,6,6,1,0.80424,0.54794,1,0.074352,5916
pfna,hilic,Glyoxylate and Dicarboxylate Metabolism,6,6,1,0.80424,0.54794,1,0.074352,965
pfna,hilic,Polyunsaturated fatty acid biosynthesis,6,6,1,0.80424,0.54794,1,0.074352,3349
pfna,hilic,Pentose and Glucuronate Interconversions,6,6,1,0.80424,0.54794,1,0.074352,273
pfna,hilic,N-Glycan Degradation,6,6,1,0.80424,0.54794,1,0.074352,8679
pfna,hilic,Phosphatidylinositol phosphate metabolism,15,15,2,2.0106,0.57125,0.86167,0.079465,5320
pfna,hilic,N-Glycan biosynthesis,7,7,1,0.93828,0.60414,1,0.087451,1404
pfna,hilic,Keratan sulfate degradation,7,7,1,0.93828,0.60414,1,0.087451,8195
