exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfns,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,9,4.4185,0.016502,0.041742,0.003905,15
pfns,hilic,Galactose metabolism,15,15,4,1.1427,0.017011,0.079893,0.0039115,212
pfns,hilic,Glycerophospholipid metabolism,50,50,8,3.8091,0.019806,0.051978,0.0039477,26
pfns,hilic,Squalene and cholesterol biosynthesis,17,17,4,1.2951,0.02663,0.10816,0.0040375,6
pfns,hilic,Prostaglandin formation from arachidonate,26,26,5,1.9807,0.030829,0.099949,0.0040938,2
pfns,hilic,Leukotriene metabolism,24,24,4,1.8284,0.081855,0.22916,0.0048488,228
pfns,hilic,Arachidonic acid metabolism,27,27,4,2.0569,0.11543,0.28712,0.0054253,217
pfns,hilic,Purine metabolism,38,38,5,2.8949,0.12198,0.26735,0.005546,592
pfns,hilic,Dynorphin metabolism,2,2,1,0.15236,0.13569,1,0.0058079,61
pfns,hilic,Pyruvate Metabolism,3,3,1,0.22854,0.19654,1,0.0071414,461
pfns,hilic,Vitamin D3 (cholecalciferol) metabolism,12,12,2,0.91418,0.20413,0.57998,0.0073294,789
pfns,hilic,Linoleate metabolism,47,47,5,3.5805,0.23011,0.41412,0.0080143,5898
pfns,hilic,Fructose and mannose metabolism,13,13,2,0.99036,0.23083,0.60944,0.0080345,2375
pfns,hilic,Hyaluronan Metabolism,4,4,1,0.30473,0.25317,1,0.0086804,1879
pfns,hilic,Vitamin H (biotin) metabolism,4,4,1,0.30473,0.25317,1,0.0086804,1494
pfns,hilic,Sialic acid metabolism,14,14,2,1.0665,0.25775,0.63686,0.0088199,846
pfns,hilic,Vitamin B6 (pyridoxine) metabolism,15,15,2,1.1427,0.28474,0.66238,0.0096911,4666
pfns,hilic,Di-unsaturated fatty acid beta-oxidation,5,5,1,0.38091,0.30584,1,0.010438,1117
pfns,hilic,Caffeine metabolism,5,5,1,0.38091,0.30584,1,0.010438,6348
pfns,hilic,Lipoate metabolism,5,5,1,0.38091,0.30584,1,0.010438,3799
pfns,hilic,Bile acid biosynthesis,28,28,3,2.1331,0.31383,0.59099,0.010737,1338
pfns,hilic,Pentose phosphate pathway,17,17,2,1.2951,0.33834,0.70822,0.011713,2042
pfns,hilic,Carnitine shuttle,30,30,3,2.2854,0.35378,0.62947,0.012377,1925
pfns,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,3,2.2854,0.35378,0.62947,0.012377,2713
pfns,hilic,Glyoxylate and Dicarboxylate Metabolism,6,6,1,0.45709,0.35485,1,0.012425,840
pfns,hilic,N-Glycan Degradation,6,6,1,0.45709,0.35485,1,0.012425,6999
pfns,hilic,Aminosugars metabolism,19,19,2,1.4474,0.39074,0.74791,0.014143,2665
pfns,hilic,N-Glycan biosynthesis,7,7,1,0.53327,0.40044,1,0.014651,1493
pfns,hilic,Keratan sulfate degradation,7,7,1,0.53327,0.40044,1,0.014651,6080
pfns,hilic,Heparan sulfate degradation,7,7,1,0.53327,0.40044,1,0.014651,3857
pfns,hilic,Xenobiotics metabolism,46,46,4,3.5043,0.40744,0.63253,0.01503,4249
pfns,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,1,0.60945,0.44284,1,0.017124,1199
pfns,hilic,Vitamin B5 - CoA biosynthesis from pantothenate,8,8,1,0.60945,0.44284,1,0.017124,4244
pfns,hilic,Carbon fixation,8,8,1,0.60945,0.44284,1,0.017124,1722
pfns,hilic,Omega-6 fatty acid metabolism,9,9,1,0.68563,0.48228,1,0.019849,510
pfns,hilic,Glycosphingolipid metabolism,23,23,2,1.7522,0.4895,0.81198,0.020399,5101
pfns,hilic,Glycolysis and Gluconeogenesis,11,11,1,0.83799,0.55308,1,0.026069,3349
pfns,hilic,Limonene and pinene degradation,12,12,1,0.91418,0.5848,1,0.029565,8971
pfns,hilic,Vitamin A (retinol) metabolism,13,13,1,0.99036,0.6143,1,0.033315,2038
pfns,hilic,De novo fatty acid biosynthesis,30,30,2,2.2854,0.63663,0.88775,0.036532,3288
pfns,hilic,Drug metabolism - cytochrome P450,32,32,2,2.4378,0.67218,0.90319,0.042457,6345
pfns,hilic,Tyrosine metabolism,125,125,7,9.5227,0.79866,0.88656,0.076229,9349
pfns,hilic,Urea cycle/amino group metabolism,76,76,4,5.7898,0.79976,0.91247,0.076658,9666
pfns,hilic,Tryptophan metabolism,93,93,5,7.0849,0.80235,0.90343,0.077672,8376
pfns,hilic,Pyrimidine metabolism,44,44,2,3.352,0.83048,0.9604,0.090026,8468
pfns,hilic,Fatty Acid Metabolism,26,26,1,1.9807,0.85295,1,0.102,5839
pfns,hilic,Aspartate and asparagine metabolism,83,83,4,6.323,0.85336,0.94019,0.10224,9633
pfns,hilic,Lysine metabolism,47,47,2,3.5805,0.85758,0.96838,0.10475,9441
pfns,hilic,Methionine and cysteine metabolism,28,28,1,2.1331,0.87336,1,0.11504,7958
pfns,hilic,"Glycine, serine, alanine and threonine metabolism",49,49,2,3.7329,0.87341,0.9728,0.11508,8418
pfns,hilic,Butanoate metabolism,29,29,1,2.2093,0.88249,1,0.12172,8691
pfns,hilic,Fatty acid activation,36,36,1,2.7425,0.93053,1,0.17054,6308
pfns,hilic,Arginine and Proline Metabolism,44,44,1,3.352,0.96207,1,0.22821,9879
