exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfoa,hilic,Carnitine shuttle,30,30,10,3.6162,8.7392e-4,0.003461,0.013067,0
pfoa,hilic,Prostaglandin formation from arachidonate,26,26,8,3.134,0.0051771,0.018382,0.01321,0
pfoa,hilic,Histidine metabolism,32,32,9,3.8573,0.0059096,0.018697,0.013235,434
pfoa,hilic,Dynorphin metabolism,2,2,2,0.24108,0.01228,0.20856,0.01345,0
pfoa,hilic,Vitamin B2 (riboflavin) metabolism,3,3,2,0.36162,0.034147,0.29603,0.014218,0
pfoa,hilic,Alkaloid biosynthesis II,12,12,4,1.4465,0.035506,0.13758,0.014267,0
pfoa,hilic,Leukotriene metabolism,24,24,6,2.893,0.041832,0.11529,0.014499,40
pfoa,hilic,Arginine and Proline Metabolism,44,44,9,5.3038,0.046841,0.10174,0.014686,75
pfoa,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,25,25,6,3.0135,0.050179,0.13198,0.014811,221
pfoa,hilic,Alanine and Aspartate Metabolism,20,20,5,2.4108,0.061732,0.1706,0.015255,964
pfoa,hilic,Omega-6 fatty acid metabolism,9,9,3,1.0849,0.068333,0.26086,0.015516,9
pfoa,hilic,Purine metabolism,38,38,7,4.5805,0.11941,0.23475,0.017701,300
pfoa,hilic,Prostaglandin formation from dihomo gama-linoleic acid,6,6,2,0.72324,0.13657,0.50491,0.018508,32
pfoa,hilic,Vitamin B9 (folate) metabolism,12,12,3,1.4465,0.14009,0.38857,0.018679,173
pfoa,hilic,Ascorbate (Vitamin C) and Aldarate Metabolism,19,19,4,2.2903,0.1517,0.35054,0.019254,1339
pfoa,hilic,"Glycine, serine, alanine and threonine metabolism",49,49,8,5.9065,0.16817,0.29084,0.020104,240
pfoa,hilic,Arachidonic acid metabolism,27,27,5,3.2546,0.17249,0.34705,0.020333,256
pfoa,hilic,Methionine and cysteine metabolism,28,28,5,3.3751,0.19238,0.37357,0.021429,636
pfoa,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,2,0.96432,0.22051,0.60869,0.02309,73
pfoa,hilic,Saturated fatty acids beta-oxidation,8,8,2,0.96432,0.22051,0.60869,0.02309,1089
pfoa,hilic,Nitrogen metabolism,8,8,2,0.96432,0.22051,0.60869,0.02309,552
pfoa,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,5,3.6162,0.23439,0.42629,0.023963,2021
pfoa,hilic,D4&E4-neuroprostanes formation,3,3,1,0.36162,0.29814,1,0.028471,541
pfoa,hilic,Aspartate and asparagine metabolism,83,83,11,10.005,0.31141,0.43451,0.029525,5525
pfoa,hilic,Aminosugars metabolism,19,19,3,2.2903,0.35543,0.63815,0.03335,1589
pfoa,hilic,Vitamin H (biotin) metabolism,4,4,1,0.48216,0.3764,1,0.035369,391
pfoa,hilic,Glutamate metabolism,12,12,2,1.4465,0.39261,0.75587,0.037025,1055
pfoa,hilic,Xenobiotics metabolism,46,46,6,5.5448,0.40535,0.58714,0.03839,5550
pfoa,hilic,Lysine metabolism,47,47,6,5.6654,0.42643,0.60722,0.040777,7425
pfoa,hilic,Glutathione Metabolism,13,13,2,1.567,0.43344,0.78309,0.041608,2162
pfoa,hilic,Di-unsaturated fatty acid beta-oxidation,5,5,1,0.6027,0.446,1,0.043148,869
pfoa,hilic,3-oxo-10R-octadecatrienoate beta-oxidation,5,5,1,0.6027,0.446,1,0.043148,301
pfoa,hilic,Lipoate metabolism,5,5,1,0.6027,0.446,1,0.043148,3604
pfoa,hilic,CoA Catabolism,5,5,1,0.6027,0.446,1,0.043148,5555
pfoa,hilic,Pentose and Glucuronate Interconversions,6,6,1,0.72324,0.50788,1,0.051785,130
pfoa,hilic,"Valine, leucine and isoleucine degradation",25,25,3,3.0135,0.5388,0.78272,0.056864,1238
pfoa,hilic,Vitamin B5 - CoA biosynthesis from pantothenate,8,8,1,0.96432,0.61182,1,0.071474,8590
pfoa,hilic,Beta-Alanine metabolism,18,18,2,2.1697,0.61251,0.88011,0.071632,3828
pfoa,hilic,Urea cycle/amino group metabolism,76,76,8,9.161,0.62594,0.75573,0.074815,9223
pfoa,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,6,6.9913,0.64185,0.78816,0.078819,1893
pfoa,hilic,Butanoate metabolism,29,29,3,3.4957,0.64344,0.84863,0.079234,5375
pfoa,hilic,Biopterin metabolism,9,9,1,1.0849,0.6553,1,0.082417,7025
pfoa,hilic,Vitamin E metabolism,22,22,2,2.6519,0.72241,0.92554,0.10396,4541
pfoa,hilic,Glycosphingolipid metabolism,23,23,2,2.7724,0.74545,0.93392,0.11307,7524
pfoa,hilic,Vitamin D3 (cholecalciferol) metabolism,12,12,1,1.4465,0.7588,1,0.11886,5858
pfoa,hilic,Limonene and pinene degradation,12,12,1,1.4465,0.7588,1,0.11886,9948
pfoa,hilic,Hexose phosphorylation,13,13,1,1.567,0.78591,1,0.13199,9630
pfoa,hilic,Linoleate metabolism,47,47,4,5.6654,0.78794,0.90835,0.13305,9844
pfoa,hilic,Fatty Acid Metabolism,26,26,2,3.134,0.80503,0.95384,0.14253,5404
pfoa,hilic,Tyrosine metabolism,125,125,11,15.068,0.84838,0.90752,0.17175,9889
pfoa,hilic,TCA cycle,16,16,1,1.9286,0.8504,1,0.17333,4788
pfoa,hilic,Drug metabolism - other enzymes,16,16,1,1.9286,0.8504,1,0.17333,8091
pfoa,hilic,De novo fatty acid biosynthesis,30,30,2,3.6162,0.86519,0.97144,0.18571,6589
pfoa,hilic,Squalene and cholesterol biosynthesis,17,17,1,2.0492,0.86728,1,0.18757,3999
pfoa,hilic,Pentose phosphate pathway,17,17,1,2.0492,0.86728,1,0.18757,6450
pfoa,hilic,Porphyrin metabolism,18,18,1,2.1697,0.88226,1,0.20195,7041
pfoa,hilic,Pyrimidine metabolism,44,44,3,5.3038,0.88579,0.96486,0.20561,8500
pfoa,hilic,Drug metabolism - cytochrome P450,32,32,2,3.8573,0.88846,0.97755,0.20846,9095
pfoa,hilic,Tryptophan metabolism,93,93,7,11.21,0.91309,0.95828,0.2386,9680
pfoa,hilic,Glycerophospholipid metabolism,50,50,2,6.027,0.98187,0.99748,0.41686,9328
pfoa,hilic,Fatty acid activation,36,36,1,4.3394,0.98665,1,0.44777,8447
