exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfos,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,19,9.7319,5.8196e-4,0.001566,0.028051,0
pfos,hilic,Methionine and cysteine metabolism,28,28,11,4.6982,0.0017384,0.0060821,0.028119,0
pfos,hilic,Purine metabolism,38,38,13,6.3761,0.0029159,0.0083623,0.028188,0
pfos,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,11,5.0338,0.0033239,0.010514,0.028212,18
pfos,hilic,Carnitine shuttle,30,30,10,5.0338,0.010952,0.030368,0.028665,4
pfos,hilic,Alanine and Aspartate Metabolism,20,20,7,3.3558,0.024602,0.072846,0.029496,2
pfos,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,25,25,8,4.1948,0.028699,0.075587,0.029751,4
pfos,hilic,Glycerophospholipid metabolism,50,50,13,8.3896,0.034318,0.069088,0.030104,3
pfos,hilic,Omega-6 fatty acid metabolism,9,9,4,1.5101,0.037048,0.14857,0.030277,0
pfos,hilic,Pyruvate Metabolism,3,3,2,0.50338,0.064232,0.39462,0.032063,0
pfos,hilic,Vitamin B2 (riboflavin) metabolism,3,3,2,0.50338,0.064232,0.39462,0.032063,0
pfos,hilic,Arginine and Proline Metabolism,44,44,11,7.3828,0.064385,0.1246,0.032074,2
pfos,hilic,Vitamin B9 (folate) metabolism,12,12,4,2.0135,0.10006,0.27724,0.0346,10
pfos,hilic,Glutamate metabolism,12,12,4,2.0135,0.10006,0.27724,0.0346,0
pfos,hilic,Histidine metabolism,32,32,8,5.3693,0.10728,0.21049,0.035138,2876
pfos,hilic,Nitrogen metabolism,8,8,3,1.3423,0.1127,0.35532,0.035548,0
pfos,hilic,Beta-Alanine metabolism,18,18,5,3.0203,0.1318,0.29575,0.037035,26
pfos,hilic,Biopterin metabolism,9,9,3,1.5101,0.15053,0.41439,0.038563,303
pfos,hilic,Glycosphingolipid biosynthesis - lactoseries,1,1,1,0.16779,0.1548,1,0.038921,0
pfos,hilic,Blood Group Biosynthesis,1,1,1,0.16779,0.1548,1,0.038921,0
pfos,hilic,Glycosphingolipid biosynthesis - neolactoseries,1,1,1,0.16779,0.1548,1,0.038921,0
pfos,hilic,Keratan sulfate biosynthesis,1,1,1,0.16779,0.1548,1,0.038921,0
pfos,hilic,O-Glycan biosynthesis,1,1,1,0.16779,0.1548,1,0.038921,0
