exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfuda,hilic,Biopterin metabolism,9,9,4,1.0068,0.0090121,0.055389,0.0061955,38
pfuda,hilic,Histidine metabolism,32,32,7,3.5796,0.039206,0.099674,0.0067832,2488
pfuda,hilic,Tyrosine metabolism,125,125,19,13.983,0.045206,0.074353,0.0069069,3265
pfuda,hilic,Caffeine metabolism,5,5,2,0.55931,0.085789,0.41765,0.0078095,1281
pfuda,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,25,25,5,2.7965,0.10628,0.24792,0.0083126,1640
pfuda,hilic,Hexose phosphorylation,13,13,3,1.4542,0.14255,0.39044,0.00929,2571
pfuda,hilic,Glycosphingolipid biosynthesis - globoseries,2,2,1,0.22372,0.19584,1,0.010958,551
pfuda,hilic,Aspartate and asparagine metabolism,83,83,11,9.2845,0.22797,0.33889,0.012118,4904
pfuda,hilic,Glycerophospholipid metabolism,50,50,7,5.5931,0.25095,0.40531,0.01303,701
pfuda,hilic,"Valine, leucine and isoleucine degradation",25,25,4,2.7965,0.25298,0.47992,0.013114,442
pfuda,hilic,Starch and Sucrose Metabolism,3,3,1,0.33558,0.27898,1,0.014245,3115
pfuda,hilic,Bile acid biosynthesis,28,28,4,3.1321,0.32581,0.55917,0.016562,1246
pfuda,hilic,Methionine and cysteine metabolism,28,28,4,3.1321,0.32581,0.55917,0.016562,1798
pfuda,hilic,Alanine and Aspartate Metabolism,20,20,3,2.2372,0.34126,0.62365,0.017415,7506
pfuda,hilic,Vitamin H (biotin) metabolism,4,4,1,0.44744,0.35359,1,0.018131,2363
pfuda,hilic,Alkaloid biosynthesis II,12,12,2,1.3423,0.35599,0.728,0.018274,4376
pfuda,hilic,Urea cycle/amino group metabolism,76,76,9,8.5014,0.38284,0.52492,0.019964,7659
pfuda,hilic,"Glycine, serine, alanine and threonine metabolism",49,49,6,5.4812,0.3942,0.57523,0.020731,2408
pfuda,hilic,Glutathione Metabolism,13,13,2,1.4542,0.39479,0.75613,0.020772,3307
pfuda,hilic,Chondroitin sulfate degradation,5,5,1,0.55931,0.42054,1,0.022639,4767
pfuda,hilic,3-oxo-10R-octadecatrienoate beta-oxidation,5,5,1,0.55931,0.42054,1,0.022639,910
pfuda,hilic,Lipoate metabolism,5,5,1,0.55931,0.42054,1,0.022639,5436
pfuda,hilic,Drug metabolism - cytochrome P450,32,32,4,3.5796,0.42441,0.6529,0.022937,4171
pfuda,hilic,Glycosphingolipid metabolism,23,23,3,2.5728,0.42943,0.7005,0.023328,4138
pfuda,hilic,Leukotriene metabolism,24,24,3,2.6847,0.45799,0.72308,0.025704,2453
pfuda,hilic,Vitamin B6 (pyridoxine) metabolism,15,15,2,1.6779,0.46898,0.80402,0.026691,7252
pfuda,hilic,Glycosphingolipid biosynthesis - ganglioseries,6,6,1,0.67117,0.48061,1,0.027783,2421
pfuda,hilic,Propanoate metabolism,6,6,1,0.67117,0.48061,1,0.027783,4746
pfuda,hilic,N-Glycan Degradation,6,6,1,0.67117,0.48061,1,0.027783,8168
pfuda,hilic,Arginine and Proline Metabolism,44,44,5,4.9219,0.48293,0.67663,0.028007,5578
pfuda,hilic,Prostaglandin formation from arachidonate,26,26,3,2.9084,0.5132,0.76399,0.031127,841
pfuda,hilic,N-Glycan biosynthesis,7,7,1,0.78303,0.5345,1,0.033562,2006
pfuda,hilic,Keratan sulfate degradation,7,7,1,0.78303,0.5345,1,0.033562,7362
pfuda,hilic,Heparan sulfate degradation,7,7,1,0.78303,0.5345,1,0.033562,5151
pfuda,hilic,Pentose phosphate pathway,17,17,2,1.9016,0.53756,0.84258,0.03393,3364
pfuda,hilic,Lysine metabolism,47,47,5,5.2575,0.54435,0.72754,0.034764,7876
pfuda,hilic,Vitamin B5 - CoA biosynthesis from pantothenate,8,8,1,0.89489,0.58284,1,0.039969,6087
pfuda,hilic,Nitrogen metabolism,8,8,1,0.89489,0.58284,1,0.039969,7496
pfuda,hilic,Ascorbate (Vitamin C) and Aldarate Metabolism,19,19,2,2.1254,0.59987,0.8736,0.042564,4614
pfuda,hilic,Aminosugars metabolism,19,19,2,2.1254,0.59987,0.8736,0.042564,4864
pfuda,hilic,Omega-3 fatty acid metabolism,9,9,1,1.0068,0.6262,1,0.046984,3883
pfuda,hilic,Vitamin E metabolism,22,22,2,2.4609,0.68127,0.90913,0.058186,3726
pfuda,hilic,Pyrimidine metabolism,44,44,4,4.9219,0.68355,0.84688,0.058718,6464
pfuda,hilic,Glycolysis and Gluconeogenesis,11,11,1,1.2305,0.69996,1,0.06273,4570
pfuda,hilic,Ubiquinone Biosynthesis,11,11,1,1.2305,0.69996,1,0.06273,3865
pfuda,hilic,Vitamin D3 (cholecalciferol) metabolism,12,12,1,1.3423,0.73123,1,0.071391,4725
pfuda,hilic,Vitamin B9 (folate) metabolism,12,12,1,1.3423,0.73123,1,0.071391,6428
pfuda,hilic,Limonene and pinene degradation,12,12,1,1.3423,0.73123,1,0.071391,9725
pfuda,hilic,Glutamate metabolism,12,12,1,1.3423,0.73123,1,0.071391,7497
pfuda,hilic,Linoleate metabolism,47,47,4,5.2575,0.73409,0.87758,0.072257,9391
pfuda,hilic,Fructose and mannose metabolism,13,13,1,1.4542,0.75927,1,0.080526,7654
pfuda,hilic,Sialic acid metabolism,14,14,1,1.5661,0.78441,1,0.09009,6120
pfuda,hilic,Galactose metabolism,15,15,1,1.6779,0.80694,1,0.10004,8572
pfuda,hilic,Phosphatidylinositol phosphate metabolism,15,15,1,1.6779,0.80694,1,0.10004,8006
pfuda,hilic,TCA cycle,16,16,1,1.7898,0.82713,1,0.11033,5056
pfuda,hilic,Drug metabolism - other enzymes,16,16,1,1.7898,0.82713,1,0.11033,7957
pfuda,hilic,Carnitine shuttle,30,30,2,3.3558,0.8342,0.96248,0.1143,6894
pfuda,hilic,Squalene and cholesterol biosynthesis,17,17,1,1.9016,0.84523,1,0.12093,4530
pfuda,hilic,Porphyrin metabolism,18,18,1,2.0135,0.86145,1,0.13178,6626
pfuda,hilic,Beta-Alanine metabolism,18,18,1,2.0135,0.86145,1,0.13178,8459
pfuda,hilic,Xenobiotics metabolism,46,46,3,5.1456,0.87199,0.95936,0.13966,8994
pfuda,hilic,Purine metabolism,38,38,2,4.2507,0.91799,0.98462,0.18539,8157
pfuda,hilic,Tryptophan metabolism,93,93,6,10.403,0.93544,0.97219,0.21042,9522
pfuda,hilic,Fatty Acid Metabolism,26,26,1,2.9084,0.94307,1,0.22359,7864
pfuda,hilic,Arachidonic acid metabolism,27,27,1,3.0203,0.94908,1,0.23526,8226
pfuda,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,3,6.4879,0.95091,0.98714,0.23908,6297
pfuda,hilic,Butanoate metabolism,29,29,1,3.244,0.95929,1,0.25849,9594
pfuda,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,1,3.3558,0.9636,1,0.27000999999999997,9253
pfuda,hilic,De novo fatty acid biosynthesis,30,30,1,3.3558,0.9636,1,0.27000999999999997,8678
