"","Pathway_Total","Hits","P_val","P_adj","NES","EC.Hits"
"De novo fatty acid biosynthesis",42,42,0.001135,0.04221,1.746,EC000380;EC000381;EC000382;EC000968;EC000400;EC000401;EC000402;EC000403;EC000404;EC000405;EC000245;EC000246;EC000817;EC000818;EC000815;EC000816;EC000814
"De novo fatty acid biosynthesis",42,42,0.001135,0.04221,1.746,EC00078;EC00079;EC000114
"De novo fatty acid biosynthesis",42,42,0.001135,0.04221,1.746,EC000365;EC00029;EC00052;EC00053;EC00054;EC00020;EC00047
"De novo fatty acid biosynthesis",42,42,0.001135,0.04221,1.746,EC00084;EC00085;EC00086;EC00087;EC00021;EC000308;EC000309;EC000310;EC00047;EC00015;EC00016;EC00017;EC00014;EC00020;EC000108;EC000654
"De novo fatty acid biosynthesis",42,42,0.001135,0.04221,1.746,EC00020;EC00029;EC000664;EC000665;EC000115;EC000237;EC00078;EC00079
"De novo fatty acid biosynthesis",42,42,0.001135,0.04221,1.746,EC00015;EC00016;EC00017;EC000212;EC000213
"De novo fatty acid biosynthesis",42,42,0.001135,0.04221,1.746,EC000240;EC00084;EC00085;EC00086;EC00087;EC000108;EC00093;EC00015;EC00016;EC00017;EC00021;EC000220;EC000221;EC000222;EC000117
"De novo fatty acid biosynthesis",42,42,0.001135,0.04221,1.746,EC000654;EC00078;EC00079;EC000563;EC00020;EC00047;EC00033;EC000116;EC00063;EC000624;EC00029;EC000359
"De novo fatty acid biosynthesis",42,42,0.001135,0.04221,1.746,EC00020;EC000114;EC00030;EC00078;EC00079;EC00065;EC00066;EC00067
"De novo fatty acid biosynthesis",42,42,0.001135,0.04221,1.746,EC00014;EC000384;EC000385
"Vitamin A (retinol) metabolism",31,31,0.001195,0.04221,1.774,EC00018;EC000979;EC000980;EC000854;EC000855;EC000546;EC000978;EC000977
"Arachidonic acid metabolism",31,31,0.001195,0.04221,1.888,EC00072;EC000851;EC000852;EC000853;EC000531;EC000971;EC000956;EC000845;EC000846;EC000847;EC000873;EC000874;EC000875;EC000547;EC000716;EC000876;EC00034;EC00035;EC000747;EC000748;EC000749;EC000745;EC000746;EC000849;EC000919;EC000920;EC000553;EC000681;EC000682;EC000683;EC000384;EC000385;EC000387;EC000388;EC000389;EC000390
"Vitamin A (retinol) metabolism",31,31,0.001195,0.04221,1.774,EC00020;EC000157;EC00047;EC00075;EC00094;EC000293;EC000163
"Arachidonic acid metabolism",31,31,0.001195,0.04221,1.888,EC00014
"Vitamin A (retinol) metabolism",31,31,0.001195,0.04221,1.774,EC000413;EC000160;EC000245;EC000246;EC000456;EC000109;EC000348;EC000190;EC000499;EC000353;EC000773;EC00059;EC00060;EC00061;EC000959;EC000960;EC000961
"Arachidonic acid metabolism",31,31,0.001195,0.04221,1.888,EC00020;EC00047;EC00078;EC00079;EC000563;EC000108;EC000116;EC000293;EC00063;EC00037;EC00038
"Vitamin A (retinol) metabolism",31,31,0.001195,0.04221,1.774,EC00020;EC00078;EC00079;EC00030;EC000336;EC000337;EC000338;EC000339;EC000340
"Arachidonic acid metabolism",31,31,0.001195,0.04221,1.888,EC0001006;EC0001007;EC0001010;EC0001011;EC000993;EC0001012;EC000821;EC000994;EC000488;EC000489;EC0001015;EC0001016;EC0001017;EC000149;EC000150;EC00012;EC000987;EC000988;EC0001018;EC0001019;EC0001020;EC0001008;EC000990;EC000996;EC000997
"Vitamin A (retinol) metabolism",31,31,0.001195,0.04221,1.774,EC000915;EC000916;EC000917
"Arachidonic acid metabolism",31,31,0.001195,0.04221,1.888,EC00014;EC000399;EC000669;EC000741;EC000102;EC000103;EC000104
