"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Arginine and Proline Metabolism","44","44","7","2.6731","0.0091459","0.029912","0.0037478","94","0.0094","P1","EC00089;EC000581;EC000583;EC000482;EC000234;EC000235;EC000222"
"Glutamate metabolism","12","12","3","0.72903","0.025682","0.13849","0.0039581","30","0.003","P2","EC000182;EC000581;EC000583"
"Galactose metabolism","15","15","3","0.91128","0.047103","0.1986","0.0042493","541","0.0541","P3","EC00080;EC000679;EC000353"
"Urea cycle/amino group metabolism","76","76","8","4.6172","0.055877","0.11826","0.0043751","2412","0.2412","P4","EC00089;EC000581;EC000583;EC000182;EC000234;EC000235;EC00041;EC000222"
"Porphyrin metabolism","18","18","3","1.0935","0.074985","0.26125","0.0046627","83","0.0083","P5","EC000234;EC000235;EC000382"
"Aspartate and asparagine metabolism","83","83","8","5.0424","0.08549","0.16607","0.0048294","2621","0.2621","P6","EC00089;EC000234;EC000235;EC000482;EC00041;EC000182;EC000770;EC000222"
"Glycine, serine, alanine and threonine metabolism","49","49","5","2.9769","0.13399","0.28275","0.005685","601","0.0601","P7","EC000182;EC000985;EC000234;EC000235;EC00041"
"Fatty Acid Metabolism","26","26","3","1.5796","0.17472","0.42566","0.0065285","336","0.0336","P8","EC000170;EC000460;EC0001136"
"Prostaglandin formation from arachidonate","26","26","3","1.5796","0.17472","0.42566","0.0065285","109","0.0109","P9","EC000232;EC000772;EC000774"
"Sialic acid metabolism","14","14","2","0.85053","0.18271","0.55028","0.006709","414","0.0414","P10","EC00080;EC000679"
"Hyaluronan Metabolism","4","4","1","0.24301","0.2063","1","0.0072743","1875","0.1875","P11","EC00080"
"Butanoate metabolism","29","29","3","1.7618","0.21878","0.48282","0.007594","1703","0.1703","P12","EC000705;EC000562;EC000182"
"C21-steroid hormone biosynthesis and metabolism","58","58","5","3.5236","0.2205","0.39938","0.0076392","413","0.0413","P13","EC000691;EC000333;EC000337;EC000667;EC000670"
"Carnitine shuttle","30","30","3","1.8226","0.23397","0.50111","0.0080036","1064","0.1064","P14","EC0001134;EC000170;EC0001146"
"Di-unsaturated fatty acid beta-oxidation","5","5","1","0.30376","0.25094","1","0.0084894","741","0.0741","P15","EC000460"
"3-oxo-10R-octadecatrienoate beta-oxidation","5","5","1","0.30376","0.25094","1","0.0084894","329","0.0329","P16","EC0001067"
"CoA Catabolism","5","5","1","0.30376","0.25094","1","0.0084894","3422","0.3422","P17","EC000367"
"Lysine metabolism","47","47","4","2.8554","0.26701","0.48689","0.0089789","4805","0.4805","P18","EC000170;EC000428;EC000394;EC000222"
"N-Glycan Degradation","6","6","1","0.36451","0.29311","1","0.0098405","3847","0.3847","P19","EC00080"
"Fatty acid activation","36","36","3","2.1871","0.32801","0.602","0.011136","463","0.0463","P20","EC0001043;EC0001136;EC000460"
"Keratan sulfate degradation","7","7","1","0.42527","0.33295","1","0.011333","4202","0.4202","P21","EC00080"
"Heparan sulfate degradation","7","7","1","0.42527","0.33295","1","0.011333","2071","0.2071","P22","EC00080"
"Purine metabolism","38","38","3","2.3086","0.35972","0.63212","0.012475","2059","0.2059","P23","EC000202;EC000452;EC000625"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","1","0.48602","0.37057","1","0.012973","668","0.0668","P24","EC000997"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","0.48602","0.37057","1","0.012973","3639","0.3639","P25","EC000367"
"Saturated fatty acids beta-oxidation","8","8","1","0.48602","0.37057","1","0.012973","1732","0.1732","P26","EC000170"
"Leukotriene metabolism","24","24","2","1.4581","0.39369","0.74749","0.014109","2016","0.2016","P27","EC000232;EC000997"
"Omega-6 fatty acid metabolism","9","9","1","0.54677","0.4061","1","0.014765","398","0.0398","P28","EC0001043"
"Arachidonic acid metabolism","27","27","2","1.6403","0.45347","0.78786","0.017594","1946","0.1946","P29","EC000232;EC000997"
"Bile acid biosynthesis","28","28","2","1.7011","0.47267","0.79985","0.018909","2175","0.2175","P30","EC000663;EC000514"
"Methionine and cysteine metabolism","28","28","2","1.7011","0.47267","0.79985","0.018909","3257","0.3257","P31","EC000261;EC000480"
"Vitamin D3 (cholecalciferol) metabolism","12","12","1","0.72903","0.50127","1","0.021079","2940","0.294","P32","EC0001001"
"Alkaloid biosynthesis II","12","12","1","0.72903","0.50127","1","0.021079","5399","0.5399","P33","EC000107"
"Vitamin B9 (folate) metabolism","12","12","1","0.72903","0.50127","1","0.021079","4517","0.4517","P34","EC000625"
"Limonene and pinene degradation","12","12","1","0.72903","0.50127","1","0.021079","8883","0.8883","P35","EC000267"
"Androgen and estrogen biosynthesis and metabolism","30","30","2","1.8226","0.50987","0.82186","0.021786","3903","0.3903","P36","EC000667;EC000670"
"Hexose phosphorylation","13","13","1","0.78978","0.52953","1","0.023505","7645","0.7645","P37","EC000353"
"Vitamin A (retinol) metabolism","13","13","1","0.78978","0.52953","1","0.023505","1947","0.1947","P38","EC000948"
"Fructose and mannose metabolism","13","13","1","0.78978","0.52953","1","0.023505","5952","0.5952","P39","EC000353"
"Glutathione Metabolism","13","13","1","0.78978","0.52953","1","0.023505","5905","0.5905","P40","EC000482"
"Glycerophospholipid metabolism","50","50","3","3.0376","0.54084","0.77718","0.024564","3005","0.3005","P41","EC000679;EC000428;EC000460"
"Histidine metabolism","32","32","2","1.9441","0.54537","0.84149","0.025004","7594","0.7594","P42","EC000591;EC000343"
"Vitamin B6 (pyridoxine) metabolism","15","15","1","0.91128","0.58139","1","0.028841","7845","0.7845","P43","EC000144"
"Drug metabolism - other enzymes","16","16","1","0.97203","0.60517","1","0.031751","4779","0.4779","P44","EC000817"
"Beta-Alanine metabolism","18","18","1","1.0935","0.64882","1","0.038046","5082","0.5082","P45","EC000182"
