"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Carnitine shuttle","47","47","13","5.8495","0.0016503","0.0049307","0.049542","0","0","P1","EC0001782;EC0001783;EC00026;EC0001444;EC0001757;EC0001361;EC0001771;EC0001772;EC0001360;EC0001784;EC00021;EC0001745;EC0001746"
"Prostaglandin formation from arachidonate","50","50","13","6.2229","0.0030376","0.0083917","0.049666","0","0","P2","EC0001648;EC000332;EC0001460;EC000339;EC0001152;EC0001305;EC0001455;EC0001457;EC0001154;EC0001589;EC000201;EC0001153;EC0001276"
"C21-steroid hormone biosynthesis and metabolism","62","62","14","7.7164","0.0083924","0.019502","0.050148","0","0","P3","EC0001740;EC0001034;EC000957;EC000745;EC0001027;EC0001020;EC0003;EC000882;EC000327;EC000385;EC00011;EC00012;EC0001272;EC00044"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","40","40","10","4.9783","0.012151","0.032136","0.050489","2","2e-04","P4","EC00037;EC00038;EC00067;EC00068;EC00080;EC0004;EC000643;EC00029;EC000128;EC00055"
"Vitamin A (retinol) metabolism","22","22","6","2.7381","0.032772","0.09691","0.05241","0","0","P5","EC000744;EC0001592;EC000377;EC0001269;EC000976;EC000330"
"Pyrimidine metabolism","101","101","18","12.57","0.03426","0.060357","0.052552","0","0","P6","EC000117;EC00069;EC00070;EC00080;EC000114;EC00037;EC00038;EC000371;EC000243;EC000278;EC000279;EC000280;EC000246;EC000128;EC00094;EC000343;EC000490;EC00055"
"Glutathione Metabolism","20","20","5","2.4892","0.069949","0.18742","0.056085","2469","0.2469","P7","EC000734;EC00037;EC00038;EC0001406;EC000484"
"Prostaglandin formation from dihomo gama-linoleic acid","9","9","3","1.1201","0.074318","0.27488","0.056536","0","0","P8","EC0001589;EC0001455;EC0001457"
"Alanine and Aspartate Metabolism","40","40","8","4.9783","0.079354","0.16403","0.05706","4005","0.4005","P9","EC00037;EC00038;EC00067;EC00068;EC00080;EC000606;EC00044;EC00055"
"Nitrogen metabolism","15","15","4","1.8669","0.083494","0.24096","0.057496","2141","0.2141","P10","EC00037;EC00038;EC00080;EC00055"
"Glycerophospholipid metabolism","83","83","14","10.33","0.085518","0.14385","0.05771","0","0","P11","EC00029;EC000976;EC000962;EC000820;EC0001198;EC000487;EC000441;EC00069;EC00070;EC000122;EC0001350;EC000201;EC00044;EC000330"
"Glyoxylate and Dicarboxylate Metabolism","10","10","3","1.2446","0.097473","0.31952","0.058994","164","0.0164","P12","EC000122;EC000194;EC00044"
"3-oxo-10R-octadecatrienoate beta-oxidation","11","11","3","1.369","0.12312","0.36348","0.061862","76","0.0076","P13","EC0001615;EC0001616;EC0001624"
"Arachidonic acid metabolism","37","37","7","4.605","0.12317","0.24176","0.061866","2","2e-04","P14","EC00037;EC00038;EC000339;EC000976;EC0001198;EC0001589;EC000201"
"Pyruvate Metabolism","12","12","3","1.4935","0.1509","0.40633","0.065149","93","0.0093","P15","EC000122;EC000196;EC00044"
"Glutamate metabolism","26","26","5","3.2359","0.17013","0.34543","0.067541","1482","0.1482","P16","EC00037;EC00038;EC00080;EC000879;EC000484"
"Porphyrin metabolism","26","26","5","3.2359","0.17013","0.34543","0.067541","20","0.002","P17","EC000857;EC000344;EC000553;EC000332;EC000385"
"Aminosugars metabolism","55","55","9","6.8452","0.17179","0.2876","0.067752","124","0.0124","P18","EC00037;EC00038;EC000114;EC00080;EC000294;EC00044;EC00069;EC00070;EC00094"
"Urea cycle/amino group metabolism","117","117","17","14.562","0.17741","0.25462","0.068473","10000","1","P19","EC00037;EC00038;EC000696;EC000518;EC00067;EC00068;EC000879;EC000382;EC000247;EC00044;EC00029;EC0001557;EC000344;EC000515;EC000516;EC000251;EC00055"
"Leukotriene metabolism","56","56","9","6.9697","0.18552","0.30525","0.06953","71","0.0071","P20","EC0001589;EC0001625;EC000201;EC00038;EC000339;EC0001455;EC0001457;EC0001701;EC0001702"
"Arginine and Proline Metabolism","72","72","11","8.961","0.19598","0.30328","0.07092","9990","0.999","P21","EC00037;EC00038;EC00067;EC00068;EC000879;EC00029;EC000159;EC000734;EC000344;EC00080;EC00055"
"TCA cycle","28","28","5","3.4848","0.21183","0.40017","0.073088","8","8e-04","P22","EC000114;EC00044;EC00094;EC000212;EC000332"
"Linoleate metabolism","44","44","7","5.4762","0.23464","0.38894","0.076345","4414","0.4414","P23","EC000972;EC0001691;EC0001314;EC0001313;EC0001501;EC000978;EC0001198"
"Beta-Alanine metabolism","22","22","4","2.7381","0.24063","0.46848","0.077229","6534","0.6534","P24","EC00037;EC00038;EC000313;EC00055"
"Glycosphingolipid biosynthesis - ganglioseries","15","15","3","1.8669","0.24335","0.52543","0.077633","15","0.0015","P25","EC0001172;EC0001175;EC0001174"
"Caffeine metabolism","15","15","3","1.8669","0.24335","0.52543","0.077633","1985","0.1985","P26","EC0001228;EC0001392;EC0001383"
"Carbon fixation","15","15","3","1.8669","0.24335","0.52543","0.077633","5126","0.5126","P27","EC000122;EC000128;EC00055"
"Valine, leucine and isoleucine degradation","37","37","6","4.605","0.24541","0.41852","0.077942","5060","0.506","P28","EC00037;EC00038;EC000139;EC000981;EC0001594;EC000212"
"Putative anti-Inflammatory metabolites formation from EPA","16","16","3","1.9913","0.27602","0.56143","0.0827","103","0.0103","P29","EC00037;EC00038;EC000971"
"Galactose metabolism","31","31","5","3.8582","0.27951","0.48049","0.083264","40","0.004","P30","EC000114;EC00069;EC00070;EC000122;EC00094"
"Vitamin D3 (cholecalciferol) metabolism","10","10","2","1.2446","0.32176","0.70386","0.090465","152","0.0152","P31","EC0001710;EC000444"
"Alkaloid biosynthesis II","10","10","2","1.2446","0.32176","0.70386","0.090465","4946","0.4946","P32","EC0001298;EC0001299"
"Vitamin B5 - CoA biosynthesis from pantothenate","18","18","3","2.2402","0.34232","0.62745","0.094238","412","0.0412","P33","EC00069;EC00070;EC000526"
"Glycine, serine, alanine and threonine metabolism","91","91","12","11.326","0.34915","0.47083","0.095534","9026","0.9026","P34","EC00037;EC00038;EC00067;EC00068;EC00029;EC000171;EC0001472;EC000247;EC000344;EC000212;EC000194;EC00044"
"Purine metabolism","92","92","12","11.45","0.3639","0.48627","0.098403","1678","0.1678","P35","EC00037;EC00038;EC000114;EC000159;EC000682;EC000681;EC000727;EC000128;EC00094;EC000490;EC00080;EC00055"
"Fatty acid oxidation","11","11","2","1.369","0.3659","0.7379","0.098801","0","0","P36","EC0001361;EC0001360"
"De novo fatty acid biosynthesis","28","28","4","3.4848","0.40399","0.63726","0.10675","1779","0.1779","P37","EC0001361;EC0001360;EC0001198;EC000201"
"Tyrosine metabolism","190","190","23","23.647","0.42594","0.51088","0.11169","10000","1","P38","EC000731;EC000732;EC000515;EC000516;EC00037;EC00038;EC00029;EC000332;EC000589;EC000251;EC000826;EC00090;EC0001631;EC0001383;EC00096;EC0001610;EC000382;EC00080;EC0001085;EC000441;EC000696;EC0001069;EC0001552"
"Vitamin B2 (riboflavin) metabolism","5","5","1","0.62229","0.45707","1","0.11919","52","0.0052","P39","EC000220"
"Dynorphin metabolism","5","5","1","0.62229","0.45707","1","0.11919","0","0","P40","EC0001543"
"Proteoglycan biosynthesis","5","5","1","0.62229","0.45707","1","0.11919","0","0","P41","EC00044"
"Vitamin B12 (cyanocobalamin) metabolism","5","5","1","0.62229","0.45707","1","0.11919","0","0","P42","EC00029"
"Glycolysis and Gluconeogenesis","30","30","4","3.7337","0.45811","0.68453","0.11945","2180","0.218","P43","EC000122;EC00044;EC000194;EC000212"
"Squalene and cholesterol biosynthesis","22","22","3","2.7381","0.47193","0.73602","0.12299","265","0.0265","P44","EC000444;EC000951;EC0001703"
"Androgen and estrogen biosynthesis and metabolism","48","48","6","5.974","0.47966","0.65758","0.12503","250","0.025","P45","EC00029;EC00011;EC00012;EC0001272;EC0001523;EC000957"
"Tryptophan metabolism","144","144","17","17.922","0.49251","0.59239","0.12852","9976","0.9976","P46","EC00037;EC00038;EC000264;EC000509;EC00029;EC0001114;EC000752;EC0001686;EC000662;EC0001093;EC0001191;EC0001560;EC0001512;EC000196;EC000918;EC0001091;EC000474"
"Methionine and cysteine metabolism","66","66","8","8.2142","0.49366","0.64441","0.12883","2261","0.2261","P47","EC00037;EC00038;EC00029;EC000171;EC000390;EC000730;EC000741;EC00044"
"Sialic acid metabolism","32","32","4","3.9827","0.51051","0.72708","0.1336","409","0.0409","P48","EC000820;EC0001175;EC0001174;EC000294"
"Benzoate degradation via CoA ligation","6","6","1","0.74675","0.51961","1","0.13628","3670","0.367","P49","EC000816"
"Vitamin B9 (folate) metabolism","25","25","3","3.1115","0.5612","0.79875","0.14941","3451","0.3451","P50","EC00037;EC00038;EC000606"
"Vitamin B6 (pyridoxine) metabolism","16","16","2","1.9913","0.56429","0.85782","0.15045","9994","0.9994","P51","EC000413;EC000251"
"Polyunsaturated fatty acid biosynthesis","7","7","1","0.87121","0.57497","1","0.15412","1478","0.1478","P52","EC0001360"
"Bile acid biosynthesis","35","35","4","4.356","0.58448","0.78236","0.15748","0","0","P53","EC0001020;EC000882;EC000736;EC000491"
"N-Glycan biosynthesis","26","26","3","3.2359","0.58888","0.81654","0.15908","2483","0.2483","P54","EC00069;EC00070;EC000456"
"CoA Catabolism","8","8","1","0.99567","0.62399","1","0.17259","2232","0.2232","P55","EC000526"
"D4&E4-neuroprostanes formation","8","8","1","0.99567","0.62399","1","0.17259","6632","0.6632","P56","EC000332"
"Butanoate metabolism","38","38","4","4.7294","0.65163","0.8281","0.18436","9978","0.9978","P57","EC00037;EC00038;EC000849;EC00044"
"Lipoate metabolism","9","9","1","1.1201","0.66737","1","0.19156","8776","0.8776","P58","EC0001510"
"Omega-6 fatty acid metabolism","20","20","2","2.4892","0.68833","0.91296","0.20179","34","0.0034","P59","EC000201;EC0001361"
"Propanoate metabolism","10","10","1","1.2446","0.70578","1","0.21092","6368","0.6368","P60","EC000196"
"Biopterin metabolism","21","21","2","2.6136","0.71442","0.92302","0.21568","9962","0.9962","P61","EC00090;EC00096"
"Omega-3 fatty acid metabolism","21","21","2","2.6136","0.71442","0.92302","0.21568","2081","0.2081","P62","EC000978;EC0001198"
"Aspartate and asparagine metabolism","136","136","14","16.926","0.71684","0.8012","0.21703","10000","1","P63","EC00037;EC00038;EC000344;EC000597;EC0001474;EC000734;EC00055;EC00067;EC00068;EC00080;EC000792;EC000484;EC000609;EC00044"
"Vitamin E metabolism","42","42","4","5.2272","0.72934","0.87616","0.22425","0","0","P64","EC0001676;EC0001679;EC0001736;EC0001683"
"Histidine metabolism","63","63","6","7.8409","0.74945","0.86505","0.23665","9977","0.9977","P65","EC00037;EC00038;EC000356;EC000512;EC00029;EC000313"
"Fructose and mannose metabolism","23","23","2","2.8625","0.76115","0.9398","0.24437","6896","0.6896","P66","EC000122;EC0001544"
"Lysine metabolism","75","75","7","9.3344","0.77798","0.8766","0.25617","9996","0.9996","P67","EC00037;EC00038;EC0001053;EC0001048;EC00029;EC000212;EC000912"
"Fatty acid activation","35","35","3","4.356","0.78535","0.92318","0.26163","383","0.0383","P68","EC0001361;EC0001360;EC0001198"
"Hexose phosphorylation","25","25","2","3.1115","0.80114","0.95294","0.27399","8541","0.8541","P69","EC000114;EC00094"
"Drug metabolism - cytochrome P450","47","47","4","5.8495","0.80741","0.91932","0.27917","8801","0.8801","P70","EC0001399;EC0001091;EC0001231;EC0001234"
"Pentose and Glucuronate Interconversions","14","14","1","1.7424","0.82001","1","0.29009","4456","0.4456","P71","EC000128"
"Ubiquinone Biosynthesis","16","16","1","1.9913","0.85929","1","0.3295","8921","0.8921","P72","EC00029"
"Glycosphingolipid metabolism","41","41","3","5.1028","0.86774","0.95826","0.33929","1207","0.1207","P73","EC000441;EC0001172;EC0001291"
"Pentose phosphate pathway","41","41","3","5.1028","0.86774","0.95826","0.33929","6076","0.6076","P74","EC000128;EC000122;EC000490"
"Phosphatidylinositol phosphate metabolism","33","33","2","4.1071","0.90787","0.98248","0.39508","1320","0.132","P75","EC00044;EC000330"
"Selenoamino acid metabolism","21","21","1","2.6136","0.92406","1","0.4237","6718","0.6718","P76","EC0001119"
"Ascorbate (Vitamin C) and Aldarate Metabolism","24","24","1","2.987","0.9476","1","0.47594","9647","0.9647","P77","EC000332"
"Fatty Acid Metabolism","31","31","1","3.8582","0.97801","1","0.5832","9611","0.9611","P78","EC000792"
"Drug metabolism - other enzymes","31","31","1","3.8582","0.97801","1","0.5832","9991","0.9991","P79","EC0001432"
"Xenobiotics metabolism","64","64","3","7.9653","0.98385","0.99651","0.61632","9995","0.9995","P80","EC0001332;EC0001340;EC000662"
