"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Urea cycle/amino group metabolism","76","76","16","7.1823","0.0004506","0.0012779","0.010368","23","0.0023","P1","EC00088;EC00091;EC000349;EC00031;EC00032;EC000176;EC000306;EC000169;EC000162;EC00021;EC00013;EC000182;EC000287;EC000234;EC000168;EC000222"
"Arginine and Proline Metabolism","44","44","10","4.1581","0.0032275","0.010106","0.010445","1","1e-04","P2","EC00088;EC00091;EC00031;EC00032;EC000176;EC000582;EC00013;EC000234;EC00034;EC000222"
"Aspartate and asparagine metabolism","83","83","15","7.8438","0.0036206","0.008602","0.010456","140","0.014","P3","EC00088;EC00091;EC000234;EC00013;EC000596;EC000169;EC000518;EC000182;EC000222;EC00031;EC00032;EC00034;EC000519;EC000176;EC00021"
"Pyruvate Metabolism","3","3","2","0.28351","0.021304","0.23739","0.010962","0","0","P4","EC00066;EC00021"
"Alanine and Aspartate Metabolism","20","20","5","1.8901","0.024507","0.086309","0.011056","439","0.0439","P5","EC00031;EC00032;EC00034;EC00021;EC000176"
"C21-steroid hormone biosynthesis and metabolism","58","58","9","5.4812","0.057829","0.11861","0.012092","33","0.0033","P6","EC00010;EC000690;EC000691;EC0001052;EC000333;EC000334;EC000337;EC000516;EC00021"
"Di-unsaturated fatty acid beta-oxidation","5","5","2","0.47252","0.063223","0.36371","0.012269","40","0.004","P7","EC00013;EC000460"
"CoA Catabolism","5","5","2","0.47252","0.063223","0.36371","0.012269","1528","0.1528","P8","EC000367;EC000368"
"Porphyrin metabolism","18","18","4","1.7011","0.064192","0.19805","0.012301","59","0.0059","P9","EC000234;EC000118;EC00013;EC000384"
"Fatty Acid Metabolism","26","26","5","2.4571","0.068508","0.18017","0.012446","64","0.0064","P10","EC000519;EC000170;EC000460;EC0001136;EC000450"
"Fatty acid activation","36","36","6","3.4021","0.085713","0.19284","0.013039","10","0.001","P11","EC0001136;EC000331;EC00013;EC0007;EC000460;EC000450"
"Proteoglycan biosynthesis","1","1","1","0.094503","0.087189","1","0.013092","0","0","P12","EC00021"
"Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation","1","1","1","0.094503","0.087189","1","0.013092","0","0","P13","EC00013"
"Glyoxylate and Dicarboxylate Metabolism","6","6","2","0.56702","0.089539","0.41887","0.013175","82","0.0082","P14","EC00066;EC00021"
"Polyunsaturated fatty acid biosynthesis","6","6","2","0.56702","0.089539","0.41887","0.013175","161","0.0161","P15","EC000450;EC0007"
"Glycine, serine, alanine and threonine metabolism","49","49","7","4.6307","0.12667","0.24229","0.01458","198","0.0198","P16","EC000182;EC00031;EC00032;EC00013;EC000162;EC000234;EC00021"
"Phosphatidylinositol phosphate metabolism","15","15","3","1.4176","0.13579","0.37636","0.014949","980","0.098","P17","EC00021;EC000622;EC000118"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","2","0.75603","0.14919","0.51537","0.01551","2611","0.2611","P18","EC000367;EC000368"
"Saturated fatty acids beta-oxidation","8","8","2","0.75603","0.14919","0.51537","0.01551","682","0.0682","P19","EC000170;EC00013"
"Mono-unsaturated fatty acid beta-oxidation","2","2","1","0.18901","0.16685","1","0.016285","0","0","P20","EC00013"
"Sphingolipid metabolism","2","2","1","0.18901","0.16685","1","0.016285","365","0.0365","P21","EC000283"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","4","2.3626","0.16701","0.36787","0.016292","2064","0.2064","P22","EC00031;EC00032;EC00034;EC000431"
"Beta-Alanine metabolism","18","18","3","1.7011","0.20228","0.46938","0.01797","553","0.0553","P23","EC000182;EC00077;EC000169"
"Linoleate metabolism","47","47","6","4.4417","0.21998","0.38233","0.018883","7196","0.7196","P24","EC000993;EC0001098;EC000831;EC0001019;EC000460;EC000462"
"Bile acid biosynthesis","28","28","4","2.6461","0.22248","0.44055","0.019017","887","0.0887","P25","EC000647;EC00013;EC000950;EC000525"
"R Group Synthesis","3","3","1","0.28351","0.23962","1","0.019957","86","0.0086","P26","EC00013"
"Vitamin B2 (riboflavin) metabolism","3","3","1","0.28351","0.23962","1","0.019957","511","0.0511","P27","EC00013"
"Glycolysis and Gluconeogenesis","11","11","2","1.0395","0.24798","0.63117","0.020434","1934","0.1934","P28","EC00066;EC00021"
"Carnitine shuttle","30","30","4","2.8351","0.26186","0.48727","0.021255","1025","0.1025","P29","EC0001137;EC0007;EC000170;EC0001122"
"De novo fatty acid biosynthesis","30","30","4","2.8351","0.26186","0.48727","0.021255","579","0.0579","P30","EC0007;EC000450;EC000331;EC000460"
"Vitamin D3 (cholecalciferol) metabolism","12","12","2","1.134","0.28172","0.66332","0.022493","907","0.0907","P31","EC0001057;EC000950"
"Fatty acid oxidation","12","12","2","1.134","0.28172","0.66332","0.022493","67","0.0067","P32","EC00013;EC0007"
"Glutamate metabolism","12","12","2","1.134","0.28172","0.66332","0.022493","525","0.0525","P33","EC000182;EC00034"
"Drug metabolism - cytochrome P450","32","32","4","3.0241","0.30249","0.5321","0.023875","3220","0.322","P34","EC000813;EC000918;EC000921;EC000927"
"Hyaluronan Metabolism","4","4","1","0.37801","0.30609","1","0.024125","1399","0.1399","P35","EC000118"
