"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"C21-steroid hormone biosynthesis and metabolism","62","62","16","8.2871","0.0024307","0.0061409","0.029376","0","0","P1","EC0001739;EC000415;EC0001031;EC000745;EC0001027;EC0001036;EC000882;EC000498;EC000998;EC0001029;EC000784;EC000385;EC00011;EC0001039;EC000996;EC000997"
"Porphyrin metabolism","26","26","7","3.4752","0.033113","0.089448","0.031309","1","1e-04","P2","EC000605;EC000345;EC0001124;EC000107;EC000397;EC000398;EC000385"
"Linoleate metabolism","44","44","10","5.8812","0.036992","0.081259","0.031563","732","0.0732","P3","EC000934;EC0001696;EC0001498;EC000972;EC0001253;EC0001693;EC0001536;EC0001314;EC000978;EC000700"
"Glycine, serine, alanine and threonine metabolism","91","91","17","12.163","0.04779","0.08265","0.032283","2751","0.2751","P4","EC00035;EC00038;EC00063;EC00065;EC000107;EC0001499;EC0001583;EC00084;EC000345;EC00088;EC0001159;EC000435;EC00083;EC000188;EC000191;EC000751;EC000760"
"Urea cycle/amino group metabolism","117","117","20","15.639","0.074676","0.11665","0.034156","9999","0.9999","P5","EC00035;EC00038;EC000162;EC000435;EC00063;EC00065;EC000260;EC000263;EC000881;EC000499;EC000350;EC000351;EC000383;EC00084;EC000766;EC000345;EC000516;EC000250;EC00055;EC00088"
"Arginine and Proline Metabolism","72","72","13","9.6238","0.097096","0.16411","0.035811","9885","0.9885","P6","EC00035;EC00038;EC000162;EC00063;EC00065;EC000260;EC000263;EC000881;EC00084;EC000733;EC000345;EC00055;EC0001147"
"Alanine and Aspartate Metabolism","40","40","8","5.3465","0.11024","0.21255","0.036822","5272","0.5272","P7","EC00035;EC00038;EC00063;EC00065;EC000605;EC000260;EC000263;EC00055"
"Geraniol degradation","1","1","1","0.13366","0.12343","1","0.03787","0","0","P8","EC0001397"
"Beta-Alanine metabolism","22","22","5","2.9406","0.12485","0.28112","0.037985","3749","0.3749","P9","EC00035;EC00038;EC000499;EC000148;EC00055"
"Drug metabolism - other enzymes","31","31","6","4.1436","0.1745","0.33042","0.042255","1913","0.1913","P10","EC0001430;EC0001434;EC0001433;EC0001438;EC0001248;EC0001217"
"Di-unsaturated fatty acid beta-oxidation","12","12","3","1.604","0.17658","0.4444","0.042446","0","0","P11","EC0001449;EC0001445;EC000700"
"Androgen and estrogen biosynthesis and metabolism","48","48","8","6.4158","0.23319","0.37528","0.048022","23","0.0023","P12","EC000998;EC000415;EC000784;EC000996;EC000997;EC0001039;EC0001270;EC00011"
"De novo fatty acid biosynthesis","28","28","5","3.7426","0.25795","0.45716","0.050721","783","0.0783","P13","EC000707;EC0001199;EC000742;EC000201;EC000700"
"TCA cycle","28","28","5","3.7426","0.25795","0.45716","0.050721","10","0.001","P14","EC000165;EC000114;EC0001013;EC000322;EC000107"
"Carbon fixation","15","15","3","2.005","0.2797","0.56691","0.053237","4242","0.4242","P15","EC000100;EC000235;EC00055"
"Nitrogen metabolism","15","15","3","2.005","0.2797","0.56691","0.053237","7694","0.7694","P16","EC00035;EC00038;EC00055"
"Squalene and cholesterol biosynthesis","22","22","4","2.9406","0.28407","0.51933","0.053759","62","0.0062","P17","EC000444;EC000144;EC000145;EC000625"
"Valine, leucine and isoleucine degradation","37","37","6","4.9455","0.30209","0.48418","0.055979","5436","0.5436","P18","EC00035;EC00038;EC000154;EC000141;EC000981;EC000107"
"Arachidonic acid metabolism","37","37","6","4.9455","0.30209","0.48418","0.055979","95","0.0095","P19","EC00035;EC00038;EC0001315;EC000976;EC0001761;EC000201"
"Vitamin B6 (pyridoxine) metabolism","16","16","3","2.1386","0.31546","0.60321","0.057694","9889","0.9889","P20","EC000217;EC000218;EC000250"
"Butanoate metabolism","38","38","6","5.0792","0.32505","0.50891","0.058963","9293","0.9293","P21","EC00035;EC00038;EC0001056;EC000849;EC000107;EC000815"
