"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Purine metabolism","38","38","9","3.5178","0.0033544","0.011287","0.013323","2","2e-04","P1","EC000202;EC000638;EC000475;EC000452;EC000453;EC00075;EC000648;EC000625;EC000324"
"Carnitine shuttle","30","30","7","2.7772","0.01054","0.034914","0.013567","10","0.001","P2","EC0001145;EC0001125;EC0001126;EC000557;EC0007;EC0001134;EC0001152"
"Pyrimidine metabolism","44","44","7","4.0733","0.073781","0.16024","0.015933","69","0.0069","P3","EC00033;EC000201;EC000217;EC000182;EC000185;EC000274;EC000209"
"Butanoate metabolism","29","29","5","2.6847","0.09391","0.22479","0.016777","267","0.0267","P4","EC000705;EC000707;EC000565;EC000182;EC000544"
"Galactose metabolism","15","15","3","1.3886","0.12965","0.36631","0.0184","1911","0.1911","P5","EC00051;EC00033;EC000354"
"Leukotriene metabolism","24","24","4","2.2218","0.14175","0.33102","0.018987","282","0.0282","P6","EC0001047;EC000989;EC0001105;EC0001108"
"Saturated fatty acids beta-oxidation","8","8","2","0.7406","0.14418","0.50775","0.019108","1078","0.1078","P7","EC000557;EC000138"
"Omega-3 fatty acid metabolism","9","9","2","0.83317","0.17545","0.54965","0.020735","624","0.0624","P8","EC000654;EC0007"
"Linoleate metabolism","47","47","6","4.351","0.20622","0.36488","0.022487","7329","0.7329","P9","EC000993;EC0001018;EC0001019;EC0001020;EC000654;EC000462"
"Selenoamino acid metabolism","10","10","2","0.92575","0.20767","0.58802","0.022574","34","0.0034","P10","EC00014;EC000750"
"Starch and Sucrose Metabolism","3","3","1","0.27772","0.23516","1","0.024286","462","0.0462","P11","EC00051"
"De novo fatty acid biosynthesis","30","30","4","2.7772","0.24972","0.47291","0.025251","566","0.0566","P12","EC0007;EC000463;EC000138;EC0001010"
"Alkaloid biosynthesis II","12","12","2","1.1109","0.27346","0.65532","0.026917","3146","0.3146","P13","EC000793;EC000110"
"Fatty acid oxidation","12","12","2","1.1109","0.27346","0.65532","0.026917","79","0.0079","P14","EC0007;EC000217"
"Electron transport chain","4","4","1","0.3703","0.30066","1","0.02898","1644","0.1644","P15","EC000217"
"Fatty acid oxidation, peroxisome","4","4","1","0.3703","0.30066","1","0.02898","0","0","P16","EC0007"
"Hexose phosphorylation","13","13","2","1.2035","0.30642","0.68477","0.029439","6231","0.6231","P17","EC00051;EC000354"
"Glycosphingolipid metabolism","23","23","3","2.1292","0.31271","0.5928","0.02995","2939","0.2939","P18","EC000138;EC000855;EC000476"
"Xenobiotics metabolism","46","46","5","4.2584","0.3558","0.55575","0.033732","5022","0.5022","P19","EC000528;EC000882;EC000138;EC000878;EC000881"
"3-oxo-10R-octadecatrienoate beta-oxidation","5","5","1","0.46287","0.3606","1","0.034187","336","0.0336","P20","EC0001065"
"Phytanic acid peroxisomal oxidation","5","5","1","0.46287","0.3606","1","0.034187","27","0.0027","P21","EC000463"
"Fatty acid activation","36","36","4","3.3327","0.37007","0.6001","0.035103","323","0.0323","P22","EC000463;EC0007;EC0001147;EC000138"
"Phosphatidylinositol phosphate metabolism","15","15","2","1.3886","0.37134","0.73639","0.035228","3200","0.32","P23","EC00051;EC000138"
"Vitamin B6 (pyridoxine) metabolism","15","15","2","1.3886","0.37134","0.73639","0.035228","7553","0.7553","P24","EC000143;EC00014"
"Polyunsaturated fatty acid biosynthesis","6","6","1","0.55545","0.41546","1","0.039906","2180","0.218","P25","EC0007"
"Prostaglandin formation from dihomo gama-linoleic acid","6","6","1","0.55545","0.41546","1","0.039906","441","0.0441","P26","EC0001047"
"Beta-Alanine metabolism","18","18","2","1.6663","0.46378","0.79855","0.045877","2264","0.2264","P27","EC000212;EC000182"
"N-Glycan biosynthesis","7","7","1","0.64802","0.46565","1","0.046128","907","0.0907","P28","EC00033"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","1","0.7406","0.51157","1","0.052841","816","0.0816","P29","EC000989"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","0.7406","0.51157","1","0.052841","6805","0.6805","P30","EC00033"
"Histidine metabolism","32","32","3","2.9624","0.52479","0.76998","0.054983","8490","0.849","P31","EC000592;EC000756;EC000212"
"Omega-6 fatty acid metabolism","9","9","1","0.83317","0.55359","1","0.060026","672","0.0672","P32","EC0007"
"Ubiquinone Biosynthesis","11","11","1","1.0183","0.62718","1","0.075728","4137","0.4137","P33","EC000217"
"Tyrosine metabolism","125","125","10","11.572","0.6433","0.75332","0.079828","9534","0.9534","P34","EC0001078;EC000481;EC000280;EC000281;EC000712;EC0006;EC0001073;EC000193;EC000724;EC000927"
"Vitamin B9 (folate) metabolism","12","12","1","1.1109","0.65934","1","0.084193","4703","0.4703","P35","EC000625"
"Limonene and pinene degradation","12","12","1","1.1109","0.65934","1","0.084193","9798","0.9798","P36","EC000523"
"Glutamate metabolism","12","12","1","1.1109","0.65934","1","0.084193","4525","0.4525","P37","EC000182"
"Fatty Acid Metabolism","26","26","2","2.4069","0.66686","0.90203","0.086346","3739","0.3739","P38","EC000463;EC000138"
"Arachidonic acid metabolism","27","27","2","2.4995","0.68742","0.91051","0.092606","3565","0.3565","P39","EC000989;EC0001130"
"Fructose and mannose metabolism","13","13","1","1.2035","0.68875","1","0.09303","6306","0.6306","P40","EC000354"
