"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Tyrosine metabolism","151","151","32","24.376","0.016097","0.025765","0.021171","9768","0.9768","P1","EC00015;EC0001078;EC000373;EC000310;EC000923;EC000925;EC0001233;EC000606;EC00052;EC0001194;EC000879;EC00057;EC000568;EC000279;EC000123;EC000124;EC0001063;EC000796;EC000772;EC000791;EC000927;EC000508;EC000554;EC000783;EC000785;EC000782;EC000786;EC000787;EC00031;EC000326;EC000794;EC0001027"
"Vitamin H (biotin) metabolism","5","5","3","0.80716","0.02566","0.16043","0.021626","0","0","P2","EC00081;EC00027;EC00015"
"De novo fatty acid biosynthesis","29","29","8","4.6815","0.053757","0.12312","0.023025","0","0","P3","EC00015;EC000550;EC000586;EC000629;EC000735;EC00031;EC000156;EC000513"
"Selenoamino acid metabolism","15","15","5","2.4215","0.058489","0.16944","0.02327","0","0","P4","EC00015;EC00039;EC00014;EC000457;EC000269"
"Di-unsaturated fatty acid beta-oxidation","4","4","2","0.64572","0.10741","0.47299","0.025984","222","0.0222","P5","EC00015;EC000513"
"Ubiquinone Biosynthesis","13","13","4","2.0986","0.1138","0.29931","0.026363","1636","0.1636","P6","EC00015;EC000119;EC000123;EC000124"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","8","5.4887","0.1186","0.22681","0.026653","1067","0.1067","P7","EC00015;EC00032;EC000625;EC000834;EC000835;EC000836;EC000838;EC00030"
"Leukotriene metabolism","24","24","6","3.8743","0.13277","0.27464","0.027528","2","2e-04","P8","EC00015;EC000156;EC0001139;EC0001226;EC0001223;EC0001224"
"C21-steroid hormone biosynthesis and metabolism","52","52","11","8.3944","0.13584","0.22808","0.027722","197","0.0197","P9","EC000699;EC000700;EC000751;EC000747;EC0001;EC000752;EC000280;EC000743;EC000702;EC00031;EC000727"
"Biopterin metabolism","14","14","4","2.26","0.14165","0.34288","0.028093","6084","0.6084","P10","EC000625;EC00052;EC00057;EC000269"
"Vitamin E metabolism","15","15","4","2.4215","0.17189","0.38624","0.030115","180","0.018","P11","EC00015;EC0001242;EC000326;EC0001207"
"Vitamin B9 (folate) metabolism","10","10","3","1.6143","0.17548","0.44804","0.030365","859","0.0859","P12","EC00039;EC000447;EC000269"
"Histidine metabolism","38","38","8","6.1344","0.19115","0.32543","0.031488","1690","0.169","P13","EC00015;EC000654;EC000267;EC000370;EC000829;EC00092;EC000827;EC000239"
"Urea cycle/amino group metabolism","92","92","17","14.852","0.1921","0.27392","0.031557","9783","0.9783","P14","EC000508;EC00032;EC000608;EC000279;EC000331;EC000215;EC0001129;EC000568;EC000315;EC000128;EC000258;EC000631;EC000485;EC000486;EC000373;EC00030;EC00047"
"Alkaloid biosynthesis II","11","11","3","1.7757","0.21631","0.50008","0.033389","79","0.0079","P15","EC00015;EC000956;EC000137"
"Androgen and estrogen biosynthesis and metabolism","28","28","6","4.5201","0.22677","0.39994","0.034218","1386","0.1386","P16","EC000727;EC0001173;EC00031;EC000699;EC000700;EC000702"
"Vitamin B2 (riboflavin) metabolism","2","2","1","0.32286","0.27521","1","0.038374","363","0.0363","P17","EC00015"
"Dynorphin metabolism","2","2","1","0.32286","0.27521","1","0.038374","0","0","P18","EC0001127"
"Keratan sulfate biosynthesis","2","2","1","0.32286","0.27521","1","0.038374","213","0.0213","P19","EC00031"
"Methionine and cysteine metabolism","49","49","9","7.9101","0.29725","0.44023","0.040454","53","0.0053","P20","EC00015;EC000428;EC000554;EC0001088;EC00039;EC000128;EC00031;EC0001001;EC000269"
"Linoleate metabolism","43","43","8","6.9415","0.30133","0.45552","0.040853","9681","0.9681","P21","EC0001096;EC0001116;EC000920;EC0001119;EC000976;EC000716;EC000513;EC000517"
