"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Bile acid biosynthesis","28","28","11","4.3472","0.00088512","0.0033754","0.02204","5","5e-04","P1","EC000957;EC000446;EC000486;EC00013;EC000684;EC000468;EC000454;EC000330;EC000951;EC000525;EC000115"
"Squalene and cholesterol biosynthesis","17","17","7","2.6393","0.0059961","0.02423","0.022292","0","0","P2","EC000297;EC000115;EC000660;EC000659;EC000191;EC000899;EC00013"
"Carnitine shuttle","30","30","10","4.6577","0.0062515","0.018855","0.022305","0","0","P3","EC0001125;EC00012;EC000952;EC0001126;EC000557;EC0001137;EC0001134;EC000170;EC00011;EC0001152"
"Vitamin B2 (riboflavin) metabolism","3","3","2","0.46577","0.05544","0.36942","0.024901","0","0","P4","EC00013;EC000149"
"D4&E4-neuroprostanes formation","3","3","2","0.46577","0.05544","0.36942","0.024901","0","0","P5","EC00037;EC000227"
"Vitamin D3 (cholecalciferol) metabolism","12","12","4","1.8631","0.079261","0.23751","0.026276","168","0.0168","P6","EC000454;EC000468;EC000297;EC000951"
"Purine metabolism","38","38","9","5.8997","0.080794","0.16045","0.026368","93","0.0093","P7","EC000202;EC000638;EC000452;EC00075;EC000477;EC000648;EC000625;EC000324;EC00037"
"Saturated fatty acids beta-oxidation","8","8","3","1.242","0.093452","0.31855","0.027135","779","0.0779","P8","EC000557;EC000170;EC00013"
"Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation","1","1","1","0.15526","0.14324","1","0.030406","0","0","P9","EC00013"
"Di-unsaturated fatty acid beta-oxidation","5","5","2","0.77628","0.15212","0.53665","0.031034","213","0.0213","P10","EC00013;EC000460"
"Glycerophospholipid metabolism","50","50","10","7.7628","0.16574","0.27343","0.032026","139","0.0139","P11","EC000428;EC000429;EC000623;EC000479;EC000545;EC000806;EC000326;EC00020;EC000115;EC000460"
"Pentose phosphate pathway","17","17","4","2.6393","0.21737","0.44435","0.036122","500","0.05","P12","EC000156;EC000479;EC000155;EC00020"
"Glycosphingolipid metabolism","23","23","5","3.5709","0.22399","0.41868","0.036689","1827","0.1827","P13","EC00020;EC000283;EC00013;EC000855;EC000856"
"Limonene and pinene degradation","12","12","3","1.8631","0.24052","0.52717","0.038149","8429","0.8429","P14","EC000402;EC0001139;EC000522"
"Porphyrin metabolism","18","18","4","2.7946","0.25038","0.48388","0.039051","761","0.0761","P15","EC000236;EC00013;EC00037;EC000227"
"Androgen and estrogen biosynthesis and metabolism","30","30","6","4.6577","0.25109","0.42802","0.039117","2312","0.2312","P16","EC000278;EC000516;EC000270;EC000391;EC0008;EC0001003"
"Glycosphingolipid biosynthesis - globoseries","2","2","1","0.31051","0.26607","1","0.040537","1387","0.1387","P17","EC00020"
"Mono-unsaturated fatty acid beta-oxidation","2","2","1","0.31051","0.26607","1","0.040537","0","0","P18","EC00013"
"Sphingolipid metabolism","2","2","1","0.31051","0.26607","1","0.040537","957","0.0957","P19","EC000283"
"Hexose phosphorylation","13","13","3","2.0183","0.28202","0.57235","0.042114","5998","0.5998","P20","EC00020;EC000179;EC000354"
"Drug metabolism - cytochrome P450","32","32","6","4.9682","0.30377","0.48755","0.044379","3635","0.3635","P21","EC000813;EC000918;EC000730;EC000828;EC000938;EC000927"
"Fatty Acid Metabolism","26","26","5","4.0366","0.31172","0.51881","0.045242","1013","0.1013","P22","EC000170;EC000460;EC000450;EC000115;EC0001123"
"Prostaglandin formation from arachidonate","26","26","5","4.0366","0.31172","0.51881","0.045242","92","0.0092","P23","EC000227;EC000397;EC000776;EC000316;EC00037"
"C21-steroid hormone biosynthesis and metabolism","58","58","10","9.0048","0.31175","0.44618","0.045245","497","0.0497","P24","EC0008;EC000689;EC000278;EC000391;EC0001;EC000270;EC000224;EC000516;EC000684;EC000115"
"Tryptophan metabolism","93","93","15","14.439","0.34802","0.45548","0.049434","7067","0.7067","P25","EC000341;EC00013;EC000568;EC000749;EC00042;EC000737;EC00061;EC000471;EC000310;EC000312;EC000180;EC00020;EC000608;EC000730;EC000147"
"Linoleate metabolism","47","47","8","7.297","0.35652","0.5134","0.050481","8941","0.8941","P26","EC000992;EC0001099;EC000981;EC000641;EC00037;EC000870;EC000806;EC000460"
"Lysine metabolism","47","47","8","7.297","0.35652","0.5134","0.050481","7007","0.7007","P27","EC000700;EC000696;EC000697;EC000421;EC00013;EC000170;EC000428;EC000429"
"R Group Synthesis","3","3","1","0.46577","0.37138","1","0.052372","9","9e-04","P28","EC00013"
"Parathio degradation","3","3","1","0.46577","0.37138","1","0.052372","7","7e-04","P29","EC000371"
"Starch and Sucrose Metabolism","3","3","1","0.46577","0.37138","1","0.052372","981","0.0981","P30","EC00020"
"TCA cycle","16","16","3","2.4841","0.40784","0.68875","0.057374","1252","0.1252","P31","EC000216;EC00013;EC000227"
"Fatty acid activation","36","36","6","5.5892","0.41339","0.59892","0.058183","322","0.0322","P32","EC000331;EC00013;EC000806;EC000799;EC000460;EC000450"
"Hyaluronan Metabolism","4","4","1","0.62102","0.46167","1","0.065833","3706","0.3706","P33","EC000265"
"Electron transport chain","4","4","1","0.62102","0.46167","1","0.065833","3377","0.3377","P34","EC000216"
"Ubiquinone Biosynthesis","11","11","2","1.7078","0.4824","0.81682","0.069484","1837","0.1837","P35","EC000216;EC00098"
"Ascorbate (Vitamin C) and Aldarate Metabolism","19","19","3","2.9499","0.52656","0.77795","0.078119","5017","0.5017","P36","EC000509;EC00037;EC000227"
"Vitamin B9 (folate) metabolism","12","12","2","1.8631","0.53077","0.84316","0.07901","2524","0.2524","P37","EC000625;EC00013"
"Fatty acid oxidation","12","12","2","1.8631","0.53077","0.84316","0.07901","283","0.0283","P38","EC00013;EC000216"
"Chondroitin sulfate degradation","5","5","1","0.77628","0.53905","1","0.080798","3468","0.3468","P39","EC00020"
"3-oxo-10R-octadecatrienoate beta-oxidation","5","5","1","0.77628","0.53905","1","0.080798","857","0.0857","P40","EC0001065"
"Caffeine metabolism","5","5","1","0.77628","0.53905","1","0.080798","8418","0.8418","P41","EC00020"
"CoA Catabolism","5","5","1","0.77628","0.53905","1","0.080798","8112","0.8112","P42","EC000360"
"Arachidonic acid metabolism","27","27","4","4.1919","0.55573","0.76363","0.084555","2238","0.2238","P43","EC000397;EC000316;EC00013;EC000806"
"Fructose and mannose metabolism","13","13","2","2.0183","0.576","0.86572","0.089418","5716","0.5716","P44","EC00020;EC000354"
"Methionine and cysteine metabolism","28","28","4","4.3472","0.58625","0.78555","0.09201","3783","0.3783","P45","EC000261;EC000262;EC00038;EC000540"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.93153","0.60537","1","0.097111","1780","0.178","P46","EC00020"
"Propanoate metabolism","6","6","1","0.93153","0.60537","1","0.097111","6607","0.6607","P47","EC00013"
"Polyunsaturated fatty acid biosynthesis","6","6","1","0.93153","0.60537","1","0.097111","4024","0.4024","P48","EC000450"
"N-Glycan Degradation","6","6","1","0.93153","0.60537","1","0.097111","9022","0.9022","P49","EC00020"
"Prostaglandin formation from dihomo gama-linoleic acid","6","6","1","0.93153","0.60537","1","0.097111","1067","0.1067","P50","EC000316"
"Sialic acid metabolism","14","14","2","2.1736","0.61799","0.88506","0.10068","2848","0.2848","P51","EC000545;EC00020"
"Arginine and Proline Metabolism","44","44","6","6.8312","0.62083","0.77512","0.1015","3194","0.3194","P52","EC000176;EC000584;EC00038;EC00013;EC000482;EC000236"
"Vitamin E metabolism","22","22","3","3.4156","0.63108","0.84407","0.10456","3605","0.3605","P53","EC0001050;EC000509;EC0001082"
"De novo fatty acid biosynthesis","30","30","4","4.6577","0.6435","0.82439","0.10842","3440","0.344","P54","EC000450;EC000331;EC000806;EC000460"
"Galactose metabolism","15","15","2","2.3288","0.65672","0.90163","0.11274","7606","0.7606","P55","EC00020;EC000354"
"Phosphatidylinositol phosphate metabolism","15","15","2","2.3288","0.65672","0.90163","0.11274","6313","0.6313","P56","EC00020;EC000622"
"Vitamin B6 (pyridoxine) metabolism","15","15","2","2.3288","0.65672","0.90163","0.11274","9647","0.9647","P57","EC000142;EC000143"
"N-Glycan biosynthesis","7","7","1","1.0868","0.6622","1","0.1146","1712","0.1712","P58","EC00020"
"Keratan sulfate degradation","7","7","1","1.0868","0.6622","1","0.1146","8701","0.8701","P59","EC00020"
"Heparan sulfate degradation","7","7","1","1.0868","0.6622","1","0.1146","6473","0.6473","P60","EC00020"
"Drug metabolism - other enzymes","16","16","2","2.4841","0.69228","0.91582","0.12556","6667","0.6667","P61","EC000943;EC000820"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","1.242","0.71089","1","0.13307","9007","0.9007","P62","EC000360"
"Carbon fixation","8","8","1","1.242","0.71089","1","0.13307","3910","0.391","P63","EC000155"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","3","3.8814","0.71866","0.8919","0.13639","8363","0.8363","P64","EC0003;EC000147;EC000431"
"Biopterin metabolism","9","9","1","1.3973","0.7526","1","0.15235","8286","0.8286","P65","EC00047"
"Omega-3 fatty acid metabolism","9","9","1","1.3973","0.7526","1","0.15235","6667","0.6667","P66","EC000806"
"Aminosugars metabolism","19","19","2","2.9499","0.78111","0.9473","0.16793","5812","0.5812","P67","EC000179;EC000658"
"Alanine and Aspartate Metabolism","20","20","2","3.1051","0.80533","0.95493","0.18313","9828","0.9828","P68","EC000387;EC000176"
"Glycolysis and Gluconeogenesis","11","11","1","1.7078","0.81891","1","0.19261","7193","0.7193","P69","EC00020"
"Glutamate metabolism","12","12","1","1.8631","0.84511","1","0.21328","6399","0.6399","P70","EC000182"
"Glycine, serine, alanine and threonine metabolism","49","49","5","7.6075","0.85512","0.93628","0.22217","6405","0.6405","P71","EC000182;EC00013;EC000243;EC00038;EC000236"
