"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Tryptophan metabolism","113","113","27","16.664","0.0012874","0.0026345","0.019735","1957","0.1957","P1","EC000367;EC000819;EC000820;EC000240;EC00050;EC00051;EC000489;EC000803;EC000804;EC00069;EC0001078;EC000570;EC0001133;EC0001099;EC0001100;EC000152;EC000528;EC000529;EC0001228;EC0001229;EC0001135;EC00023;EC000797;EC000335;EC000336;EC000514;EC000515"
"Arginine and Proline Metabolism","53","53","15","7.8159","0.003023","0.0077549","0.019811","395","0.0395","P2","EC000106;EC000107;EC00032;EC000201;EC000647;EC000679;EC00043;EC00045;EC000314;EC00061;EC000540;EC000257;EC000591;EC00038;EC000243"
"Glycolysis and Gluconeogenesis","27","27","8","3.9817","0.02196","0.06028","0.020668","56","0.0056","P3","EC000109;EC000406;EC000220;EC000221;EC00075;EC00023;EC000147;EC000148"
"Pyruvate Metabolism","6","6","3","0.88482","0.035963","0.18843","0.021328","93","0.0093","P4","EC000109;EC00075;EC000152"
"Aspartate and asparagine metabolism","109","109","21","16.074","0.051879","0.083371","0.022107","480","0.048","P5","EC000106;EC000107;EC000260;EC000257;EC000443;EC000480;EC0001085;EC000314;EC00047;EC00048;EC00061;EC000243;EC00032;EC00038;EC000701;EC000502;EC000619;EC000540;EC000201;EC000591;EC00027"
"Urea cycle/amino group metabolism","92","92","18","13.567","0.061144","0.10064","0.022575","8680","0.868","P6","EC000106;EC000107;EC000510;EC00032;EC000201;EC000697;EC000260;EC000279;EC00043;EC00045;EC000314;EC000568;EC00061;EC000257;EC000373;EC00047;EC00048;EC000243"
"Histidine metabolism","38","38","9","5.6038","0.06119","0.1283","0.022577","256","0.0256","P7","EC000652;EC000654;EC000265;EC000266;EC000828;EC000831;EC00092;EC000725;EC000239"
"Glycine, serine, alanine and threonine metabolism","69","69","14","10.175","0.072509","0.12565","0.023163","105","0.0105","P8","EC00032;EC0001074;EC00043;EC00045;EC000257;EC00047;EC00048;EC000859;EC000502;EC000555;EC000147;EC000148;EC000559;EC000560"
"Tyrosine metabolism","151","151","26","22.268","0.10451","0.14762","0.024914","9984","0.9984","P9","EC0001078;EC000373;EC000661;EC000571;EC0001236;EC00052;EC0001193;EC0001194;EC000778;EC00057;EC0001174;EC000568;EC000279;EC00038;EC000449;EC000772;EC000224;EC000927;EC000929;EC000322;EC000510;EC000555;EC000783;EC000326;EC000795;EC0001103"
"Glyoxylate and Dicarboxylate Metabolism","9","9","3","1.3272","0.11107","0.34798","0.025291","940","0.094","P10","EC00075;EC000147;EC000148"
"Carbon fixation","10","10","3","1.4747","0.14347","0.39959","0.027247","1236","0.1236","P11","EC00075;EC000220;EC000221"
"Glycosphingolipid biosynthesis - globoseries","6","6","2","0.88482","0.19025","0.58173","0.030378","1045","0.1045","P12","EC00023;EC00099"
"Galactose metabolism","23","23","5","3.3918","0.19202","0.37726","0.030504","310","0.031","P13","EC00023;EC00099;EC000220;EC000221;EC00075"
"Fructose and mannose metabolism","18","18","4","2.6545","0.21993","0.4464","0.032573","2010","0.201","P14","EC000220;EC000221;EC00023;EC00075"
"Phosphatidylinositol phosphate metabolism","18","18","4","2.6545","0.21993","0.4464","0.032573","76","0.0076","P15","EC00023;EC000687;EC000220;EC000221"
"Chondroitin sulfate degradation","7","7","2","1.0323","0.24365","0.63844","0.034458","1978","0.1978","P16","EC00023;EC00099"
"Benzoate degradation via CoA ligation","2","2","1","0.29494","0.25315","1","0.035248","0","0","P17","EC000105"
"Glycosphingolipid biosynthesis - ganglioseries","8","8","2","1.1798","0.29754","0.68751","0.03922","59","0.0059","P18","EC00023;EC00099"
"Pentose phosphate pathway","27","27","5","3.9817","0.29972","0.50507","0.039428","671","0.0671","P19","EC000535;EC00075;EC000271;EC00023;EC000351"
"Drug metabolism - cytochrome P450","34","34","6","5.014","0.31017","0.49376","0.040443","6192","0.6192","P20","EC0001021;EC0001035;EC000797;EC0001032;EC0001039;EC000731"
"Methionine and cysteine metabolism","49","49","8","7.226","0.34376","0.49956","0.043915","114","0.0114","P21","EC000679;EC000427;EC000158;EC00043;EC00045;EC000555;EC000292;EC0001001"
"Limonene and pinene degradation","9","9","2","1.3272","0.35082","0.72995","0.044688","9166","0.9166","P22","EC000295;EC000431"
"Mono-unsaturated fatty acid beta-oxidation","3","3","1","0.44241","0.3547","1","0.045119","1042","0.1042","P23","EC0001060"
"1- and 2-Methylnaphthalene degradation","3","3","1","0.44241","0.3547","1","0.045119","1191","0.1191","P24","EC000970"
"Omega-6 fatty acid metabolism","10","10","2","1.4747","0.40266","0.76665","0.050879","0","0","P25","EC000156;EC000617"
"R Group Synthesis","4","4","1","0.58988","0.4425","1","0.056334","10","0.001","P26","EC000617"
"Polyunsaturated fatty acid biosynthesis","4","4","1","0.58988","0.4425","1","0.056334","77","0.0077","P27","EC000617"
"Keratan sulfate degradation","11","11","2","1.6222","0.45247","0.7984","0.057806","5464","0.5464","P28","EC00023;EC00099"
"Fatty acid oxidation","11","11","2","1.6222","0.45247","0.7984","0.057806","249","0.0249","P29","EC000617;EC0001060"
"Heparan sulfate degradation","11","11","2","1.6222","0.45247","0.7984","0.057806","4648","0.4648","P30","EC00099;EC00023"
"N-Glycan Degradation","11","11","2","1.6222","0.45247","0.7984","0.057806","6310","0.631","P31","EC00023;EC00099"
"Xenobiotics metabolism","47","47","7","6.9311","0.45958","0.62614","0.058884","3882","0.3882","P32","EC000841;EC000984;EC000985;EC000399;EC000335;EC000989;EC000586"
"Vitamin H (biotin) metabolism","5","5","1","0.73735","0.51842","1","0.068813","1493","0.1493","P33","EC00027"
"Alanine and Aspartate Metabolism","21","21","3","3.0969","0.55869","0.79878","0.076809","8119","0.8119","P34","EC00032;EC00038;EC000201"
"Lysine metabolism","44","44","6","6.4887","0.56409","0.73032","0.077967","9954","0.9954","P35","EC000765;EC00027;EC000467;EC000423;EC000424;EC000243"
"De novo fatty acid biosynthesis","29","29","4","4.2766","0.56969","0.77321","0.079193","266","0.0266","P36","EC000617;EC0001060;EC000586;EC000156"
"Parathio degradation","6","6","1","0.88482","0.58406","1","0.082448","1466","0.1466","P37","EC000399"
"Caffeine metabolism","6","6","1","0.88482","0.58406","1","0.082448","4178","0.4178","P38","EC00023"
"Lipoate metabolism","6","6","1","0.88482","0.58406","1","0.082448","4648","0.4648","P39","EC00027"
"Phytanic acid peroxisomal oxidation","6","6","1","0.88482","0.58406","1","0.082448","0","0","P40","EC0001060"
"Biopterin metabolism","14","14","2","2.0646","0.58637","0.87009","0.082988","9661","0.9661","P41","EC00052;EC00057"
"Valine, leucine and isoleucine degradation","30","30","4","4.4241","0.59798","0.79324","0.085766","220","0.022","P42","EC000102;EC00085;EC000161;EC0001160"
"Selenoamino acid metabolism","15","15","2","2.212","0.62532","0.88782","0.092801","47","0.0047","P43","EC000821;EC000824"
"Hyaluronan Metabolism","7","7","1","1.0323","0.64079","1","0.097115","3069","0.3069","P44","EC00099"
"Vitamin B1 (thiamin) metabolism","7","7","1","1.0323","0.64079","1","0.097115","3189","0.3189","P45","EC000233"
"Starch and Sucrose Metabolism","7","7","1","1.0323","0.64079","1","0.097115","5382","0.5382","P46","EC00023"
"CoA Catabolism","8","8","1","1.1798","0.68983","1","0.11268","7488","0.7488","P47","EC000394"
