"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Fatty acid oxidation","12","12","5","1.2035","0.0028833","0.018501","0.0061963","0","0","P1","EC0001142;EC000526;EC0007;EC0001008;EC0001042"
"Valine, leucine and isoleucine degradation","25","25","6","2.5072","0.022389","0.070798","0.0065676","3","3e-04","P2","EC00018;EC00074;EC000112;EC000113;EC000131;EC000182"
"Parathio degradation","3","3","2","0.30087","0.023916","0.25069","0.0065976","0","0","P3","EC000810;EC000370"
"Glutathione Metabolism","13","13","4","1.3038","0.025695","0.10872","0.0066328","34","0.0034","P4","EC000483;EC00018;EC000447;EC00022"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","3","0.80231","0.030544","0.16192","0.0067298","807","0.0807","P5","EC000624;EC000366;EC000367"
"Glycine, serine, alanine and threonine metabolism","49","49","9","4.9142","0.030821","0.07138","0.0067354","42","0.0042","P6","EC00018;EC000182;EC000112;EC000113;EC000245;EC000163;EC00041;EC000447;EC00022"
"Tryptophan metabolism","93","93","14","9.3269","0.03983","0.07319","0.0069197","1401","0.1401","P7","EC00018;EC000963;EC000340;EC000568;EC000749;EC000498;EC0001094;EC000797;EC0001035;EC000626;EC000606;EC000146;EC000313;EC00022"
"Urea cycle/amino group metabolism","76","76","12","7.622","0.04034","0.078492","0.0069303","1759","0.1759","P8","EC00018;EC00089;EC000350;EC000553;EC000628;EC000163;EC00022;EC000182;EC00028;EC00041;EC000222;EC000223"
"Omega-3 fatty acid metabolism","9","9","3","0.9026","0.042787","0.19626","0.0069813","70","0.007","P9","EC000907;EC0007;EC0001042"
"Fatty acid oxidation, peroxisome","4","4","2","0.40116","0.044955","0.31954","0.0070269","0","0","P10","EC0007;EC0001042"
"Carnitine shuttle","30","30","6","3.0087","0.05135","0.13227","0.0071632","128","0.0128","P11","EC0001142;EC0001008;EC000526;EC0007;EC0001129;EC0001042"
"Selenoamino acid metabolism","10","10","3","1.0029","0.057101","0.23139","0.0072882","4","4e-04","P12","EC000242;EC000153;EC00022"
"Di-unsaturated fatty acid beta-oxidation","5","5","2","0.50145","0.070452","0.38212","0.0075875","15","0.0015","P13","EC000907;EC0001008"
"CoA Catabolism","5","5","2","0.50145","0.070452","0.38212","0.0075875","572","0.0572","P14","EC000366;EC000367"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","5","2.5072","0.073243","0.18967","0.0076517","1075","0.1075","P15","EC00018;EC000146;EC000505;EC000764;EC00028"
"Beta-Alanine metabolism","18","18","4","1.8052","0.076823","0.22377","0.0077349","141","0.0141","P16","EC00018;EC000182;EC00022;EC00028"
"Glutamate metabolism","12","12","3","1.2035","0.091455","0.30239","0.0080852","91","0.0091","P17","EC00018;EC00022;EC000182"
"Arginine and Proline Metabolism","44","44","7","4.4127","0.10368","0.20881","0.0083908","909","0.0909","P18","EC00018;EC00089;EC000553;EC000483;EC00028;EC000222;EC000223"
"Alanine and Aspartate Metabolism","20","20","4","2.0058","0.10556","0.27506","0.0084391","3721","0.3721","P19","EC00018;EC000505;EC00022;EC00028"
"Fatty acid activation","36","36","6","3.6104","0.10732","0.22831","0.0084842","30","0.003","P20","EC000526;EC0007;EC0001008;EC0001042;EC0001142;EC0001141"
"Butanoate metabolism","29","29","5","2.9084","0.12219","0.27135","0.0088775","714","0.0714","P21","EC00018;EC000705;EC000112;EC000113;EC000182"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","2","0.80231","0.16449","0.53764","0.010108","179","0.0179","P22","EC00018;EC000997"
"Nitrogen metabolism","8","8","2","0.80231","0.16449","0.53764","0.010108","2705","0.2705","P23","EC00018;EC00028"
"Histidine metabolism","32","32","5","3.2093","0.16675","0.33614","0.010178","4990","0.499","P24","EC00018;EC000592;EC000239;EC000345;EC00022"
"Omega-6 fatty acid metabolism","9","9","2","0.9026","0.19927","0.58031","0.011257","123","0.0123","P25","EC0001042;EC0007"
"Pyrimidine metabolism","44","44","6","4.4127","0.21524","0.37731","0.011832","1214","0.1214","P26","EC00018;EC000378;EC000182;EC00022;EC000272;EC00028"
"Aspartate and asparagine metabolism","83","83","10","8.324","0.22992","0.34702","0.012388","4875","0.4875","P27","EC00018;EC00089;EC00041;EC000182;EC00028;EC000222;EC000223;EC000447;EC000483;EC000553"
