"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Arginine and Proline Metabolism","53","53","6","2.4974","0.023832","0.070105","0.002531","1383","0.1383","P1","EC000202;EC000646;EC000647;EC000540;EC000257;EC000258"
"Porphyrin metabolism","17","17","3","0.80105","0.034079","0.16109","0.002622","94","0.0094","P2","EC000447;EC000257;EC000258"
"Urea cycle/amino group metabolism","92","92","8","4.3351","0.04016","0.089528","0.0026777","4189","0.4189","P3","EC000202;EC000646;EC000190;EC000212;EC000215;EC000568;EC000257;EC000258"
"Glutamate metabolism","19","19","3","0.89529","0.045686","0.19213","0.0027293","45","0.0045","P4","EC000212;EC000215;EC000646"
"Vitamin B9 (folate) metabolism","10","10","2","0.4712","0.066478","0.3538","0.0029332","332","0.0332","P5","EC000447;EC000249"
"Glycine, serine, alanine and threonine metabolism","69","69","5","3.2513","0.17455","0.33764","0.0042873","798","0.0798","P6","EC000212;EC000215;EC000190;EC000257;EC000258"
"Beta-Alanine metabolism","20","20","2","0.94241","0.21395","0.58394","0.0049353","18","0.0018","P7","EC000212;EC000215"
"Alanine and Aspartate Metabolism","21","21","2","0.98953","0.23026","0.60194","0.0052336","2996","0.2996","P8","EC000447;EC000202"
"Parathio degradation","6","6","1","0.28272","0.23402","1","0.0053052","613","0.0613","P9","EC000896"
"Glycerophospholipid metabolism","60","60","4","2.8272","0.26005","0.47635","0.0058299","653","0.0653","P10","EC000869;EC000322;EC000895;EC000362"
"Butanoate metabolism","42","42","3","1.9791","0.27299","0.54262","0.0061113","1758","0.1758","P11","EC000620;EC000212;EC000215"
"Pyrimidine metabolism","63","63","4","2.9686","0.28983","0.50977","0.0064997","859","0.0859","P12","EC000249;EC000212;EC000215;EC000401"
"CoA Catabolism","8","8","1","0.37696","0.29936","1","0.0067312","1907","0.1907","P13","EC000404"
"Pentose and Glucuronate Interconversions","8","8","1","0.37696","0.29936","1","0.0067312","280","0.028","P14","EC00078"
"Glycosphingolipid metabolism","27","27","2","1.2723","0.32875","0.69496","0.0075037","613","0.0613","P15","EC000322;EC000869"
"Aspartate and asparagine metabolism","109","109","6","5.1361","0.33254","0.5021","0.0076101","3361","0.3361","P16","EC000257;EC000258;EC000212;EC000215;EC000540;EC000202"
"Carbon fixation","10","10","1","0.4712","0.35922","1","0.0084078","1931","0.1931","P17","EC00078"
"De novo fatty acid biosynthesis","29","29","2","1.3665","0.3611","0.72094","0.0084674","408","0.0408","P18","EC0001172;EC0001171"
"Valine, leucine and isoleucine degradation","30","30","2","1.4136","0.37708","0.7331","0.0089927","759","0.0759","P19","EC000212;EC000215"
"Drug metabolism - cytochrome P450","34","34","2","1.6021","0.43928","0.77676","0.011408","4693","0.4693","P20","EC000912;EC0001039"
"Biopterin metabolism","14","14","1","0.65969","0.46427","1","0.012574","7386","0.7386","P21","EC00052"
"Vitamin B5 - CoA biosynthesis from pantothenate","15","15","1","0.70681","0.48777","1","0.013794","1537","0.1537","P22","EC000404"
"Tyrosine metabolism","151","151","7","7.1152","0.48837","0.63864","0.013827","9895","0.9895","P23","EC00052;EC000568;EC000449;EC000774;EC000791;EC000322;EC000783"
"Histidine metabolism","38","38","2","1.7906","0.4981","0.81339","0.014371","4973","0.4973","P24","EC000722;EC000827"
"Linoleate metabolism","43","43","2","2.0262","0.56605","0.85098","0.018936","8987","0.8987","P25","EC0001117;EC0001120"
"Glutathione Metabolism","19","19","1","0.89529","0.57207","1","0.019414","2599","0.2599","P26","EC000540"
"Lysine metabolism","44","44","2","2.0733","0.57885","0.85755","0.019971","9041","0.9041","P27","EC000765;EC000460"
"Leukotriene metabolism","24","24","1","1.1309","0.6585","1","0.028127","2303","0.2303","P28","EC0001223"
"C21-steroid hormone biosynthesis and metabolism","52","52","2","2.4503","0.67153","0.90083","0.029813","3466","0.3466","P29","EC0001066;EC0001068"
"Pentose phosphate pathway","27","27","1","1.2723","0.70187","1","0.034238","3649","0.3649","P30","EC00078"
"Aminosugars metabolism","30","30","1","1.4136","0.73982","1","0.040981","3406","0.3406","P31","EC000895"
"Carnitine shuttle","32","32","1","1.5079","0.76244","1","0.04581","431","0.0431","P32","EC0001262"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","1","1.6021","0.78313","1","0.050891","8040","0.804","P33","EC000836"
"Fatty acid activation","37","37","1","1.7435","0.81089","1","0.058957","3541","0.3541","P34","EC000888"
"Tryptophan metabolism","113","113","3","5.3246","0.88426","0.9623","0.09132","9465","0.9465","P35","EC000367;EC0001102;EC000802"
