"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Carnitine shuttle","30","30","8","2.9797","0.0040254","0.014577","0.010354","4","4e-04","P1","EC0001125;EC0001008;EC000561;EC000953;EC000557;EC0001152;EC0001129;EC0001042"
"Omega-3 fatty acid metabolism","9","9","4","0.89392","0.0058473","0.040682","0.010405","2","2e-04","P2","EC000904;EC000654;EC0001042;EC000806"
"Glycosphingolipid metabolism","23","23","6","2.2845","0.014204","0.05006","0.01064","79","0.0079","P3","EC000293;EC000171;EC000787;EC000855;EC000856;EC00030"
"De novo fatty acid biosynthesis","30","30","7","2.9797","0.015346","0.04734","0.010673","4","4e-04","P4","EC000561;EC000331;EC000806;EC000953;EC000535;EC0001042;EC000126"
"Fatty acid oxidation","12","12","4","1.1919","0.018501","0.087305","0.010763","0","0","P5","EC000561;EC000953;EC0001008;EC0001042"
"Linoleate metabolism","47","47","9","4.6683","0.022573","0.055265","0.010882","2918","0.2918","P6","EC0001097;EC000641;EC000830;EC0001019;EC0001022;EC000873;EC000870;EC000654;EC000806"
"Omega-6 fatty acid metabolism","9","9","3","0.89392","0.041727","0.19326","0.011456","1","1e-04","P7","EC000126;EC0001042;EC000561"
"Fatty acid oxidation, peroxisome","4","4","2","0.3973","0.044146","0.31687","0.011531","0","0","P8","EC000561;EC0001042"
"Chondroitin sulfate degradation","5","5","2","0.49662","0.069226","0.37908","0.01234","0","0","P9","EC00030;EC00070"
"Vitamin B1 (thiamin) metabolism","5","5","2","0.49662","0.069226","0.37908","0.01234","0","0","P10","EC000790;EC000173"
"Vitamin D3 (cholecalciferol) metabolism","12","12","3","1.1919","0.089369","0.29826","0.013033","166","0.0166","P11","EC0001057;EC000468;EC000297"
"Fatty acid activation","36","36","6","3.5757","0.10353","0.22226","0.013546","25","0.0025","P12","EC000561;EC000331;EC0001008;EC000953;EC000806;EC0001042"
"Vitamin A (retinol) metabolism","13","13","3","1.2912","0.10872","0.33316","0.01374","23","0.0023","P13","EC000492;EC0001048;EC000254"
"Heparan sulfate degradation","7","7","2","0.69527","0.12888","0.48716","0.01452","480","0.048","P14","EC00030;EC00070"
"Lysine metabolism","47","47","7","4.6683","0.13053","0.24844","0.014586","3336","0.3336","P15","EC000173;EC000247;EC000701;EC000554;EC000395;EC000790;EC000444"
"Mono-unsaturated fatty acid beta-oxidation","2","2","1","0.19865","0.17495","1","0.01649","0","0","P16","EC000953"
"Biopterin metabolism","9","9","2","0.89392","0.19626","0.57659","0.017499","1610","0.161","P17","EC00044;EC00046"
"Squalene and cholesterol biosynthesis","17","17","3","1.6885","0.19891","0.46606","0.01763","140","0.014","P18","EC000297;EC000900;EC000335"
"Selenoamino acid metabolism","10","10","2","0.99325","0.23139","0.61532","0.019314","120","0.012","P19","EC00014;EC000121"
"Tyrosine metabolism","125","125","14","12.416","0.24457","0.3403","0.020047","7269","0.7269","P20","EC0001153;EC000318;EC000613;EC00030;EC0006;EC00044;EC000715;EC00046;EC000255;EC000193;EC000293;EC000717;EC000719;EC000299"
"R Group Synthesis","3","3","1","0.29797","0.25069","1","0.020398","153","0.0153","P21","EC000561"
"Benzoate degradation via CoA ligation","3","3","1","0.29797","0.25069","1","0.020398","0","0","P22","EC00086"
"C21-steroid hormone biosynthesis and metabolism","58","58","7","5.7608","0.27648","0.43307","0.021954","419","0.0419","P23","EC000689;EC000278;EC000270;EC000224;EC000336;EC000204;EC00030"
"Androgen and estrogen biosynthesis and metabolism","30","30","4","2.9797","0.29275","0.52242","0.023003","2392","0.2392","P24","EC000278;EC000270;EC00030;EC0001003"
"Vitamin B9 (folate) metabolism","12","12","2","1.1919","0.30239","0.68257","0.023652","1119","0.1119","P25","EC000225;EC000381"
"Arginine and Proline Metabolism","44","44","5","4.3703","0.37731","0.57812","0.029447","3011","0.3011","P26","EC00090;EC000554;EC000285;EC000235;EC000236"
"Di-unsaturated fatty acid beta-oxidation","5","5","1","0.49662","0.38212","1","0.029871","595","0.0595","P27","EC0001008"
"Phytanic acid peroxisomal oxidation","5","5","1","0.49662","0.38212","1","0.029871","26","0.0026","P28","EC000953"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.59595","0.43899","1","0.035446","670","0.067","P29","EC000787"
"Glyoxylate and Dicarboxylate Metabolism","6","6","1","0.59595","0.43899","1","0.035446","527","0.0527","P30","EC00070"
"Polyunsaturated fatty acid biosynthesis","6","6","1","0.59595","0.43899","1","0.035446","1518","0.1518","P31","EC000561"
"Pentose and Glucuronate Interconversions","6","6","1","0.59595","0.43899","1","0.035446","92","0.0092","P32","EC00070"
"Prostaglandin formation from dihomo gama-linoleic acid","6","6","1","0.59595","0.43899","1","0.035446","282","0.0282","P33","EC0001047"
"Arachidonic acid metabolism","27","27","3","2.6818","0.45665","0.72043","0.037415","1593","0.1593","P34","EC000875;EC000806;EC000126"
"Bile acid biosynthesis","28","28","3","2.7811","0.48142","0.73933","0.040393","2310","0.231","P35","EC000957;EC000446;EC000468"
"Methionine and cysteine metabolism","28","28","3","2.7811","0.48142","0.73933","0.040393","2992","0.2992","P36","EC000896;EC000121;EC00030"
"N-Glycan biosynthesis","7","7","1","0.69527","0.49068","1","0.041576","1327","0.1327","P37","EC00056"
"Keratan sulfate degradation","7","7","1","0.69527","0.49068","1","0.041576","7982","0.7982","P38","EC00030"
"Glycerophospholipid metabolism","50","50","5","4.9662","0.4908","0.68188","0.041593","1826","0.1826","P39","EC000171;EC000204;EC000806;EC000293;EC000126"
"Porphyrin metabolism","18","18","2","1.7878","0.5023","0.82203","0.04312","2124","0.2124","P40","EC000235;EC000236"
"Butanoate metabolism","29","29","3","2.8804","0.50566","0.75715","0.043579","4048","0.4048","P41","EC000563;EC000778;EC000375"
"Saturated fatty acids beta-oxidation","8","8","1","0.7946","0.53764","1","0.048248","5211","0.5211","P42","EC000557"
"Urea cycle/amino group metabolism","76","76","7","7.5487","0.55678","0.70645","0.051327","8910","0.891","P43","EC00090;EC000554;EC000255;EC000285;EC0001033;EC000235;EC000236"
"Tryptophan metabolism","93","93","8","9.2372","0.63516","0.7612","0.066713","8007","0.8007","P44","EC000403;EC000405;EC000613;EC00061;EC0001106;EC000310;EC000311;EC000173"
