"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Alkaloid biosynthesis II","12","12","5","1.0183","0.0013418","0.010251","0.0026994","40","0.004","P1","EC000465;EC000793;EC000861;EC000107;EC000110"
"Xenobiotics metabolism","46","46","7","3.9036","0.061278","0.13811","0.003328","698","0.0698","P2","EC000883;EC000803;EC000313;EC000881;EC000473;EC000886;EC000441"
"N-Glycan Degradation","6","6","2","0.50916","0.073908","0.38399","0.0034792","2104","0.2104","P3","EC00020;EC000409"
"Androgen and estrogen biosynthesis and metabolism","30","30","5","2.5458","0.078557","0.19716","0.0035366","521","0.0521","P4","EC000672;EC000278;EC000516;EC0008;EC00010"
"Keratan sulfate degradation","7","7","2","0.59402","0.098315","0.43193","0.0037922","2257","0.2257","P5","EC00020;EC000409"
"Drug metabolism - other enzymes","16","16","3","1.3578","0.12367","0.355","0.004149","659","0.0659","P6","EC000943;EC000816;EC000818"
"Glycosphingolipid biosynthesis - globoseries","2","2","1","0.16972","0.15052","1","0.004566","302","0.0302","P7","EC00020"
"Bile acid biosynthesis","28","28","4","2.3761","0.17016","0.37052","0.0048991","687","0.0687","P8","EC000957;EC000446;EC000486;EC000468"
"Butanoate metabolism","29","29","4","2.4609","0.18624","0.39239","0.0051913","1508","0.1508","P9","EC000705;EC000707;EC000113;EC000565"
"Benzoate degradation via CoA ligation","3","3","1","0.25458","0.21714","1","0.0058059","0","0","P10","EC00084"
"Starch and Sucrose Metabolism","3","3","1","0.25458","0.21714","1","0.0058059","1719","0.1719","P11","EC00020"
"Arginine and Proline Metabolism","44","44","5","3.7338","0.25725","0.44791","0.0067223","3693","0.3693","P12","EC000176;EC000555;EC000542;EC000221;EC000222"
"Fructose and mannose metabolism","13","13","2","1.1032","0.27072","0.65117","0.0070639","2412","0.2412","P13","EC000409;EC00020"
"Leukotriene metabolism","24","24","3","2.0366","0.28848","0.56667","0.0075433","1339","0.1339","P14","EC000991;EC000379;EC0001103"
"C21-steroid hormone biosynthesis and metabolism","58","58","6","4.9219","0.2981","0.47175","0.0078174","638","0.0638","P15","EC0008;EC00010;EC000278;EC000672;EC000224;EC000516"
"Lysine metabolism","47","47","5","3.9884","0.30444","0.50087","0.008004","4926","0.4926","P16","EC000555;EC000394;EC000221;EC000222;EC000603"
"Valine, leucine and isoleucine degradation","25","25","3","2.1215","0.31074","0.58947","0.0081942","1086","0.1086","P17","EC00072;EC000113;EC000129"
"Chondroitin sulfate degradation","5","5","1","0.4243","0.33528","1","0.0089833","2857","0.2857","P18","EC00020"
"Caffeine metabolism","5","5","1","0.4243","0.33528","1","0.0089833","5375","0.5375","P19","EC00020"
"Urea cycle/amino group metabolism","76","76","7","6.4494","0.38445","0.54594","0.010825","7222","0.7222","P20","EC000457;EC000176;EC000611;EC000555;EC000237;EC000221;EC000222"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.50916","0.38756","1","0.010954","1564","0.1564","P21","EC00020"
"Squalene and cholesterol biosynthesis","17","17","2","1.4426","0.38949","0.74837","0.011036","753","0.0753","P22","EC000228;EC000629"
