"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Tyrosine metabolism","151","151","16","6.9834","0.00027147","0.00073692","0.002993","4158","0.4158","P1","EC00020;EC000381;EC000382;EC0001235;EC000776;EC000777;EC000525;EC000526;EC0001176;EC0001177;EC000449;EC000772;EC000508;EC000783;EC000326;EC00073"
"Valine, leucine and isoleucine degradation","30","30","6","1.3874","0.0012071","0.0067347","0.0030022","0","0","P2","EC00020;EC00073;EC000102;EC00085;EC000139;EC0001160"
"Butanoate metabolism","42","42","4","1.9424","0.099098","0.25432","0.0041548","506","0.0506","P3","EC00020;EC00073;EC000872;EC000139"
"Lysine metabolism","44","44","4","2.0349","0.11299","0.27748","0.0043531","5188","0.5188","P4","EC00020;EC000273;EC000608;EC000194"
"Vitamin B6 (pyridoxine) metabolism","14","14","2","0.64747","0.11674","0.45147","0.0044084","3200","0.32","P5","EC000170;EC000171"
"Ascorbate (Vitamin C) and Aldarate Metabolism","16","16","2","0.73997","0.14595","0.49685","0.0048654","468","0.0468","P6","EC000326;EC000549"
"Carnitine shuttle","32","32","3","1.4799","0.15193","0.38995","0.004965","1","1e-04","P7","EC0001056;EC000194;EC0001250"
"Glutamate metabolism","19","19","2","0.87871","0.19213","0.5581","0.0056943","525","0.0525","P8","EC00020;EC00073"
"C5-Branched dibasic acid metabolism","5","5","1","0.23124","0.19577","1","0.0057657","0","0","P9","EC000283"
"Phytanic acid peroxisomal oxidation","6","6","1","0.27749","0.23015","1","0.0064906","11","0.0011","P10","EC00020"
"Vitamin B1 (thiamin) metabolism","7","7","1","0.32373","0.26308","1","0.0072779","311","0.0311","P11","EC00020"
"Bile acid biosynthesis","24","24","2","1.1099","0.27225","0.64432","0.0075152","123","0.0123","P12","EC000711;EC0001053"
"Leukotriene metabolism","24","24","2","1.1099","0.27225","0.64432","0.0075152","212","0.0212","P13","EC0001168;EC0001227"
"Glycosphingolipid biosynthesis - ganglioseries","8","8","1","0.36998","0.29463","1","0.0081302","234","0.0234","P14","EC000871"
"Fatty acid oxidation, peroxisome","8","8","1","0.36998","0.29463","1","0.0081302","1","1e-04","P15","EC00020"
