"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"C21-steroid hormone biosynthesis and metabolism","58","58","17","8.1659","0.00058293","0.0016388","0.016439","0","0","P1","EC0009;EC000278;EC000493;EC000391;EC000690;EC000959;EC0001052;EC000334;EC000270;EC000961;EC000338;EC000516;EC000487;EC00021;EC000667;EC000669;EC000671"
"Androgen and estrogen biosynthesis and metabolism","30","30","10","4.2237","0.0029938","0.010035","0.016534","16","0.0016","P2","EC000278;EC000516;EC000667;EC000669;EC000671;EC000270;EC000391;EC000487;EC0009;EC0001003"
"Dynorphin metabolism","2","2","2","0.28158","0.016772","0.24147","0.017089","0","0","P3","EC0001030;EC0001031"
"Omega-6 fatty acid metabolism","9","9","4","1.2671","0.020362","0.098301","0.017237","0","0","P4","EC0001043;EC0001009;EC000127;EC0007"
"Aspartate and asparagine metabolism","83","83","17","11.686","0.03124","0.056648","0.017694","668","0.0668","P5","EC00017;EC000235;EC000236;EC000482;EC000975;EC000596;EC000169;EC000518;EC00050;EC000768;EC00031;EC00034;EC000519;EC000520;EC000325;EC000176;EC00021"
"Alanine and Aspartate Metabolism","20","20","6","2.8158","0.035457","0.10365","0.017875","213","0.0213","P6","EC00017;EC00031;EC00034;EC000415;EC00021;EC000176"
"Pyruvate Metabolism","3","3","2","0.42237","0.04601","0.33949","0.018336","4","4e-04","P7","EC00066;EC00021"
"Arginine and Proline Metabolism","44","44","10","6.1948","0.048915","0.10188","0.018465","41","0.0041","P8","EC00017;EC00031;EC000176;EC000581;EC000584;EC00050;EC000482;EC000235;EC000236;EC00034"
"Glutamate metabolism","12","12","4","1.6895","0.058548","0.19372","0.0189","0","0","P9","EC00017;EC00034;EC000581;EC000325"
"Porphyrin metabolism","18","18","5","2.5342","0.072442","0.19346","0.019548","79","0.0079","P10","EC000235;EC000236;EC00037;EC000382;EC000384"
"Glutathione Metabolism","13","13","4","1.8303","0.076296","0.22943","0.019732","42","0.0042","P11","EC000482;EC00017;EC000596;EC000325"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","6","3.5198","0.093861","0.21172","0.020595","452","0.0452","P12","EC00017;EC00031;EC00034;EC0003;EC000147;EC000431"
"Purine metabolism","38","38","8","5.35","0.10807","0.20904","0.021324","219","0.0219","P13","EC00017;EC00083;EC000287;EC000160;EC000477;EC00050;EC00034;EC00037"
"Proteoglycan biosynthesis","1","1","1","0.14079","0.12989","1","0.022498","0","0","P14","EC00021"
"Methionine and cysteine metabolism","28","28","6","3.9421","0.14454","0.28889","0.023326","372","0.0372","P15","EC00017;EC000209;EC000695;EC000262;EC000480;EC00021"
"Glyoxylate and Dicarboxylate Metabolism","6","6","2","0.84474","0.17702","0.56425","0.025286","209","0.0209","P16","EC00066;EC00021"
"Polyunsaturated fatty acid biosynthesis","6","6","2","0.84474","0.17702","0.56425","0.025286","506","0.0506","P17","EC000450;EC0007"
"Glycerophospholipid metabolism","50","50","9","7.0395","0.19024","0.31156","0.026136","192","0.0192","P18","EC000679;EC000651;EC000745;EC000327;EC000291;EC00066;EC000460;EC000127;EC00021"
"Vitamin D3 (cholecalciferol) metabolism","12","12","3","1.6895","0.19656","0.47135","0.026553","777","0.0777","P19","EC0001002;EC0001001;EC000950"
"Vitamin B9 (folate) metabolism","12","12","3","1.6895","0.19656","0.47135","0.026553","295","0.0295","P20","EC00017;EC000832;EC000415"
"Ascorbate (Vitamin C) and Aldarate Metabolism","19","19","4","2.675","0.22579","0.45232","0.028582","1925","0.1925","P21","EC000301;EC000868;EC00037;EC000101"
"Fatty Acid Metabolism","26","26","5","3.6606","0.24123","0.43744","0.029723","562","0.0562","P22","EC000519;EC000520;EC000170;EC000460;EC000450"
"Sphingolipid metabolism","2","2","1","0.28158","0.24301","1","0.029859","589","0.0589","P23","EC000283"
