"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Arachidonic acid metabolism","19","19","8","2.9346","0.0026682","0.0113","0.025061","0","0","P1","EC00018;EC00019;EC000977;EC000429;EC000430;EC000338;EC0001114;EC000892"
"Pyruvate Metabolism","6","6","4","0.9267","0.0047003","0.040088","0.025169","0","0","P2","EC000109;EC000141;EC00075;EC000152"
"Urea cycle/amino group metabolism","92","92","22","14.209","0.0067264","0.01318","0.025276","4994","0.4994","P3","EC00018;EC00019;EC000508;EC000201;EC000260;EC000312;EC00090;EC000214;EC000215;EC0001130;EC000128;EC000258;EC000631;EC000483;EC000486;EC000372;EC000192;EC000193;EC00048;EC000127;EC000243;EC000244"
"Arginine and Proline Metabolism","53","53","14","8.1859","0.01233","0.027632","0.025577","1247","0.1247","P4","EC00018;EC00019;EC000201;EC000647;EC000128;EC000312;EC00090;EC000540;EC000541;EC000258;EC00035;EC000848;EC000243;EC000244"
"Aspartate and asparagine metabolism","109","109","23","16.835","0.026115","0.044113","0.026333","177","0.0177","P5","EC00018;EC00019;EC000260;EC000327;EC000258;EC0001076;EC000631;EC000541;EC000312;EC00048;EC000214;EC000215;EC000846;EC000127;EC000243;EC000244;EC00035;EC000435;EC000540;EC000201;EC00090;EC00027;EC00028"
"Limonene and pinene degradation","9","9","4","1.3901","0.02784","0.12219","0.02643","1719","0.1719","P6","EC000295;EC0001267;EC000576;EC000577"
"Linoleate metabolism","43","43","11","6.6414","0.032241","0.07","0.026677","6372","0.6372","P7","EC0001095;EC0001096;EC000707;EC000920;EC000921;EC000975;EC000973;EC000716;EC000892;EC000513;EC000517"
"Vitamin B6 (pyridoxine) metabolism","14","14","5","2.1623","0.037229","0.12321","0.026961","1418","0.1418","P8","EC000169;EC000170;EC000192;EC000193;EC000388"
"Glutamate metabolism","19","19","6","2.9346","0.04154","0.11788","0.027209","0","0","P9","EC00018;EC00019;EC000214;EC000215;EC00035;EC000127"
"Beta-Alanine metabolism","20","20","6","3.089","0.052561","0.14007","0.027855","0","0","P10","EC00018;EC00019;EC000214;EC000215;EC000312;EC000141"
"Xenobiotics metabolism","47","47","11","7.2592","0.058435","0.11445","0.028206","222","0.0222","P11","EC000842;EC000581;EC000398;EC000335;EC000980;EC000981;EC000587;EC000967;EC0001248;EC0001249;EC000968"
"Alanine and Aspartate Metabolism","21","21","6","3.2435","0.065204","0.16393","0.028617","87","0.0087","P12","EC00018;EC00019;EC000415;EC00035;EC000446;EC000201"
"Glycolysis and Gluconeogenesis","27","27","7","4.1702","0.076236","0.17059","0.0293","371","0.0371","P13","EC000109;EC000407;EC00075;EC00046;EC000147;EC000141;EC000127"
"Propanoate metabolism","12","12","4","1.8534","0.077574","0.23427","0.029385","10","0.001","P14","EC000380;EC000435;EC000141;EC000152"
