"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Linoleate metabolism","43","43","14","7.5419","0.0052004","0.013296","0.013348","2933","0.2933","P1","EC0001095;EC000685;EC0001087;EC0001116;EC0001117;EC0001118;EC000708;EC0001119;EC0001120;EC0001121;EC000975;EC000973;EC000716;EC000893"
"Nitrogen metabolism","10","10","5","1.7539","0.013154","0.061374","0.013611","803","0.0803","P2","EC00019;EC00035;EC00036;EC000500;EC00030"
"C21-steroid hormone biosynthesis and metabolism","52","52","15","9.1204","0.013286","0.028946","0.013615","11","0.0011","P3","EC000303;EC000700;EC000751;EC000552;EC000747;EC000573;EC000419;EC000757;EC000364;EC000752;EC000280;EC000759;EC000758;EC000726;EC000727"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","4","1.4031","0.027066","0.12312","0.014085","0","0","P4","EC00019;EC0001093;EC0001134;EC000706"
"Arachidonic acid metabolism","19","19","6","3.3325","0.071064","0.17682","0.015706","11","0.0011","P5","EC00019;EC000429;EC000337;EC000893;EC0001093;EC000156"
"Histidine metabolism","38","38","10","6.6649","0.071823","0.14186","0.015735","742","0.0742","P6","EC00019;EC000652;EC000722;EC000267;EC000369;EC000828;EC00092;EC000827;EC000724;EC000239"
"Tyrosine metabolism","151","151","30","26.484","0.11493","0.15778","0.017527","9967","0.9967","P7","EC0001078;EC000375;EC00019;EC000339;EC000661;EC000678;EC000192;EC0001196;EC000606;EC00055;EC00056;EC000662;EC000878;EC000568;EC000279;EC000124;EC00035;EC00036;EC000791;EC000927;EC000322;EC000886;EC0001062;EC000554;EC000783;EC000782;EC000326;EC000794;EC0001105;EC0001027"
"CoA Catabolism","8","8","3","1.4031","0.12457","0.37659","0.017957","472","0.0472","P8","EC000396;EC000397;EC000404"
"Prostaglandin formation from arachidonate","27","27","7","4.7356","0.13053","0.25733","0.018229","10","0.001","P9","EC000429;EC000855;EC000337;EC000156;EC000853;EC0001134;EC0001138"
"Androgen and estrogen biosynthesis and metabolism","28","28","7","4.911","0.15146","0.287","0.019221","823","0.0823","P10","EC000303;EC000726;EC000727;EC000419;EC000759;EC000758;EC000700"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","8","5.9634","0.169","0.29819","0.020098","1845","0.1845","P11","EC00019;EC00035;EC00036;EC000470;EC000834;EC000836;EC000116;EC00030"
"Leukotriene metabolism","24","24","6","4.2094","0.17767","0.33921","0.020548","22","0.0022","P12","EC0001220;EC000429;EC0001093;EC0001217;EC000156;EC000851"
"Aspartate and asparagine metabolism","109","109","21","19.118","0.21167","0.28736","0.022424","2511","0.2511","P13","EC00019;EC000108;EC000259;EC000261;EC000255;EC000442;EC0001081;EC0001082;EC00049;EC00030;EC000846;EC000244;EC000246;EC00035;EC00036;EC000345;EC000542;EC000452;EC000610;EC000592;EC0001084"
"Vitamin E metabolism","15","15","4","2.6309","0.21299","0.44242","0.022501","481","0.0481","P14","EC0001242;EC000326;EC0001203;EC0001239"
"Arginine and Proline Metabolism","53","53","11","9.2958","0.22378","0.34071","0.023138","7703","0.7703","P15","EC00019;EC000108;EC000610;EC000542;EC000255;EC000592;EC00035;EC00036;EC00030;EC000244;EC000246"
"Glycosphingolipid metabolism","27","27","6","4.7356","0.26124","0.44266","0.025511","109","0.0109","P16","EC000322;EC000195;EC00039;EC000950;EC000386;EC000951"
"Electron transport chain","2","2","1","0.35079","0.29694","1","0.028031","1474","0.1474","P17","EC000242"
