"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Linoleate metabolism","47","47","8","2.5834","0.0017723","0.0068892","0.001782","440","0.044","P1","EC000994;EC000981;EC0001015;EC0001016;EC000641;EC0001019;EC0001021;EC0001070"
"Dynorphin metabolism","2","2","1","0.10993","0.098895","1","0.0025664","42","0.0042","P2","EC0001030"
"Leukotriene metabolism","24","24","3","1.3192","0.11767","0.33817","0.0027561","427","0.0427","P3","EC000398;EC000379;EC0001103"
"Valine, leucine and isoleucine degradation","25","25","3","1.3742","0.12909","0.35679","0.0028786","307","0.0307","P4","EC00073;EC000129;EC000183"
"Prostaglandin formation from arachidonate","26","26","3","1.4291","0.1409","0.37523","0.0030114","103","0.0103","P5","EC000398;EC000775;EC000315"
"Benzoate degradation via CoA ligation","3","3","1","0.1649","0.14467","1","0.0030552","0","0","P6","EC00084"
"Arachidonic acid metabolism","27","27","3","1.4841","0.15307","0.39346","0.003155","432","0.0432","P7","EC000398;EC000315;EC000379"
"Tyrosine metabolism","125","125","9","6.8708","0.1727","0.27765","0.0034021","4519","0.4519","P8","EC000358;EC000835;EC000512;EC000713;EC0001073;EC000291;EC000718;EC000723;EC000301"
"Lipoate metabolism","5","5","1","0.27483","0.22948","1","0.0042394","2116","0.2116","P9","EC000288"
"Ascorbate (Vitamin C) and Aldarate Metabolism","19","19","2","1.0444","0.2501","0.62434","0.0045955","1834","0.1834","P10","EC000301;EC000868"
"Polyunsaturated fatty acid biosynthesis","6","6","1","0.3298","0.26873","1","0.0049449","1055","0.1055","P11","EC000450"
"Prostaglandin formation from dihomo gama-linoleic acid","6","6","1","0.3298","0.26873","1","0.0049449","278","0.0278","P12","EC000315"
"Fatty acid activation","36","36","3","1.9788","0.27391","0.54502","0.005047","358","0.0358","P13","EC000805;EC000801;EC000450"
"N-Glycan biosynthesis","7","7","1","0.38476","0.30601","1","0.0057323","1497","0.1497","P14","EC00057"
"Vitamin E metabolism","22","22","2","1.2093","0.30797","0.67866","0.0057773","999","0.0999","P15","EC000301;EC000868"
"Fatty Acid Metabolism","26","26","2","1.4291","0.38375","0.73924","0.0078435","1190","0.119","P16","EC000805;EC000450"
"Bile acid biosynthesis","28","28","2","1.5391","0.42041","0.76517","0.0091204","1781","0.1781","P17","EC000950;EC000525"
"Lysine metabolism","47","47","3","2.5834","0.43046","0.69267","0.0095091","5910","0.591","P18","EC000288;EC000394;EC000221"
"Glycolysis and Gluconeogenesis","11","11","1","0.60463","0.43735","1","0.009786","2976","0.2976","P19","EC000288"
"Androgen and estrogen biosynthesis and metabolism","30","30","2","1.649","0.45597","0.78857","0.01058","3327","0.3327","P20","EC000391;EC0001003"
"De novo fatty acid biosynthesis","30","30","2","1.649","0.45597","0.78857","0.01058","1888","0.1888","P21","EC000450;EC000805"
"Glycine, serine, alanine and threonine metabolism","49","49","3","2.6933","0.45809","0.71494","0.010674","3720","0.372","P22","EC000570;EC000183;EC000288"
"Vitamin D3 (cholecalciferol) metabolism","12","12","1","0.65959","0.46617","1","0.011044","1954","0.1954","P23","EC000950"
"Limonene and pinene degradation","12","12","1","0.65959","0.46617","1","0.011044","7290","0.729","P24","EC000524"
"Glutamate metabolism","12","12","1","0.65959","0.46617","1","0.011044","4339","0.4339","P25","EC000183"
"Hexose phosphorylation","13","13","1","0.71456","0.49353","1","0.012406","5615","0.5615","P26","EC000178"
"Fructose and mannose metabolism","13","13","1","0.71456","0.49353","1","0.012406","4304","0.4304","P27","EC00057"
"Vitamin B6 (pyridoxine) metabolism","15","15","1","0.82449","0.54419","1","0.015449","5994","0.5994","P28","EC000142"
"TCA cycle","16","16","1","0.87946","0.56762","1","0.017135","1617","0.1617","P29","EC000288"
"Drug metabolism - other enzymes","16","16","1","0.87946","0.56762","1","0.017135","3525","0.3525","P30","EC000818"
"Squalene and cholesterol biosynthesis","17","17","1","0.93443","0.58986","1","0.018931","1489","0.1489","P31","EC000228"
"Porphyrin metabolism","18","18","1","0.98939","0.61098","1","0.020838","2729","0.2729","P32","EC000384"
"Beta-Alanine metabolism","18","18","1","0.98939","0.61098","1","0.020838","4728","0.4728","P33","EC000183"
