"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Lysine metabolism","44","44","13","4.1466","4.0577e-05","0.00017805","0.0068618","51","0.0051","P1","EC00018;EC00019;EC00020;EC00015;EC000273;EC000767;EC000608;EC000609;EC000194;EC00029;EC000243;EC000246;EC000282"
"Alanine and Aspartate Metabolism","21","21","8","1.9791","0.00019447","0.0012061","0.0068648","0","0","P2","EC00018;EC00019;EC00020;EC00015;EC000415;EC00035;EC000446;EC00030"
"Aspartate and asparagine metabolism","109","109","20","10.272","0.00057704","0.0013934","0.0068722","5","5e-04","P3","EC00018;EC00019;EC00020;EC00015;EC00073;EC0001076;EC000631;EC000541;EC0001080;EC00030;EC000282;EC000243;EC000246;EC00035;EC000540;EC000451;EC000608;EC000609;EC000593;EC00029"
"Arginine and Proline Metabolism","53","53","12","4.9948","0.0012566","0.0039297","0.0068853","210","0.021","P4","EC00018;EC00019;EC00020;EC000608;EC000609;EC000540;EC000541;EC000593;EC00035;EC00030;EC000243;EC000246"
"CoA Catabolism","8","8","4","0.75393","0.0028557","0.025113","0.0069164","3","3e-04","P5","EC00015;EC000395;EC000396;EC000397"
"Vitamin B9 (folate) metabolism","10","10","4","0.94241","0.0074686","0.047407","0.0070068","0","0","P6","EC00018;EC00019;EC000693;EC000446"
"Nitrogen metabolism","10","10","4","0.94241","0.0074686","0.047407","0.0070068","271","0.0271","P7","EC00018;EC00019;EC00035;EC00030"
"Phytanic acid peroxisomal oxidation","6","6","3","0.56545","0.010464","0.087333","0.0070661","0","0","P8","EC00020;EC00015;EC0001060"
"Fatty acid oxidation","11","11","4","1.0366","0.010961","0.061208","0.007076","0","0","P9","EC000617;EC0001060;EC000579;EC000242"
"Valine, leucine and isoleucine degradation","30","30","7","2.8272","0.011573","0.037752","0.0070882","0","0","P10","EC00018;EC00019;EC00020;EC00015;EC00073;EC00086;EC000139"
