"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Pentose phosphate pathway","17","17","7","2.2787","0.0025391","0.012029","0.018852","0","0","P1","EC000156;EC000157;EC000479;EC000150;EC00065;EC000155;EC00020"
"Fructose and mannose metabolism","13","13","6","1.7425","0.002637","0.014731","0.018856","3","3e-04","P2","EC00020;EC00065;EC000353;EC000354;EC000556;EC0001027"
"Purine metabolism","38","38","10","5.0935","0.013333","0.034708","0.019329","6","6e-04","P3","EC000202;EC00087;EC000132;EC000475;EC000452;EC000625;EC000151;EC00034;EC00026;EC00037"
"Hexose phosphorylation","13","13","5","1.7425","0.015182","0.064168","0.019413","787","0.0787","P4","EC00020;EC000178;EC000179;EC000353;EC000354"
"Methionine and cysteine metabolism","28","28","8","3.7531","0.015976","0.046182","0.019448","5","5e-04","P5","EC000695;EC000132;EC000262;EC00038;EC000133;EC000266;EC000540;EC000302"
"Carnitine shuttle","30","30","8","4.0212","0.024253","0.064426","0.019826","12","0.0012","P6","EC0001125;EC0001126;EC000557;EC0001137;EC0001132;EC00011;EC0001122;EC0001152"
"Carbon fixation","8","8","3","1.0723","0.06489","0.25652","0.021801","104","0.0104","P7","EC00065;EC000155;EC00026"
"Galactose metabolism","15","15","4","2.0106","0.10316","0.27671","0.02386","1522","0.1522","P8","EC00020;EC000353;EC000354;EC00065"
"Caffeine metabolism","5","5","2","0.6702","0.11812","0.48119","0.024723","3738","0.3738","P9","EC00020;EC000911"
"Lipoate metabolism","5","5","2","0.6702","0.11812","0.48119","0.024723","884","0.0884","P10","EC000288;EC00025"
"Bile acid biosynthesis","28","28","6","3.7531","0.12114","0.25372","0.024901","535","0.0535","P11","EC000647;EC000684;EC000454;EC000950;EC000133;EC000115"
"Drug metabolism - other enzymes","16","16","4","2.1446","0.12491","0.31231","0.025126","451","0.0451","P12","EC000943;EC000946;EC000945;EC000827"
"Aspartate and asparagine metabolism","83","83","14","11.125","0.13244","0.2071","0.025581","2434","0.2434","P13","EC00090;EC000236;EC000978;EC000975;EC000285;EC000518;EC000182;EC00026;EC000222;EC00034;EC000577;EC000418;EC000977;EC00025"
"Glycosphingolipid metabolism","23","23","5","3.0829","0.14449","0.30963","0.026329","1023","0.1023","P14","EC00020;EC000171;EC000283;EC000855;EC000856"
"Glycolysis and Gluconeogenesis","11","11","3","1.4744","0.14527","0.39928","0.026378","1195","0.1195","P15","EC000288;EC00065;EC00020"
"Squalene and cholesterol biosynthesis","17","17","4","2.2787","0.14842","0.34805","0.026578","56","0.0056","P16","EC000297;EC000115;EC000659;EC000899"
"Prostaglandin formation from dihomo gama-linoleic acid","6","6","2","0.80424","0.16322","0.54517","0.02754","6","6e-04","P17","EC0001011;EC0001047"
