"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Urea cycle/amino group metabolism","92","92","18","12.122","0.022263","0.041062","0.018235","6728","0.6728","P1","EC00018;EC000508;EC000377;EC000697;EC000260;EC000279;EC000312;EC000190;EC00090;EC000214;EC000569;EC000128;EC000483;EC000484;EC000192;EC00048;EC000127;EC000243"
"Tryptophan metabolism","113","113","21","14.889","0.024243","0.04197","0.018318","5161","0.5161","P2","EC00018;EC000810;EC000656;EC000367;EC000816;EC000819;EC000240;EC00050;EC000804;EC0001078;EC0001099;EC000528;EC0001231;EC000694;EC000671;EC000672;EC000797;EC000421;EC000173;EC000175;EC000335"
"Tyrosine metabolism","151","151","26","19.896","0.031791","0.050189","0.018641","9845","0.9845","P3","EC0001198;EC0001078;EC00018;EC000381;EC000341;EC000661;EC000571;EC000192;EC000525;EC00040;EC000780;EC00057;EC000569;EC000279;EC000123;EC00038;EC000791;EC000793;EC000927;EC000323;EC000508;EC000816;EC000783;EC000784;EC000326;EC000794"
"Lysine metabolism","44","44","10","5.7976","0.03246","0.072501","0.01867","5344","0.5344","P4","EC00018;EC000765;EC000767;EC000460;EC00028;EC00029;EC000468;EC000243;EC000668;EC000669"
"Histidine metabolism","38","38","9","5.007","0.032573","0.076544","0.018675","135","0.0135","P5","EC00018;EC000652;EC000654;EC000266;EC000369;EC000829;EC000830;EC000130;EC000725"
"Aspartate and asparagine metabolism","109","109","18","14.362","0.097481","0.14994","0.021729","1059","0.1059","P6","EC00018;EC000260;EC000111;EC000443;EC0001083;EC000312;EC00048;EC000214;EC000127;EC000243;EC00038;EC000435;EC000540;EC000591;EC000592;EC00090;EC00028;EC00029"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","7","4.4799","0.10724","0.21794","0.022234","1003","0.1003","P7","EC00018;EC00038;EC000656;EC000173;EC000175;EC000471;EC000115"
"Nitrogen metabolism","10","10","3","1.3176","0.11063","0.34373","0.022413","4650","0.465","P8","EC00018;EC000111;EC00038"
"Vitamin H (biotin) metabolism","5","5","2","0.65881","0.11422","0.47429","0.022603","65","0.0065","P9","EC00028;EC00029"
"Lipoate metabolism","6","6","2","0.79058","0.15807","0.53789","0.025084","687","0.0687","P10","EC00028;EC00029"
"Glycerophospholipid metabolism","60","60","10","7.9058","0.18097","0.29099","0.026501","116","0.0116","P11","EC000468;EC000536;EC000197;EC000599;EC000892;EC000347;EC000323;EC000512;EC000293;EC000156"
"Arginine and Proline Metabolism","53","53","9","6.9834","0.18319","0.30199","0.026642","7398","0.7398","P12","EC00018;EC000128;EC000312;EC00090;EC000540;EC000591;EC000592;EC00038;EC000243"
"Vitamin A (retinol) metabolism","19","19","4","2.5035","0.19043","0.40621","0.027111","359","0.0359","P13","EC000551;EC0001154;EC0001051;EC000278"
"Glutathione Metabolism","19","19","4","2.5035","0.19043","0.40621","0.027111","43","0.0043","P14","EC000540;EC00018;EC000519;EC0001024"
"Glutamate metabolism","19","19","4","2.5035","0.19043","0.40621","0.027111","64","0.0064","P15","EC00018;EC000214;EC00038;EC000127"
"Pyrimidine metabolism","63","63","10","8.301","0.22441","0.34446","0.029439","198","0.0198","P16","EC000536;EC00038;EC00018;EC000411;EC000214;EC000154;EC000130;EC000127;EC000236;EC000111"
"Methionine and cysteine metabolism","49","49","8","6.4564","0.23501","0.3762","0.03021","34","0.0034","P17","EC00018;EC000236;EC000761;EC000305;EC0001088;EC000128;EC0001165;EC000294"
"Vitamin B6 (pyridoxine) metabolism","14","14","3","1.8447","0.23582","0.51748","0.03027","6873","0.6873","P18","EC000301;EC000192;EC000390"
"Alanine and Aspartate Metabolism","21","21","4","2.767","0.24452","0.47348","0.030923","3784","0.3784","P19","EC00018;EC000415;EC00038;EC000111"
"Purine metabolism","45","45","7","5.9293","0.2994","0.46323","0.035422","984","0.0984","P20","EC000229;EC00018;EC000103;EC000416;EC000505;EC00038;EC00040"
"3-oxo-10R-octadecatrienoate beta-oxidation","10","10","2","1.3176","0.34686","0.7244","0.039925","1064","0.1064","P21","EC0001184;EC0001186"
"Drug metabolism - other enzymes","18","18","3","2.3717","0.37583","0.65829","0.042999","642","0.0642","P22","EC0001040;EC000946;EC000900"
"Di-unsaturated fatty acid beta-oxidation","4","4","1","0.52705","0.4042","1","0.046281","2275","0.2275","P23","EC000512"
"Arachidonic acid metabolism","19","19","3","2.5035","0.41059","0.68794","0.04706","466","0.0466","P24","EC00018;EC000892;EC000156"
"Linoleate metabolism","43","43","6","5.6658","0.42433","0.60686","0.048788","9833","0.9833","P25","EC0001095;EC00040;EC000975;EC000973;EC000892;EC000512"
"Beta-Alanine metabolism","20","20","3","2.6353","0.44475","0.71547","0.051497","2","2e-04","P26","EC00018;EC000214;EC000312"
"C5-Branched dibasic acid metabolism","5","5","1","0.65881","0.47669","1","0.056106","0","0","P27","EC000285"
"D4&E4-neuroprostanes formation","5","5","1","0.65881","0.47669","1","0.056106","465","0.0465","P28","EC00040"
