"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"C21-steroid hormone biosynthesis and metabolism","58","58","9","4.4185","0.016502","0.041742","0.003905","15","0.0015","P1","EC000586;EC0001118;EC000278;EC000391;EC000691;EC000333;EC000270;EC000337;EC000681"
"Galactose metabolism","15","15","4","1.1427","0.017011","0.079893","0.0039115","212","0.0212","P2","EC00080;EC000679;EC00033;EC00065"
"Glycerophospholipid metabolism","50","50","8","3.8091","0.019806","0.051978","0.0039477","26","0.0026","P3","EC000679;EC000652;EC000636;EC000291;EC00033;EC00065;EC000460;EC000126"
"Squalene and cholesterol biosynthesis","17","17","4","1.2951","0.02663","0.10816","0.0040375","6","6e-04","P4","EC000297;EC000900;EC000899;EC000335"
"Prostaglandin formation from arachidonate","26","26","5","1.9807","0.030829","0.099949","0.0040938","2","2e-04","P5","EC000232;EC000772;EC000398;EC000775;EC000126"
"Leukotriene metabolism","24","24","4","1.8284","0.081855","0.22916","0.0048488","228","0.0228","P6","EC000398;EC000126;EC000232;EC000997"
"Arachidonic acid metabolism","27","27","4","2.0569","0.11543","0.28712","0.0054253","217","0.0217","P7","EC000398;EC000232;EC000997;EC000126"
"Purine metabolism","38","38","5","2.8949","0.12198","0.26735","0.005546","592","0.0592","P8","EC000638;EC00075;EC000648;EC000151;EC000324"
"Dynorphin metabolism","2","2","1","0.15236","0.13569","1","0.0058079","61","0.0061","P9","EC0001031"
"Pyruvate Metabolism","3","3","1","0.22854","0.19654","1","0.0071414","461","0.0461","P10","EC00065"
"Vitamin D3 (cholecalciferol) metabolism","12","12","2","0.91418","0.20413","0.57998","0.0073294","789","0.0789","P11","EC0001057;EC000297"
"Linoleate metabolism","47","47","5","3.5805","0.23011","0.41412","0.0080143","5898","0.5898","P12","EC0001016;EC0001019;EC000870;EC0001070;EC000460"
"Fructose and mannose metabolism","13","13","2","0.99036","0.23083","0.60944","0.0080345","2375","0.2375","P13","EC00065;EC000556"
"Hyaluronan Metabolism","4","4","1","0.30473","0.25317","1","0.0086804","1879","0.1879","P14","EC00080"
"Vitamin H (biotin) metabolism","4","4","1","0.30473","0.25317","1","0.0086804","1494","0.1494","P15","EC00024"
"Sialic acid metabolism","14","14","2","1.0665","0.25775","0.63686","0.0088199","846","0.0846","P16","EC00080;EC000679"
"Vitamin B6 (pyridoxine) metabolism","15","15","2","1.1427","0.28474","0.66238","0.0096911","4666","0.4666","P17","EC000141;EC000144"
"Di-unsaturated fatty acid beta-oxidation","5","5","1","0.38091","0.30584","1","0.010438","1117","0.1117","P18","EC000460"
"Caffeine metabolism","5","5","1","0.38091","0.30584","1","0.010438","6348","0.6348","P19","EC000910"
"Lipoate metabolism","5","5","1","0.38091","0.30584","1","0.010438","3799","0.3799","P20","EC00024"
"Bile acid biosynthesis","28","28","3","2.1331","0.31383","0.59099","0.010737","1338","0.1338","P21","EC000586;EC000681;EC000513"
"Pentose phosphate pathway","17","17","2","1.2951","0.33834","0.70822","0.011713","2042","0.2042","P22","EC000157;EC00065"
"Carnitine shuttle","30","30","3","2.2854","0.35378","0.62947","0.012377","1925","0.1925","P23","EC000952;EC0001134;EC0001149"
"Androgen and estrogen biosynthesis and metabolism","30","30","3","2.2854","0.35378","0.62947","0.012377","2713","0.2713","P24","EC000278;EC000270;EC000391"
"Glyoxylate and Dicarboxylate Metabolism","6","6","1","0.45709","0.35485","1","0.012425","840","0.084","P25","EC00065"
"N-Glycan Degradation","6","6","1","0.45709","0.35485","1","0.012425","6999","0.6999","P26","EC00080"
"Aminosugars metabolism","19","19","2","1.4474","0.39074","0.74791","0.014143","2665","0.2665","P27","EC00080;EC00033"
"N-Glycan biosynthesis","7","7","1","0.53327","0.40044","1","0.014651","1493","0.1493","P28","EC00033"
"Keratan sulfate degradation","7","7","1","0.53327","0.40044","1","0.014651","6080","0.608","P29","EC00080"
"Heparan sulfate degradation","7","7","1","0.53327","0.40044","1","0.014651","3857","0.3857","P30","EC00080"
"Xenobiotics metabolism","46","46","4","3.5043","0.40744","0.63253","0.01503","4249","0.4249","P31","EC0004;EC000527;EC000880;EC000796"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","1","0.60945","0.44284","1","0.017124","1199","0.1199","P32","EC000997"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","0.60945","0.44284","1","0.017124","4244","0.4244","P33","EC00033"
"Carbon fixation","8","8","1","0.60945","0.44284","1","0.017124","1722","0.1722","P34","EC00065"
"Omega-6 fatty acid metabolism","9","9","1","0.68563","0.48228","1","0.019849","510","0.051","P35","EC000126"
"Glycosphingolipid metabolism","23","23","2","1.7522","0.4895","0.81198","0.020399","5101","0.5101","P36","EC000291;EC000546"
"Glycolysis and Gluconeogenesis","11","11","1","0.83799","0.55308","1","0.026069","3349","0.3349","P37","EC00065"
"Limonene and pinene degradation","12","12","1","0.91418","0.5848","1","0.029565","8971","0.8971","P38","EC000399"
"Vitamin A (retinol) metabolism","13","13","1","0.99036","0.6143","1","0.033315","2038","0.2038","P39","EC000948"
"De novo fatty acid biosynthesis","30","30","2","2.2854","0.63663","0.88775","0.036532","3288","0.3288","P40","EC000126;EC000460"
"Drug metabolism - cytochrome P450","32","32","2","2.4378","0.67218","0.90319","0.042457","6345","0.6345","P41","EC000931;EC000933"
"Tyrosine metabolism","125","125","7","9.5227","0.79866","0.88656","0.076229","9349","0.9349","P42","EC0001078;EC000711;EC000712;EC000291;EC000747;EC000727;EC000999"
"Urea cycle/amino group metabolism","76","76","4","5.7898","0.79976","0.91247","0.076658","9666","0.9666","P43","EC000349;EC000237;EC00038;EC000162"
"Tryptophan metabolism","93","93","5","7.0849","0.80235","0.90343","0.077672","8376","0.8376","P44","EC000747;EC000538;EC0001107;EC000180;EC000393"
"Pyrimidine metabolism","44","44","2","3.352","0.83048","0.9604","0.090026","8468","0.8468","P45","EC00033;EC000185"
"Fatty Acid Metabolism","26","26","1","1.9807","0.85295","1","0.102","5839","0.5839","P46","EC000460"
"Aspartate and asparagine metabolism","83","83","4","6.323","0.85336","0.94019","0.10224","9633","0.9633","P47","EC000237;EC000976;EC000770;EC00024"
"Lysine metabolism","47","47","2","3.5805","0.85758","0.96838","0.10475","9441","0.9441","P48","EC000422;EC00024"
"Methionine and cysteine metabolism","28","28","1","2.1331","0.87336","1","0.11504","7958","0.7958","P49","EC00038"
"Glycine, serine, alanine and threonine metabolism","49","49","2","3.7329","0.87341","0.9728","0.11508","8418","0.8418","P50","EC000162;EC00038"
"Butanoate metabolism","29","29","1","2.2093","0.88249","1","0.12172","8691","0.8691","P51","EC000789"
"Fatty acid activation","36","36","1","2.7425","0.93053","1","0.17054","6308","0.6308","P52","EC000460"
"Arginine and Proline Metabolism","44","44","1","3.352","0.96207","1","0.22821","9879","0.9879","P53","EC00038"
