"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Carnitine shuttle","30","30","10","3.6162","0.00087392","0.003461","0.013067","0","0","P1","EC0001145;EC0001125;EC0001126;EC000557;EC0001133;EC000170;EC0001120;EC0001152;EC0001146;EC0001129"
"Prostaglandin formation from arachidonate","26","26","8","3.134","0.0051771","0.018382","0.01321","0","0","P2","EC000775;EC000776;EC000316;EC0001047;EC000127;EC000774;EC00037;EC0001084"
"Histidine metabolism","32","32","9","3.8573","0.0059096","0.018697","0.013235","434","0.0434","P3","EC00017;EC000593;EC000240;EC000344;EC000345;EC000756;EC00079;EC000753;EC000213"
"Dynorphin metabolism","2","2","2","0.24108","0.01228","0.20856","0.01345","0","0","P4","EC0001030;EC0001031"
"Vitamin B2 (riboflavin) metabolism","3","3","2","0.36162","0.034147","0.29603","0.014218","0","0","P5","EC000148;EC000149"
"Alkaloid biosynthesis II","12","12","4","1.4465","0.035506","0.13758","0.014267","0","0","P6","EC000793;EC000860;EC000861;EC000110"
"Leukotriene metabolism","24","24","6","2.893","0.041832","0.11529","0.014499","40","0.004","P7","EC0001047;EC000991;EC000989;EC000127;EC00017;EC000379"
"Arginine and Proline Metabolism","44","44","9","5.3038","0.046841","0.10174","0.014686","75","0.0075","P8","EC00017;EC00031;EC000176;EC00038;EC00050;EC000482;EC000541;EC00034;EC000223"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","6","3.0135","0.050179","0.13198","0.014811","221","0.0221","P9","EC00017;EC00031;EC00034;EC0003;EC000762;EC00095"
"Alanine and Aspartate Metabolism","20","20","5","2.4108","0.061732","0.1706","0.015255","964","0.0964","P10","EC00017;EC00031;EC00034;EC000415;EC000176"
"Omega-6 fatty acid metabolism","9","9","3","1.0849","0.068333","0.26086","0.015516","9","9e-04","P11","EC0001007;EC0001009;EC000127"
"Purine metabolism","38","38","7","4.5805","0.11941","0.23475","0.017701","300","0.03","P12","EC00017;EC00083;EC000287;EC000794;EC00050;EC00034;EC00037"
"Prostaglandin formation from dihomo gama-linoleic acid","6","6","2","0.72324","0.13657","0.50491","0.018508","32","0.0032","P13","EC000316;EC0001047"
"Vitamin B9 (folate) metabolism","12","12","3","1.4465","0.14009","0.38857","0.018679","173","0.0173","P14","EC00017;EC000832;EC000415"
"Ascorbate (Vitamin C) and Aldarate Metabolism","19","19","4","2.2903","0.1517","0.35054","0.019254","1339","0.1339","P15","EC000150;EC000868;EC00037;EC000101"
"Glycine, serine, alanine and threonine metabolism","49","49","8","5.9065","0.16817","0.29084","0.020104","240","0.024","P16","EC00017;EC00031;EC000964;EC000113;EC00038;EC000783;EC00067;EC000116"
"Arachidonic acid metabolism","27","27","5","3.2546","0.17249","0.34705","0.020333","256","0.0256","P17","EC00017;EC000316;EC000989;EC000379;EC000127"
"Methionine and cysteine metabolism","28","28","5","3.3751","0.19238","0.37357","0.021429","636","0.0636","P18","EC00017;EC000695;EC00038;EC000266;EC000302"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","2","0.96432","0.22051","0.60869","0.02309","73","0.0073","P19","EC00017;EC000989"
"Saturated fatty acids beta-oxidation","8","8","2","0.96432","0.22051","0.60869","0.02309","1089","0.1089","P20","EC000557;EC000170"
"Nitrogen metabolism","8","8","2","0.96432","0.22051","0.60869","0.02309","552","0.0552","P21","EC00017;EC00034"
"Androgen and estrogen biosynthesis and metabolism","30","30","5","3.6162","0.23439","0.42629","0.023963","2021","0.2021","P22","EC000516;EC000669;EC0009;EC00010;EC0001003"
"D4&E4-neuroprostanes formation","3","3","1","0.36162","0.29814","1","0.028471","541","0.0541","P23","EC00037"
"Aspartate and asparagine metabolism","83","83","11","10.005","0.31141","0.43451","0.029525","5525","0.5525","P24","EC00017;EC000482;EC00050;EC000223;EC00031;EC00034;EC000520;EC000577;EC000176;EC000541;EC00025"
"Aminosugars metabolism","19","19","3","2.2903","0.35543","0.63815","0.03335","1589","0.1589","P25","EC00017;EC000179;EC00034"
"Vitamin H (biotin) metabolism","4","4","1","0.48216","0.3764","1","0.035369","391","0.0391","P26","EC00025"
"Glutamate metabolism","12","12","2","1.4465","0.39261","0.75587","0.037025","1055","0.1055","P27","EC00017;EC00034"
"Xenobiotics metabolism","46","46","6","5.5448","0.40535","0.58714","0.03839","5550","0.555","P28","EC0004;EC000891;EC000864;EC000893;EC000473;EC000441"
"Lysine metabolism","47","47","6","5.6654","0.42643","0.60722","0.040777","7425","0.7425","P29","EC00017;EC000697;EC000170;EC00025;EC000223;EC000603"
"Glutathione Metabolism","13","13","2","1.567","0.43344","0.78309","0.041608","2162","0.2162","P30","EC000482;EC00017"
"Di-unsaturated fatty acid beta-oxidation","5","5","1","0.6027","0.446","1","0.043148","869","0.0869","P31","EC0001007"
"3-oxo-10R-octadecatrienoate beta-oxidation","5","5","1","0.6027","0.446","1","0.043148","301","0.0301","P32","EC0001066"
"Lipoate metabolism","5","5","1","0.6027","0.446","1","0.043148","3604","0.3604","P33","EC00025"
"CoA Catabolism","5","5","1","0.6027","0.446","1","0.043148","5555","0.5555","P34","EC000360"
"Pentose and Glucuronate Interconversions","6","6","1","0.72324","0.50788","1","0.051785","130","0.013","P35","EC000150"
"Valine, leucine and isoleucine degradation","25","25","3","3.0135","0.5388","0.78272","0.056864","1238","0.1238","P36","EC00017;EC00072;EC000113"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","0.96432","0.61182","1","0.071474","8590","0.859","P37","EC000360"
"Beta-Alanine metabolism","18","18","2","2.1697","0.61251","0.88011","0.071632","3828","0.3828","P38","EC00017;EC00079"
"Urea cycle/amino group metabolism","76","76","8","9.161","0.62594","0.75573","0.074815","9223","0.9223","P39","EC00017;EC000455;EC00031;EC000176;EC00038;EC000287;EC00050;EC000223"
"C21-steroid hormone biosynthesis and metabolism","58","58","6","6.9913","0.64185","0.78816","0.078819","1893","0.1893","P40","EC0009;EC00010;EC000961;EC000338;EC000516;EC000669"
"Butanoate metabolism","29","29","3","3.4957","0.64344","0.84863","0.079234","5375","0.5375","P41","EC00017;EC000113;EC000562"
"Biopterin metabolism","9","9","1","1.0849","0.6553","1","0.082417","7025","0.7025","P42","EC00045"
"Vitamin E metabolism","22","22","2","2.6519","0.72241","0.92554","0.10396","4541","0.4541","P43","EC000868;EC0001090"
"Glycosphingolipid metabolism","23","23","2","2.7724","0.74545","0.93392","0.11307","7524","0.7524","P44","EC000855;EC000546"
"Vitamin D3 (cholecalciferol) metabolism","12","12","1","1.4465","0.7588","1","0.11886","5858","0.5858","P45","EC0001002"
"Limonene and pinene degradation","12","12","1","1.4465","0.7588","1","0.11886","9948","0.9948","P46","EC000401"
"Hexose phosphorylation","13","13","1","1.567","0.78591","1","0.13199","9630","0.963","P47","EC000179"
"Linoleate metabolism","47","47","4","5.6654","0.78794","0.90835","0.13305","9844","0.9844","P48","EC000981;EC000641;EC0001019;EC00037"
"Fatty Acid Metabolism","26","26","2","3.134","0.80503","0.95384","0.14253","5404","0.5404","P49","EC000520;EC000170"
"Tyrosine metabolism","125","125","11","15.068","0.84838","0.90752","0.17175","9889","0.9889","P50","EC000481;EC00017;EC000281;EC0001076;EC00045;EC0001074;EC00037;EC00034;EC000455;EC000729;EC000999"
