"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Arachidonic acid metabolism","19","19","7","2.2216","0.0023802","0.011137","0.016844","0","0","P1","EC00018;EC000977;EC000338;EC00012;EC0001114;EC000892;EC000893"
"Urea cycle/amino group metabolism","92","92","19","10.757","0.002719","0.0060289","0.016858","3117","0.3117","P2","EC00018;EC000610;EC000697;EC000260;EC000279;EC00043;EC00045;EC000312;EC000190;EC00012;EC00090;EC000214;EC000215;EC000128;EC000258;EC000483;EC000372;EC00048;EC000244"
"Arginine and Proline Metabolism","53","53","13","6.1972","0.0027593","0.0075872","0.016859","411","0.0411","P3","EC00018;EC000610;EC000647;EC000128;EC00043;EC00045;EC000312;EC00012;EC00090;EC000540;EC000258;EC00038;EC000244"
"Di-unsaturated fatty acid beta-oxidation","4","4","3","0.46771","0.0045013","0.05883","0.016927","0","0","P4","EC00012;EC000512;EC000513"
"Linoleate metabolism","43","43","10","5.0279","0.012673","0.03285","0.017252","4337","0.4337","P5","EC0001096;EC000709;EC000921;EC000975;EC0001190;EC000892;EC000893;EC000512;EC000513;EC000517"
"Aspartate and asparagine metabolism","109","109","18","12.745","0.036132","0.062443","0.018221","330","0.033","P6","EC00018;EC000260;EC000258;EC00012;EC000443;EC0001076;EC0001081;EC000312;EC00048;EC000214;EC000215;EC000244;EC00038;EC000435;EC000540;EC000610;EC00090;EC00028"
"Histidine metabolism","38","38","8","4.4433","0.043677","0.10166","0.018546","234","0.0234","P7","EC00018;EC0001243;EC000654;EC000265;EC000266;EC000829;EC000130;EC000725"
"R Group Synthesis","4","4","2","0.46771","0.059653","0.36395","0.019254","0","0","P8","EC00012;EC000579"
"Prostaglandin formation from dihomo gama-linoleic acid","5","5","2","0.58464","0.092511","0.43212","0.020805","85","0.0085","P9","EC0001113;EC000338"
"Valine, leucine and isoleucine degradation","30","30","6","3.5079","0.094242","0.20976","0.02089","0","0","P10","EC00018;EC00012;EC000161;EC000435;EC000214;EC000215"
"C21-steroid hormone biosynthesis and metabolism","52","52","9","6.0803","0.097165","0.18249","0.021036","115","0.0115","P11","EC0008;EC000303;EC000748;EC000297;EC000247;EC000546;EC000280;EC000743;EC000744"
"Porphyrin metabolism","17","17","4","1.9878","0.10079","0.26993","0.021217","273","0.0273","P12","EC00017;EC000258;EC00012;EC000280"
"Glycine, serine, alanine and threonine metabolism","69","69","11","8.0681","0.11278","0.19273","0.021831","244","0.0244","P13","EC00018;EC000214;EC000215;EC00012;EC0001090;EC000190;EC00043;EC00045;EC000258;EC00048;EC000143"
"Glutamate metabolism","19","19","4","2.2216","0.13905","0.33138","0.023244","14","0.0014","P14","EC00018;EC000214;EC000215;EC00038"
"Tryptophan metabolism","113","113","16","13.213","0.14448","0.21486","0.023549","8070","0.807","P15","EC00018;EC000656;EC000367;EC00012;EC000819;EC000240;EC00050;EC0001078;EC0001099;EC000528;EC0001231;EC00023;EC000671;EC000797;EC000173;EC000335"
"Butanoate metabolism","42","42","7","4.911","0.15678","0.28759","0.024255","470","0.047","P16","EC00018;EC000873;EC000435;EC00012;EC000214;EC000215;EC000407"
"Beta-Alanine metabolism","20","20","4","2.3386","0.16007","0.36216","0.024448","0","0","P17","EC00018;EC000214;EC000215;EC000312"
"Androgen and estrogen biosynthesis and metabolism","28","28","5","3.274","0.17495","0.35011","0.025343","926","0.0926","P18","EC000303;EC000297;EC000546;EC0008;EC0001110"
"Lysine metabolism","44","44","7","5.1449","0.18649","0.32704","0.026062","8996","0.8996","P19","EC00018;EC000610;EC00012;EC00028;EC000467;EC000244;EC000668"
"De novo fatty acid biosynthesis","29","29","5","3.3909","0.19424","0.37572","0.026557","6","6e-04","P20","EC000579;EC000892;EC000893;EC000512;EC000513"
"Fatty acid activation","37","37","6","4.3264","0.19994","0.36066","0.026929","6","6e-04","P21","EC000579;EC00012;EC000892;EC000893;EC000512;EC000513"
"Vitamin B2 (riboflavin) metabolism","2","2","1","0.23386","0.20375","1","0.027181","252","0.0252","P22","EC00012"
"Benzoate degradation via CoA ligation","2","2","1","0.23386","0.20375","1","0.027181","0","0","P23","EC000105"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","2","0.93543","0.20957","0.59607","0.027569","0","0","P24","EC00018;EC0001114"
"Vitamin E metabolism","15","15","3","1.7539","0.21337","0.48786","0.027827","300","0.03","P25","EC0001114;EC000326;EC0001079"
"Hexose phosphorylation","16","16","3","1.8709","0.24327","0.52331","0.029951","4996","0.4996","P26","EC00023;EC000123;EC000379"
"Saturated fatty acids beta-oxidation","9","9","2","1.0524","0.25144","0.6395","0.030562","0","0","P27","EC000579;EC00012"
"Limonene and pinene degradation","9","9","2","1.0524","0.25144","0.6395","0.030562","8517","0.8517","P28","EC000295;EC000431"
"Bile acid biosynthesis","24","24","4","2.8063","0.25359","0.4817","0.030726","34","0.0034","P29","EC000743;EC00012;EC000744;EC000578"
"Methionine and cysteine metabolism","49","49","7","5.7295","0.26945","0.42778","0.031961","43","0.0043","P30","EC00018;EC000236;EC000158;EC000288;EC00043;EC00045;EC000128"
"Mono-unsaturated fatty acid beta-oxidation","3","3","1","0.35079","0.28959","1","0.033612","511","0.0511","P31","EC00012"
"Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation","3","3","1","0.35079","0.28959","1","0.033612","0","0","P32","EC00012"
"Vitamin B9 (folate) metabolism","10","10","2","1.1693","0.29351","0.67829","0.033945","2193","0.2193","P33","EC00018;EC00012"
"Nitrogen metabolism","10","10","2","1.1693","0.29351","0.67829","0.033945","7815","0.7815","P34","EC00018;EC00038"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","5","3.9756","0.29962","0.50076","0.034471","3688","0.3688","P35","EC00018;EC00038;EC000656;EC000173;EC000471"
"Fatty Acid Metabolism","18","18","3","2.1047","0.30472","0.58916","0.034917","24","0.0024","P36","EC000579;EC000512;EC000513"
"Fructose and mannose metabolism","18","18","3","2.1047","0.30472","0.58916","0.034917","2913","0.2913","P37","EC00023;EC000379;EC000613"
"N-Glycan biosynthesis","11","11","2","1.2862","0.33526","0.71293","0.037731","1032","0.1032","P38","EC00076;EC00023"
"Fatty acid oxidation","11","11","2","1.2862","0.33526","0.71293","0.037731","118","0.0118","P39","EC000579;EC00012"
"Pyrimidine metabolism","63","63","8","7.3665","0.3652","0.51838","0.040748","599","0.0599","P40","EC00038;EC00018;EC000411;EC000214;EC000215;EC000130;EC00076;EC000236"
"Propanoate metabolism","12","12","2","1.4031","0.37627","0.74387","0.041933","353","0.0353","P41","EC000435;EC00012"
"Alanine and Aspartate Metabolism","21","21","3","2.4555","0.39756","0.67495","0.044328","6191","0.6191","P42","EC00018;EC000415;EC00038"
