"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"C21-steroid hormone biosynthesis and metabolism","58","58","19","9.7319","0.00058196","0.001566","0.028051","0","0","P1","EC0009;EC00010;EC000278;EC000493;EC000391;EC0001;EC000690;EC000959;EC0001052;EC000334;EC000270;EC000338;EC000516;EC000258;EC000487;EC00021;EC000667;EC000669;EC000671"
"Methionine and cysteine metabolism","28","28","11","4.6982","0.0017384","0.0060821","0.028119","0","0","P2","EC00017;EC000209;EC000695;EC000261;EC000262;EC000480;EC00038;EC000133;EC000497;EC00036;EC00021"
"Purine metabolism","38","38","13","6.3761","0.0029159","0.0083623","0.028188","0","0","P3","EC000202;EC00017;EC00083;EC000287;EC000475;EC000160;EC000452;EC000477;EC00050;EC000151;EC00034;EC00027;EC00037"
"Androgen and estrogen biosynthesis and metabolism","30","30","11","5.0338","0.0033239","0.010514","0.028212","18","0.0018","P4","EC000278;EC000516;EC000667;EC000669;EC000671;EC000270;EC000391;EC000487;EC0009;EC00010;EC0001003"
"Carnitine shuttle","30","30","10","5.0338","0.010952","0.030368","0.028665","4","4e-04","P5","EC0001145;EC000952;EC0001126;EC000557;EC0007;EC000170;EC00011;EC0001122;EC0001152;EC0001146"
"Alanine and Aspartate Metabolism","20","20","7","3.3558","0.024602","0.072846","0.029496","2","2e-04","P6","EC00017;EC00031;EC00034;EC000415;EC00021;EC000176;EC00027"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","8","4.1948","0.028699","0.075587","0.029751","4","4e-04","P7","EC00017;EC00031;EC00034;EC0003;EC000431;EC000249;EC000761;EC00027"
"Glycerophospholipid metabolism","50","50","13","8.3896","0.034318","0.069088","0.030104","3","3e-04","P8","EC000679;EC000428;EC000651;EC000230;EC000745;EC000171;EC00036;EC00066;EC000460;EC00029;EC000898;EC000127;EC00021"
"Omega-6 fatty acid metabolism","9","9","4","1.5101","0.037048","0.14857","0.030277","0","0","P9","EC0001043;EC0001009;EC000127;EC0007"
"Pyruvate Metabolism","3","3","2","0.50338","0.064232","0.39462","0.032063","0","0","P10","EC00066;EC00021"
"Vitamin B2 (riboflavin) metabolism","3","3","2","0.50338","0.064232","0.39462","0.032063","0","0","P11","EC000148;EC000149"
"Arginine and Proline Metabolism","44","44","11","7.3828","0.064385","0.1246","0.032074","2","2e-04","P12","EC00017;EC00088;EC00031;EC000176;EC000582;EC00038;EC00050;EC000482;EC00034;EC00027;EC000223"
"Vitamin B9 (folate) metabolism","12","12","4","2.0135","0.10006","0.27724","0.0346","10","0.001","P13","EC00017;EC000832;EC00036;EC000415"
"Glutamate metabolism","12","12","4","2.0135","0.10006","0.27724","0.0346","0","0","P14","EC00017;EC000182;EC00034;EC000325"
"Histidine metabolism","32","32","8","5.3693","0.10728","0.21049","0.035138","2876","0.2876","P15","EC00017;EC000591;EC000592;EC000241;EC000343;EC000756;EC00077;EC000212"
"Nitrogen metabolism","8","8","3","1.3423","0.1127","0.35532","0.035548","0","0","P16","EC00017;EC00034;EC00027"
"Beta-Alanine metabolism","18","18","5","3.0203","0.1318","0.29575","0.037035","26","0.0026","P17","EC00017;EC000212;EC000182;EC00077;EC00027"
"Biopterin metabolism","9","9","3","1.5101","0.15053","0.41439","0.038563","303","0.0303","P18","EC0001025;EC00045;EC00049"
"Glycosphingolipid biosynthesis - lactoseries","1","1","1","0.16779","0.1548","1","0.038921","0","0","P19","EC00029"
"Blood Group Biosynthesis","1","1","1","0.16779","0.1548","1","0.038921","0","0","P20","EC00029"
"Glycosphingolipid biosynthesis - neolactoseries","1","1","1","0.16779","0.1548","1","0.038921","0","0","P21","EC00029"
"Keratan sulfate biosynthesis","1","1","1","0.16779","0.1548","1","0.038921","0","0","P22","EC00029"
"O-Glycan biosynthesis","1","1","1","0.16779","0.1548","1","0.038921","0","0","P23","EC00029"
"Proteoglycan biosynthesis","1","1","1","0.16779","0.1548","1","0.038921","0","0","P24","EC00021"
"Aminosugars metabolism","19","19","5","3.188","0.15759","0.33334","0.039157","221","0.0221","P25","EC00017;EC000179;EC00034;EC00021;EC00029"
"3-oxo-10R-octadecatrienoate beta-oxidation","5","5","2","0.83896","0.17339","0.56712","0.040524","104","0.0104","P26","EC0001065;EC0001066"
"Urea cycle/amino group metabolism","76","76","15","12.752","0.18263","0.26947","0.041348","2762","0.2762","P27","EC00017;EC00088;EC000349;EC00031;EC000176;EC00038;EC000162;EC00021;EC000182;EC000287;EC00050;EC000448;EC000438;EC00027;EC000223"
"Glycine, serine, alanine and threonine metabolism","49","49","10","8.2218","0.21453","0.33588","0.044345","67","0.0067","P28","EC00017;EC000570;EC000182;EC00031;EC000964;EC000162;EC00038;EC00036;EC000497;EC00021"
"Pyrimidine metabolism","44","44","9","7.3828","0.22961","0.36283","0.045848","97","0.0097","P29","EC00034;EC000217;EC00017;EC00029;EC000376;EC000182;EC000124;EC000209;EC00027"
"Glyoxylate and Dicarboxylate Metabolism","6","6","2","1.0068","0.23461","0.63405","0.046359","0","0","P30","EC00066;EC00021"
"Polyunsaturated fatty acid biosynthesis","6","6","2","1.0068","0.23461","0.63405","0.046359","224","0.0224","P31","EC000450;EC0007"
"Glycosphingolipid metabolism","23","23","5","3.8592","0.27692","0.48254","0.050954","2412","0.2412","P32","EC000171;EC00029;EC000283;EC00036;EC000855"
"Vitamin D3 (cholecalciferol) metabolism","12","12","3","2.0135","0.28034","0.57283","0.051348","1193","0.1193","P33","EC000467;EC0001001;EC000950"
"Glycosphingolipid biosynthesis - globoseries","2","2","1","0.33558","0.28576","1","0.051979","1645","0.1645","P34","EC00029"
"Sphingolipid metabolism","2","2","1","0.33558","0.28576","1","0.051979","1264","0.1264","P35","EC000283"
