"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Alanine and Aspartate Metabolism","20","20","7","1.6586","0.00041198","0.0025677","0.0093457","0","0","P1","EC00017;EC00031;EC000388;EC00034;EC000415;EC00021;EC000176"
"Pyruvate Metabolism","3","3","3","0.24879","0.00043357","0.016133","0.0093462","0","0","P2","EC00065;EC00066;EC00021"
"Fatty acid oxidation","12","12","5","0.99518","0.0012061","0.0094365","0.0093659","0","0","P3","EC000561;EC0001142;EC000953;EC000526;EC0007"
"Glycine, serine, alanine and threonine metabolism","49","49","10","4.0636","0.0027873","0.0087841","0.0094064","0","0","P4","EC00017;EC00031;EC000985;EC000964;EC000114;EC000244;EC00038;EC000781;EC000447;EC00021"
"Carnitine shuttle","30","30","7","2.4879","0.005738","0.021253","0.0094824","3","3e-04","P5","EC0001142;EC0001143;EC000561;EC000953;EC000526;EC0007;EC0001146"
"Glyoxylate and Dicarboxylate Metabolism","6","6","3","0.49759","0.0073097","0.069436","0.0095232","0","0","P6","EC00065;EC00066;EC00021"
"Aspartate and asparagine metabolism","83","83","13","6.8833","0.0076801","0.017823","0.0095328","296","0.0296","P7","EC00017;EC000238;EC000482;EC000768;EC000222;EC000223;EC00031;EC00034;EC000447;EC000176;EC000417;EC00021;EC00025"
"Histidine metabolism","32","32","7","2.6538","0.0083607","0.028701","0.0095505","771","0.0771","P8","EC00017;EC000592;EC000345;EC000756;EC00076;EC00077;EC000213"
"Arginine and Proline Metabolism","44","44","8","3.649","0.015271","0.042383","0.0097325","24","0.0024","P9","EC00017;EC00031;EC000176;EC00038;EC000482;EC00034;EC000222;EC000223"
"R Group Synthesis","3","3","2","0.24879","0.016507","0.21032","0.0097654","0","0","P10","EC000561;EC000526"
"Fatty acid oxidation, peroxisome","4","4","2","0.33173","0.031375","0.27019","0.010171","0","0","P11","EC000561;EC0007"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","5","2.0733","0.036539","0.1138","0.010316","286","0.0286","P12","EC00017;EC00031;EC00034;EC000249;EC00095"
"Glycolysis and Gluconeogenesis","11","11","3","0.91225","0.045544","0.19958","0.010575","310","0.031","P13","EC00065;EC00066;EC00021"
"Urea cycle/amino group metabolism","76","76","10","6.3028","0.057236","0.11172","0.010921","2206","0.2206","P14","EC00017;EC00031;EC000176;EC000238;EC000305;EC00038;EC00021;EC000438;EC000222;EC000223"
"Vitamin B9 (folate) metabolism","12","12","3","0.99518","0.057447","0.22834","0.010927","58","0.0058","P15","EC00017;EC000832;EC000415"
"C21-steroid hormone biosynthesis and metabolism","58","58","8","4.81","0.068143","0.1411","0.011255","57","0.0057","P16","EC0009;EC0001;EC000587;EC0001052;EC000682;EC000693;EC00021;EC000669"
"Glutathione Metabolism","13","13","3","1.0781","0.070663","0.25737","0.011333","181","0.0181","P17","EC000482;EC00017;EC000447"
"Polyunsaturated fatty acid biosynthesis","6","6","2","0.49759","0.070915","0.37681","0.011341","104","0.0104","P18","EC000561;EC0007"
"Proteoglycan biosynthesis","1","1","1","0.082932","0.076512","1","0.011518","0","0","P19","EC00021"
"Galactose metabolism","15","15","3","1.244","0.10072","0.31547","0.012319","1002","0.1002","P20","EC000678;EC00065;EC00066"
"Carbon fixation","8","8","2","0.66345","0.11983","0.46801","0.012994","227","0.0227","P21","EC00065;EC00066"
"Nitrogen metabolism","8","8","2","0.66345","0.11983","0.46801","0.012994","296","0.0296","P22","EC00017;EC00034"
"Fatty acid activation","36","36","5","2.9855","0.13423","0.28693","0.013528","43","0.0043","P23","EC000561;EC000526;EC0007;EC000953;EC0001142"
"Omega-3 fatty acid metabolism","9","9","2","0.74638","0.14666","0.50853","0.01401","582","0.0582","P24","EC000904;EC0007"
"Omega-6 fatty acid metabolism","9","9","2","0.74638","0.14666","0.50853","0.01401","28","0.0028","P25","EC000561;EC0007"
"Mono-unsaturated fatty acid beta-oxidation","2","2","1","0.16586","0.14723","1","0.014032","0","0","P26","EC000953"
"3-Chloroacrylic acid degradation","2","2","1","0.16586","0.14723","1","0.014032","0","0","P27","EC000812"
"Beta-Alanine metabolism","18","18","3","1.4928","0.15343","0.40045","0.014279","397","0.0397","P28","EC00017;EC00076;EC00077"
"Purine metabolism","38","38","5","3.1514","0.15882","0.3224","0.014498","505","0.0505","P29","EC00017;EC000199;EC000477;EC00034;EC00037"
"Methionine and cysteine metabolism","28","28","4","2.3221","0.16031","0.35635","0.014559","561","0.0561","P30","EC00017;EC000209;EC00038;EC00021"
"Aminosugars metabolism","19","19","3","1.5757","0.17264","0.42775","0.015076","464","0.0464","P31","EC00017;EC00034;EC00021"
"Butanoate metabolism","29","29","4","2.405","0.1757","0.37779","0.015207","941","0.0941","P32","EC00017;EC000789;EC000114;EC00021"
"Glycerophospholipid metabolism","50","50","6","4.1466","0.17673","0.32529","0.015252","279","0.0279","P33","EC000428;EC000745;EC00065;EC00066;EC000898;EC00021"
"De novo fatty acid biosynthesis","30","30","4","2.4879","0.19157","0.3991","0.015909","351","0.0351","P34","EC000561;EC0007;EC000526;EC000953"
"Parathio degradation","3","3","1","0.24879","0.2126","1","0.016893","38","0.0038","P35","EC000810"
"D4&E4-neuroprostanes formation","3","3","1","0.24879","0.2126","1","0.016893","155","0.0155","P36","EC00037"
"Glutamate metabolism","12","12","2","0.99518","0.23241","0.61266","0.017882","398","0.0398","P37","EC00017;EC00034"
"Pyrimidine metabolism","44","44","5","3.649","0.24202","0.42964","0.018385","1046","0.1046","P38","EC00034;EC00017;EC000376;EC000373;EC000209"
"Fructose and mannose metabolism","13","13","2","1.0781","0.26182","0.64227","0.01947","2123","0.2123","P39","EC00065;EC00066"
"Vitamin H (biotin) metabolism","4","4","1","0.33173","0.273","1","0.020115","221","0.0221","P40","EC00025"
"Leukotriene metabolism","24","24","3","1.9904","0.27644","0.55353","0.020317","1064","0.1064","P41","EC0001102;EC00017;EC000379"
"Lysine metabolism","47","47","5","3.8978","0.28749","0.48196","0.020985","5776","0.5776","P42","EC00017;EC00025;EC000428;EC000222;EC000223"
"Lipoate metabolism","5","5","1","0.41466","0.32883","1","0.023706","2451","0.2451","P43","EC00025"
"CoA Catabolism","5","5","1","0.41466","0.32883","1","0.023706","4170","0.417","P44","EC000366"
"Phytanic acid peroxisomal oxidation","5","5","1","0.41466","0.32883","1","0.023706","12","0.0012","P45","EC000953"
"Drug metabolism - other enzymes","16","16","2","1.3269","0.34961","0.71832","0.025222","2544","0.2544","P46","EC000814;EC000815"
"Bile acid biosynthesis","28","28","3","2.3221","0.36344","0.63951","0.02629","1583","0.1583","P47","EC000682;EC000587;EC000330"
"Pentose phosphate pathway","17","17","2","1.4098","0.37823","0.73993","0.027491","1761","0.1761","P48","EC00065;EC00066"
"Propanoate metabolism","6","6","1","0.49759","0.38041","1","0.027673","3071","0.3071","P49","EC000355"
