exposure,n,pvalue_mean,pvalue_BH_mean,perc_pval_0.05,perc_pval_0.05_BH,n_pval_0.05_BH
netfosaa,3909,0.4145722235191271,0.679344966494836,0.14402660526989,0.026093630084420567,102
nmefosaab,3909,0.3222518967590325,0.4758716516571217,0.23995906881555384,0.03683806600153492,144
pfbs,3909,0.5160410105100528,0.999099043805168,0.03709388590432336,0,0
pfda,3909,0.30560834323282204,0.43589815930530434,0.2724481964696853,0.12663085188027629,495
pfdoa,3909,0.6075054830231481,0.9942615006156694,0.0283960092095165,5.116398055768739e-4,2
pfds,3909,0.543455530689196,0.9942991620721909,0.02532617037605526,0.0017907393195190585,7
pfhpa,3909,0.5367006172979897,0.9990716785231958,0.03300076745970836,0,0
pfhps,3909,0.2751217855411941,0.3799287191073508,0.31465848042977745,0.14556152468662062,569
pfhxa,3909,NA,NA,NA,NA,NA
pfhxs,3909,0.4835091914881417,0.9413600031972482,0.03427986697365055,0,0
pfna,3909,0.2911436650222194,0.41419505413603525,0.2826809925812228,0.07086211307239704,277
pfns,3909,0.5778658359195622,0.9996935194958646,0.015093374264517779,0,0
pfoa,3909,0.3514940027850206,0.5510134107391224,0.18751598874392428,0.008697876694806856,34
pfos,3909,0.22075127981525444,0.2806947139915678,0.4394985929905347,0.32591455615246867,1274
pfpes,3909,0.5110921799586089,0.9954092539604404,0.03351240726528524,0,0
pfuda,3909,0.47639308019303495,0.9154989872764416,0.05960603734970581,0.0028140189306728063,11
x82fts,3909,0.44607338729224166,0.7700414395932499,0.11435149654643131,0,0
