exposure,n,pvalue_mean,pvalue_BH_mean,pec_pval_0.05,pec_pval_0.05_BH,n_pval_0.05_BH
netfosaa,3313,0.5277019148786112,0.9865659247232768,0.04165408994868699,0.0018110473890733474,6
nmefosaab,3313,0.4714928109957729,0.8640351373900214,0.08210081497132508,0,0
pfbs,3313,0.451723613103334,0.8040201498335499,0.09719287654693631,0,0
pfda,3313,0.42454572147001707,0.7014069892733023,0.13824328403259886,0.03863567763356474,128
pfdoa,3313,0.5078282162089677,0.9629057834111902,0.05795351645034712,0.00392393600965892,13
pfds,3313,0.48247823592309114,0.8830265299993115,0.08119529127678841,0.015393902807123452,51
pfhpa,3313,0.5469186242312714,0.9984112782482129,0.03501358285541805,0,0
pfhps,3313,0.4388259491264583,0.7512449774819041,0.11288862058557199,0.0012073649260488982,4
pfhxa,3313,NA,NA,NA,NA,NA
pfhxs,3313,0.5426029832597848,0.9955849766948938,0.027165710836100213,0,0
pfna,3313,0.42383748797689297,0.7170639985985653,0.1240567461515243,0.004829459704195593,16
pfns,3313,0.5081335947416383,0.9893021219610455,0.04225777241171144,0,0
pfoa,3313,0.46923286138156084,0.8421612235026519,0.09568367038937518,0,0
pfos,3313,0.3987400338488536,0.6338257996877785,0.16510715363718684,0.0492001207364926,163
pfpes,3313,0.4451481791609902,0.8169384786988136,0.07636583157259282,0,0
pfuda,3313,0.5089337236152299,0.980749536157787,0.05734983398732267,9.055236945366737e-4,3
x82fts,3313,0.49269727182556333,0.9129670910394434,0.07938424388771506,0,0
