"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Caffeine metabolism","5","5","3","0.4243","0.0041361","0.050789","0.0099558","149","0.0149","P1","EC00020;EC000491;EC000913"
"Bile acid biosynthesis","28","28","7","2.3761","0.0043232","0.016995","0.0099608","15","0.0015","P2","EC000586;EC00013;EC000467;EC000950;EC000513;EC000514;EC000525"
"Vitamin D3 (cholecalciferol) metabolism","12","12","4","1.0183","0.010675","0.059132","0.010133","8","8e-04","P3","EC0001057;EC000467;EC000297;EC000950"
"Limonene and pinene degradation","12","12","4","1.0183","0.010675","0.059132","0.010133","1411","0.1411","P4","EC000399;EC000402;EC000522;EC000524"
"Glycosphingolipid metabolism","23","23","5","1.9518","0.028584","0.095482","0.010636","158","0.0158","P5","EC000293;EC00020;EC000138;EC000283;EC00013"
"Glycerophospholipid metabolism","50","50","8","4.243","0.035743","0.084423","0.010845","13","0.0013","P6","EC000651;EC000479;EC000545;EC000326;EC000293;EC00033;EC00020;EC000128"
"Purine metabolism","38","38","6","3.2247","0.069772","0.16444","0.011898","190","0.019","P7","EC000202;EC0001109;EC000452;EC000477;EC000625;EC00035"
"N-Glycan Degradation","6","6","2","0.50916","0.073908","0.38399","0.012033","1227","0.1227","P8","EC00020;EC000409"
"Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation","1","1","1","0.08486","0.078292","1","0.012178","0","0","P9","EC00013"
"Sialic acid metabolism","14","14","3","1.188","0.089912","0.29606","0.012573","78","0.0078","P10","EC000545;EC00020;EC000678"
"N-Glycan biosynthesis","7","7","2","0.59402","0.098315","0.43193","0.012867","44","0.0044","P11","EC00033;EC00020"
"Keratan sulfate degradation","7","7","2","0.59402","0.098315","0.43193","0.012867","1341","0.1341","P12","EC00020;EC000409"
"Galactose metabolism","15","15","3","1.2729","0.10626","0.32569","0.013151","1222","0.1222","P13","EC000678;EC00020;EC00033"
"Phosphatidylinositol phosphate metabolism","15","15","3","1.2729","0.10626","0.32569","0.013151","770","0.077","P14","EC00020;EC000622;EC000138"
"Pyrimidine metabolism","44","44","6","3.7338","0.12263","0.2496","0.013759","299","0.0299","P15","EC000479;EC00033;EC00035;EC000377;EC000185;EC000273"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","2","0.67888","0.1246","0.47617","0.013834","2511","0.2511","P16","EC00033;EC000366"
"Saturated fatty acids beta-oxidation","8","8","2","0.67888","0.1246","0.47617","0.013834","567","0.0567","P17","EC00013;EC000138"
"Pentose phosphate pathway","17","17","3","1.4426","0.14204","0.38387","0.01452","551","0.0551","P18","EC000479;EC000491;EC00020"
"Glycosphingolipid biosynthesis - globoseries","2","2","1","0.16972","0.15052","1","0.014867","785","0.0785","P19","EC00020"
"Mono-unsaturated fatty acid beta-oxidation","2","2","1","0.16972","0.15052","1","0.014867","0","0","P20","EC00013"
