metabolite_solar,mz_solar,rt_solar,cpd,aa_cho_lipid,pathways_solar,main_sp_pthw_solar,main_sp_pthw_categorized_solar,exposure,p_value_solar,t_score_solar,beta_solar,conf_low_solar,conf_high_solar,mode_solar,super_pathway_solar,q_value_solar,cpdnum_solar,cpd_sig_solar,exposure2,metabolite_chs,mz_chs,rt_chs,pathways_chs,main_sp_pthw_chs,main_sp_pthw_categorized_chs,p_value_chs,t_score_chs,beta_chs,conf_low_chs,conf_high_chs,mode_chs,super_pathway_chs,q_value_chs,cpdnum_chs,cpd_sig_chs,sig
112.087054027085_72.6915682749822,112.087054027085,72.6915682749822,C00135; C00388; C02679; C04518; C05138; C05485; C18038,Amino Acid & Lipid metab.,Histidine metabolism; Fatty Acid Metabolism; De novo fatty acid biosynthesis; C21-steroid hormone biosynthesis and metabolism,Amino acid metabolism; Lipid metabolism; Xenobiotics biodegradation and metabolism; Lipid metabolism; Steroid hormone metabolism,Amino acid metabolism; Other Combination of pathways; Lipid metabolism; Steroid hormone metabolism,hexachlorobenzene_impute,7.85700257847242e-4,3.39416447804439,0.207248573375635,0.0870640708941306,0.327433075857139,positive,Multiple/other,0.38654745436810234,1,,HCB,112.086910463458_115.2494923,112.086910463458,115.2494923,Beta-Alanine metabolism; Histidine metabolism; Histidine metabolism; Fatty Acid Metabolism; De novo fatty acid biosynthesis; C21-steroid hormone biosynthesis and metabolism,Amino acid metabolism; Lipid metabolism; Xenobiotics biodegradation and metabolism; Lipid metabolism; Steroid hormone metabolism,Amino acid metabolism; Other Combination of pathways; Lipid metabolism; Steroid hormone metabolism,0.068449636768745,1.83753767005738,0.268135545362124,-0.0205943109334663,0.556865401657714,positive,Multiple/other,1,40,,Sig. SOLAR only
156.076741862098_78.6779660521909,156.076741862098,78.6779660521909,C00135; C00881; C05504,Amino Acid & Lipid metab.,Histidine metabolism; Pyrimidine metabolism; C21-steroid hormone biosynthesis and metabolism,Amino acid metabolism; Nucleotide metabolism; Lipid metabolism; Steroid hormone metabolism,Amino acid metabolism; Nucleotide metabolism; Lipid metabolism; Steroid hormone metabolism,hexachlorobenzene_impute,8.1268228691451e-4,3.38453126718455,0.204328988183003,0.0855003122033158,0.32315766416269,positive,Multiple/other,0.38654745436810234,2,,HCB,156.07678474072_120.7419682,156.07678474072,120.7419682,Beta-Alanine metabolism; Histidine metabolism; Pyrimidine metabolism; C21-steroid hormone biosynthesis and metabolism,Amino acid metabolism; Nucleotide metabolism; Lipid metabolism; Steroid hormone metabolism,Amino acid metabolism; Nucleotide metabolism; Lipid metabolism; Steroid hormone metabolism,0.00995377797309847,2.6164534012022,0.376106060543695,0.0916790196863229,0.660533101401067,positive,Multiple/other,1,12,,Jointly Significant
95.0605132494523_77.4933265246021,95.0605132494523,77.4933265246021,C00153; C00388; C00785; C05828,Amino Acid metab.,Vitamin B3 (nicotinate and nicotinamide) metabolism; Histidine metabolism,Metabolism of cofactors and vitamins; Amino acid metabolism,Metabolism of cofactors and vitamins; Amino acid metabolism,hexachlorobenzene_impute,0.00155820267922426,3.1943318851245,0.19430910338051,0.07457912184748,0.31403908491354,positive,Multiple/other,0.667034780833546,3,,HCB,95.0603678462924_118.9844475,95.0603678462924,118.9844475,Vitamin B3 (nicotinate and nicotinamide) metabolism; Histidine metabolism,Metabolism of cofactors and vitamins; Amino acid metabolism,Metabolism of cofactors and vitamins; Amino acid metabolism,0.016757472919933,2.42378497076566,0.351992051846647,0.0646413087881355,0.639342794905158,positive,Multiple/other,1,18,,Jointly Significant
96.0445086317458_177.604756220539,96.0445086317458,177.604756220539,C00250; C00253; C00430; C00870; C01110; C01157; C01165; C03440; C03564; C03824; C10164,Other,"Vitamin B6 (pyridoxine) metabolism; Tryptophan metabolism; Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism; Parathio degradation; Arginine and Proline Metabolism; Urea cycle/amino group metabolism",NA,NA,hexachlorobenzene_impute,0.00559164246874843,2.79197983820353,0.169910769276748,0.0501268737827553,0.289694664770742,positive,Multiple/other,1,9,,HCB,96.0443459519664_54.53652793,96.0443459519664,54.53652793,"Vitamin B6 (pyridoxine) metabolism; Tryptophan metabolism; Urea cycle/amino group metabolism; Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Aspartate and asparagine metabolism; Xenobiotics metabolism; Urea cycle/amino group metabolism; Glutamate metabolism; Arginine and Proline Metabolism",NA,NA,0.403496067777079,0.838172852545643,0.121585165286462,-0.165440382718787,0.408610713291711,positive,Multiple/other,1,119,,Sig. SOLAR only
197.101007700031_66.8894381334852,197.101007700031,66.8894381334852,C00062; C00792; C16586; CE2173,Amino Acid metab.,"Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Alanine and Aspartate Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism; Tyrosine metabolism",Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism; Xenobiotics biodegradation and metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism; Xenobiotics biodegradation and metabolism,hexachlorobenzene_impute,0.00695372299352308,2.71873199259433,0.157812050751362,0.04356011421028,0.272063987292444,positive,Multiple/other,1,11,,HCB,197.100913417232_114.5121263,197.100913417232,114.5121263,"Urea cycle/amino group metabolism; Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Aspartate and asparagine metabolism; Alanine and Aspartate Metabolism; Tyrosine metabolism",Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism; Xenobiotics biodegradation and metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins; Other Combination of pathways,0.00781385782085997,-2.7025915262921,-0.384417578800111,-0.665864423407291,-0.102970734192931,positive,Multiple/other,1,11,,Jointly Significant
164.070076861411_230.200578208153,164.070076861411,230.200578208153,C00082; C01252; C05635; C05638; C16591; C16596; CE2174,Amino Acid metab.,Tyrosine metabolism; Tryptophan metabolism; Drug metabolism - cytochrome P450,Amino acid metabolism; Amino acid metabolism; Xenobiotics biodegradation and metabolism; Xenobiotics biodegradation and metabolism,Amino acid metabolism; Amino acid metabolism; Xenobiotics biodegradation and metabolism; Xenobiotics biodegradation and metabolism,hexachlorobenzene_impute,0.00912999506482653,2.62503180156143,0.161474136622763,0.040398097154652,0.282550176090875,positive,Multiple/other,1,14,,HCB,164.070616199054_270.5181398,164.070616199054,270.5181398,Tyrosine metabolism; Tryptophan metabolism; Drug metabolism - cytochrome P450,Amino acid metabolism; Other; Amino acid metabolism; Amino acid metabolism; Xenobiotics biodegradation and metabolism; Xenobiotics biodegradation and metabolism,Other Combination of pathways; Amino acid metabolism; Xenobiotics biodegradation and metabolism,0.76912731986641,-0.294140073459159,-0.0425465314683964,-0.328755685454729,0.243662622517936,positive,Multiple/other,1,191,,Sig. SOLAR only
132.06555571627_82.7832885321865,132.06555571627,82.7832885321865,C00430; C01042; C01045; C01110; C01157; C01165; C03341; C03440; C03564; C03912,Amino Acid metab.,"Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism; Alanine and Aspartate Metabolism; Arginine and Proline Metabolism; Urea cycle/amino group metabolism",Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism,hexachlorobenzene_impute,0.0212630338532377,2.31604282719245,0.131985733854317,0.0198174152534158,0.244154052455218,positive,Multiple/other,1,22,,HCB,132.065527857683_44.82589695,132.065527857683,44.82589695,"Urea cycle/amino group metabolism; Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Aspartate and asparagine metabolism; Alanine and Aspartate Metabolism; Urea cycle/amino group metabolism; Glutamate metabolism; Arginine and Proline Metabolism",Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism,0.418235378691715,-0.812111552040737,-0.119527924937853,-0.410751981807654,0.171696131931948,positive,Multiple/other,1,124,,Sig. SOLAR only
247.24188142712_21.2754679741912,247.24188142712,21.2754679741912,C00523; C00712; C03917; C04295; C04373; C05293; C05480; CE2209; CE2211,Lipid metab.,C21-steroid hormone biosynthesis and metabolism; De novo fatty acid biosynthesis; Fatty acid activation; Androgen and estrogen biosynthesis and metabolism,Lipid metabolism; Steroid hormone metabolism; Lipid metabolism; Steroid hormone metabolism,Lipid metabolism; Steroid hormone metabolism; Lipid metabolism; Steroid hormone metabolism,hexachlorobenzene_impute,0.0271416349743568,-2.2208911677364,-0.136239370233062,-0.256983257832792,-0.0154954826333317,positive,Multiple/other,1,24,,HCB,247.241980655317_35.98032119,247.241980655317,35.98032119,C21-steroid hormone biosynthesis and metabolism; De novo fatty acid biosynthesis; Fatty acid activation; Androgen and estrogen biosynthesis and metabolism,Lipid metabolism; Steroid hormone metabolism; Lipid metabolism; Steroid hormone metabolism,Lipid metabolism; Steroid hormone metabolism; Lipid metabolism; Steroid hormone metabolism,0.573088586107301,-0.564961789406151,-0.0821008853093766,-0.369643567936283,0.205441797317529,positive,Multiple/other,1,154,,Sig. SOLAR only
158.092373750873_73.327599283788,158.092373750873,73.327599283788,C00062; C00327; C00792,Amino Acid metab.,"Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Alanine and Aspartate Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism; Arginine and Proline Metabolism; Alanine and Aspartate Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism",Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism,hexachlorobenzene_impute,0.0324152687901645,2.14972915294025,0.129939437613195,0.0109668134133444,0.248912061813046,positive,Multiple/other,1,26,,HCB,158.092435284946_111.117412,158.092435284946,111.117412,"Urea cycle/amino group metabolism; Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Aspartate and asparagine metabolism; Alanine and Aspartate Metabolism; Urea cycle/amino group metabolism; Arginine and Proline Metabolism; Aspartate and asparagine metabolism; Alanine and Aspartate Metabolism",Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins; Amino acid metabolism,0.0881987745485702,-1.718086972849,-0.247487642034808,-0.532511968933311,0.0375366848636945,positive,Multiple/other,1,41,,Sig. SOLAR only
172.096838237607_202.899362932119,172.096838237607,202.899362932119,C02727; C03758,Amino Acid & CHO metab.,Butanoate metabolism; Tyrosine metabolism,Carbohydrate metabolism; Amino acid metabolism,Carbohydrate metabolism; Amino acid metabolism,hexachlorobenzene_impute,0.0357061751333832,2.11023774607951,0.128482447404064,0.00864233217891175,0.248322562629217,positive,Multiple/other,1,27,,HCB,172.096779766118_42.29823454,172.096779766118,42.29823454,Butanoate metabolism; Tyrosine metabolism,Carbohydrate metabolism; Amino acid metabolism,Carbohydrate metabolism; Amino acid metabolism,0.420047722549046,0.808945253376335,0.112940774079184,-0.163311069288314,0.389192617446681,positive,Multiple/other,1,127,,Sig. SOLAR only
